name,followers,popularity,uri,link,genres
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Kings of Leon,4429917,78,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx,"modern rock,rock"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Faker,14140,42,spotify:artist:0RaO9p4AomXaVUXzV8SPVW,https://api.spotify.com/v1/artists/0RaO9p4AomXaVUXzV8SPVW,"australian alternative rock,australian indie"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Daft Punk,6780183,83,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,"electro,filter house"
Cold War Kids,670345,66,spotify:artist:6VDdCwrBM4qQaGxoAyxyJC,https://api.spotify.com/v1/artists/6VDdCwrBM4qQaGxoAyxyJC,"indie pop,indie rock,modern alternative rock,modern rock,piano rock,pop rock,rock,stomp and holler"
The Panics,10223,39,spotify:artist:1kmmvExwG8zvYSADt6V09T,https://api.spotify.com/v1/artists/1kmmvExwG8zvYSADt6V09T,"australian alternative rock,australian indie"
Bluejuice,32806,49,spotify:artist:7sCcPQQft3sSxcJaB30dlb,https://api.spotify.com/v1/artists/7sCcPQQft3sSxcJaB30dlb,"australian alternative rock,australian hip hop,australian indie"
