name,followers,popularity,uri,link,genres
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Luis Fonsi,8864662,80,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,https://api.spotify.com/v1/artists/4V8Sr092TqfHkfAA5fXXqG,"latin,latin pop,puerto rican pop,tropical"
Daddy Yankee,20318749,93,spotify:artist:4VMYDCV2IEDYJArk749S6m,https://api.spotify.com/v1/artists/4VMYDCV2IEDYJArk749S6m,"latin,latin hip hop,reggaeton,tropical"
Justin Bieber,38595075,95,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,"canadian pop,dance pop,pop,post-teen pop"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
The Chainsmokers,16838215,86,spotify:artist:69GGBxA162lTqCwzJG5jLp,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp,"dance pop,edm,electropop,pop,tropical house"
Coldplay,27427378,89,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,"permanent wave,pop"
Imagine Dragons,30320226,89,spotify:artist:53XhwfbYqKCa1cC15pYq2q,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q,"modern rock,pop,rock"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Kendrick Lamar,15643686,90,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop,hip hop,rap,west coast rap"
Macklemore,1616391,78,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,https://api.spotify.com/v1/artists/3JhNCzhSMTxs9WLGJJxWOY,"modern rock,pop rap,seattle hip hop"
Skylar Grey,414966,73,spotify:artist:4utLUGcTvOJFr6aqIJtYWV,https://api.spotify.com/v1/artists/4utLUGcTvOJFr6aqIJtYWV,"piano rock,viral pop"
Shawn Mendes,29417851,90,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,"canadian pop,dance pop,pop,post-teen pop,viral pop"
Liam Payne,6403392,77,spotify:artist:5pUo3fmmHT8bhCyHE52hA6,https://api.spotify.com/v1/artists/5pUo3fmmHT8bhCyHE52hA6,"dance pop,pop,post-teen pop"
Quavo,4409500,87,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,https://api.spotify.com/v1/artists/0VRj0yCOv2FXJNP47XQnx5,"atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap"
Niall Horan,6068127,83,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,https://api.spotify.com/v1/artists/1Hsdzj7Dlq2I7tHP7501T4,"dance pop,pop,pop rock,post-teen pop"
DJ Khaled,5195421,86,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,https://api.spotify.com/v1/artists/0QHgL1lAIqAw0HtD7YldmP,"dance pop,hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap"
Justin Bieber,38595075,95,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,"canadian pop,dance pop,pop,post-teen pop"
Quavo,4409500,87,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,https://api.spotify.com/v1/artists/0VRj0yCOv2FXJNP47XQnx5,"atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap"
Chance the Rapper,5021049,87,spotify:artist:1anyVhU62p31KFi8MEzkbf,https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf,"chicago rap,conscious hip hop,hip hop,pop rap,rap"
Lil Wayne,9641363,92,spotify:artist:55Aa2cqylxrFIXC767Z865,https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865,"hip hop,new orleans rap,pop rap,rap,trap"
Zedd,5220515,82,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,https://api.spotify.com/v1/artists/2qxJFvFYMEDqd7ui6kSAcq,"complextro,dance pop,edm,electro house,electropop,german techno,pop,post-teen pop,tropical house"
Alessia Cara,7828364,82,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,https://api.spotify.com/v1/artists/2wUjUUtkb5lvLKcGKsKqsR,"canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop"
Julia Michaels,3248620,84,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,https://api.spotify.com/v1/artists/0ZED1XzwlLHW4ZaG4lOT6m,"dance pop,electropop,pop,post-teen pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
21 Savage,8624080,92,spotify:artist:1URnnhqYAYcrqrcwql10ft,https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,"atl hip hop,rap,trap"
ZAYN,13189155,85,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,https://api.spotify.com/v1/artists/5ZsFI1h6hIdQRw2ti0hz81,"dance pop,electropop,pop,post-teen pop,uk pop"
Taylor Swift,33003451,96,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,"dance pop,pop,post-teen pop"
Clean Bandit,4016442,82,spotify:artist:6MDME20pz9RveH9rEXvrOM,https://api.spotify.com/v1/artists/6MDME20pz9RveH9rEXvrOM,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky"
Zara Larsson,7838964,83,spotify:artist:1Xylc3o4UrD53lo9CvFvVg,https://api.spotify.com/v1/artists/1Xylc3o4UrD53lo9CvFvVg,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house"
Camila Cabello,18414633,87,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF,"dance pop,pop,post-teen pop"
Young Thug,5601505,93,spotify:artist:50co4Is1HCEo8bhOyUWKpn,https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn,"atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap"
Kygo,6798726,89,spotify:artist:23fqKkggKUBHNkbKtXEls4,https://api.spotify.com/v1/artists/23fqKkggKUBHNkbKtXEls4,"edm,pop,tropical house"
Selena Gomez,23014182,90,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx,"dance pop,pop,post-teen pop"
French Montana,3662753,82,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,https://api.spotify.com/v1/artists/6vXTefBL93Dj5IqAWq6OTv,"hip hop,pop rap,rap,southern hip hop,trap"
Swae Lee,936126,86,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX,"melodic rap,pop rap,rap,trap"
Dua Lipa,20091139,93,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we,"dance pop,pop,uk pop"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
Charlie Puth,11554345,84,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7,"dance pop,pop,post-teen pop,viral pop"
Bruno Mars,27072330,89,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,"dance pop,pop"
Jonas Blue,2949133,81,spotify:artist:1HBjj22wzbscIZ9sEb5dyf,https://api.spotify.com/v1/artists/1HBjj22wzbscIZ9sEb5dyf,"dance pop,edm,pop,tropical house,uk dance"
William Singe,584906,67,spotify:artist:5exS0bytCYdixgv02DaCm3,https://api.spotify.com/v1/artists/5exS0bytCYdixgv02DaCm3,"pop,pop r&b,urban contemporary"
Sam Hunt,1951944,77,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,https://api.spotify.com/v1/artists/2kucQ9jQwuD8jWdtR9Ef38,"contemporary country,country pop"
Calvin Harris,20730525,89,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Pharrell Williams,3300521,83,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8,"pop,pop rap"
Katy Perry,16447906,88,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,"dance pop,pop,post-teen pop"
Big Sean,7780527,87,spotify:artist:0c173mlxpT3dSFRgMO8XPh,https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh,"detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap"
Funk Wav,1887,71,spotify:artist:4A0TivfinfALCAMJqqjZIk,https://api.spotify.com/v1/artists/4A0TivfinfALCAMJqqjZIk,
DJ Khaled,5195421,86,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,https://api.spotify.com/v1/artists/0QHgL1lAIqAw0HtD7YldmP,"dance pop,hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Bryson Tiller,4398627,85,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs,"kentucky hip hop,pop,pop rap,rap,trap"
Clean Bandit,4016442,82,spotify:artist:6MDME20pz9RveH9rEXvrOM,https://api.spotify.com/v1/artists/6MDME20pz9RveH9rEXvrOM,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky"
Sean Paul,3177641,83,spotify:artist:3Isy6kedDrgPYoTS1dazA9,https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9,"dance pop,dancehall,pop,pop rap"
Anne-Marie,6528785,83,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,https://api.spotify.com/v1/artists/1zNqDE7qDGCsyzJwohVaoX,"dance pop,pop,post-teen pop,tropical house,uk pop"
The Chainsmokers,16838215,86,spotify:artist:69GGBxA162lTqCwzJG5jLp,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp,"dance pop,edm,electropop,pop,tropical house"
PNAU,140514,65,spotify:artist:6n28c9qs9hNGriNa72b26u,https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u,"alternative dance,aussietronica,australian dance,australian electropop,australian hip hop,australian indie,dance-punk,edm,new rave"
Kira Divine,282,56,spotify:artist:4AFUtRGh4gJb1mWNTtN0Ha,https://api.spotify.com/v1/artists/4AFUtRGh4gJb1mWNTtN0Ha,
P!nk,9493906,84,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,"dance pop,pop,post-teen pop"
Dean Lewis,1303949,80,spotify:artist:3QSQFmccmX81fWCUSPTS7y,https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,"australian pop,pop"
Logic,4963921,85,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,https://api.spotify.com/v1/artists/4xRYI6VqpkE3UwrDrAZL8L,"conscious hip hop,dmv rap,hip hop,pop rap,rap"
