name,followers,popularity,uri,link,genres
Gotye,2214163,71,spotify:artist:2AsusXITU8P25dlRNhcAbG,https://api.spotify.com/v1/artists/2AsusXITU8P25dlRNhcAbG,australian pop
Kimbra,345815,71,spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti,https://api.spotify.com/v1/artists/6hk7Yq1DU9QcCCrz9uc0Ti,"bergen indie,electropop,nz pop"
The Black Keys,3312319,75,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,https://api.spotify.com/v1/artists/7mnBLXK823vNxN3UWB7Gfz,"alternative rock,blues rock,garage rock,modern alternative rock,modern blues rock,modern rock,punk blues,rock"
Matt Corby,436517,65,spotify:artist:7CIW23FQUXPc1zebnO1TDG,https://api.spotify.com/v1/artists/7CIW23FQUXPc1zebnO1TDG,"australian indie,australian pop"
Boy & Bear,215036,60,spotify:artist:2NqgE99Ll5vOTvmbN7O2R6,https://api.spotify.com/v1/artists/2NqgE99Ll5vOTvmbN7O2R6,"australian indie,australian indie folk,australian pop,indie folk"
M83,1792673,74,spotify:artist:63MQldklfxkjYDoUE4Tppz,https://api.spotify.com/v1/artists/63MQldklfxkjYDoUE4Tppz,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop"
Lana Del Rey,11320021,87,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,"art pop,pop"
San Cisco,222212,60,spotify:artist:0Ou0138wEd8XWebhc4j7O0,https://api.spotify.com/v1/artists/0Ou0138wEd8XWebhc4j7O0,"australian hip hop,australian indie,australian pop,fremantle indie,indie pop,metropopolis,perth indie"
360,147512,56,spotify:artist:3vn7rk7VNMfDhuZNB9sDYP,https://api.spotify.com/v1/artists/3vn7rk7VNMfDhuZNB9sDYP,"australian hip hop,australian pop,australian underground hip hop"
Gossling,11932,47,spotify:artist:0NnyKz36MvIC2R3dFht35A,https://api.spotify.com/v1/artists/0NnyKz36MvIC2R3dFht35A,australian pop
The Jezabels,101065,46,spotify:artist:76KHdORVQMt7L6nVzvOUph,https://api.spotify.com/v1/artists/76KHdORVQMt7L6nVzvOUph,australian indie
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Sia,17564168,89,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,"australian dance,australian pop,dance pop,pop"
Calvin Harris,20730525,89,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Architecture In Helsinki,100064,44,spotify:artist:60eT7q88iLWKnuSXed1AGr,https://api.spotify.com/v1/artists/60eT7q88iLWKnuSXed1AGr,"alternative dance,australian indie,indie pop,indietronica"
Florence + The Machine,5317390,78,spotify:artist:1moxjboGR7GNWYIMWsRjgG,https://api.spotify.com/v1/artists/1moxjboGR7GNWYIMWsRjgG,"art pop,baroque pop,pop,uk alternative pop"
