name,followers,popularity,uri,link,genres
Chet Faker,98762,69,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,"art pop,indietronica"
Peking Duk,201730,61,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,https://api.spotify.com/v1/artists/0UZ1nu3kcdNlCoiKRjmSSY,"aussietronica,australian electropop,australian indie,australian pop,edm"
Nicole Millar,24925,51,spotify:artist:0lYzZ91QzokaPrRK1vq6tW,https://api.spotify.com/v1/artists/0lYzZ91QzokaPrRK1vq6tW,"australian pop,gauze pop"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Milky Chance,1399175,76,spotify:artist:1hzfo8twXdOegF3xireCYs,https://api.spotify.com/v1/artists/1hzfo8twXdOegF3xireCYs,german pop
Peking Duk,201730,61,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,https://api.spotify.com/v1/artists/0UZ1nu3kcdNlCoiKRjmSSY,"aussietronica,australian electropop,australian indie,australian pop,edm"
SAFIA,110737,56,spotify:artist:1y07gMlsfAdz2KOvZzyUTB,https://api.spotify.com/v1/artists/1y07gMlsfAdz2KOvZzyUTB,"australian indie,australian pop"
Mark Ronson,849349,79,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,https://api.spotify.com/v1/artists/3hv9jJF3adDNsBSIQDqcjp,"dance pop,pop"
Bruno Mars,27072330,89,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,"dance pop,pop"
Chet Faker,98762,69,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,"art pop,indietronica"
Chet Faker,98762,69,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,"art pop,indietronica"
Sia,17564168,89,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,"australian dance,australian pop,dance pop,pop"
Ásgeir,238200,61,spotify:artist:7xUZ4069zcyBM4Bn10NQ1c,https://api.spotify.com/v1/artists/7xUZ4069zcyBM4Bn10NQ1c,"icelandic folk,icelandic indie,icelandic pop,indie folk"
ZHU,617066,73,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,https://api.spotify.com/v1/artists/28j8lBWDdDSHSSt5oPlsX2,edm
Glass Animals,1314060,80,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq,"gauze pop,indietronica,modern rock,shiver pop"
Vance Joy,2186121,78,spotify:artist:10exVja0key0uqUkk6LJRT,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT,"folk-pop,modern rock,pop,pop rock"
alt-J,2660335,75,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,https://api.spotify.com/v1/artists/3XHO7cRUPCLOr6jwp8vsx5,indie rock
The Kite String Tangle,73391,54,spotify:artist:3D6cosC5ZOLCpRxt6T3XS7,https://api.spotify.com/v1/artists/3D6cosC5ZOLCpRxt6T3XS7,"aussietronica,australian hip hop,australian indie,australian pop,brisbane indie,vapor soul"
alt-J,2660335,75,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,https://api.spotify.com/v1/artists/3XHO7cRUPCLOr6jwp8vsx5,indie rock
Illy,148257,61,spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt,https://api.spotify.com/v1/artists/6NFyaN9PMCDZ3LKxGwHAXt,"australian hip hop,australian indie,australian pop,australian trap"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
Ball Park Music,105929,55,spotify:artist:1ououJVWgWsHWMYDLvT7sH,https://api.spotify.com/v1/artists/1ououJVWgWsHWMYDLvT7sH,"australian garage punk,australian indie,australian pop,brisbane indie"
Sticky Fingers,714045,72,spotify:artist:3ZGr7nQBXDU2WhyXgRVbt0,https://api.spotify.com/v1/artists/3ZGr7nQBXDU2WhyXgRVbt0,"australian reggae fusion,reggae fusion"
Chet Faker,98762,69,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,"art pop,indietronica"
The Amity Affliction,477944,66,spotify:artist:6kNKUYGn6VNGsRoXmyoDPK,https://api.spotify.com/v1/artists/6kNKUYGn6VNGsRoXmyoDPK,"australian metalcore,melodic metalcore,metalcore,screamo"
Future Islands,423742,68,spotify:artist:1WvvwcQx0tj6NdDhZZ2zZz,https://api.spotify.com/v1/artists/1WvvwcQx0tj6NdDhZZ2zZz,"alternative dance,baltimore indie,chillwave,indie rock,modern rock"
Meg Mac,106755,53,spotify:artist:4faUajx9k93O56nlmpkOuz,https://api.spotify.com/v1/artists/4faUajx9k93O56nlmpkOuz,"australian hip hop,australian indie,australian pop"
Bluejuice,32806,49,spotify:artist:7sCcPQQft3sSxcJaB30dlb,https://api.spotify.com/v1/artists/7sCcPQQft3sSxcJaB30dlb,"australian alternative rock,australian hip hop,australian indie"
alt-J,2660335,75,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,https://api.spotify.com/v1/artists/3XHO7cRUPCLOr6jwp8vsx5,indie rock
BANKS,917472,67,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n,https://api.spotify.com/v1/artists/2xe8IXgCTpwHE3eA9hTs4n,"alternative r&b,art pop,dance pop,electropop,indie poptimism,pop,vapor soul"
The Griswolds,88046,54,spotify:artist:3nUbzTTtP2w4HqvT5y5vkV,https://api.spotify.com/v1/artists/3nUbzTTtP2w4HqvT5y5vkV,"indie pop,indie poptimism,modern alternative rock,modern rock,shimmer pop"
The Preatures,62648,50,spotify:artist:5gcDZA9xXCOspWgQilUYIu,https://api.spotify.com/v1/artists/5gcDZA9xXCOspWgQilUYIu,"australian indie,australian indie rock,australian pop"
Thundamentals,106747,58,spotify:artist:7ymhGfvQPQLHU20RovzLMJ,https://api.spotify.com/v1/artists/7ymhGfvQPQLHU20RovzLMJ,"australian hip hop,australian indie,australian pop"
Thom Crawford,116,38,spotify:artist:6C6zCJjQ2R0KXld23JfC6Y,https://api.spotify.com/v1/artists/6C6zCJjQ2R0KXld23JfC6Y,
Childish Gambino,7002258,81,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,https://api.spotify.com/v1/artists/73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop,hip hop,pop rap,rap"
Lana Del Rey,11320021,87,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,"art pop,pop"
San Cisco,222212,60,spotify:artist:0Ou0138wEd8XWebhc4j7O0,https://api.spotify.com/v1/artists/0Ou0138wEd8XWebhc4j7O0,"australian hip hop,australian indie,australian pop,fremantle indie,indie pop,metropopolis,perth indie"
SBTRKT,585857,57,spotify:artist:1O10apSOoAPjOu6UhUNmeI,https://api.spotify.com/v1/artists/1O10apSOoAPjOu6UhUNmeI,"electronica,future garage,indie soul,new rave"
Ezra Koenig,11195,46,spotify:artist:2nkAu4P6EVeQpXxiEhPTH6,https://api.spotify.com/v1/artists/2nkAu4P6EVeQpXxiEhPTH6,
Allday,88394,60,spotify:artist:2Ltr0s15RyvsjqWzSmiSRs,https://api.spotify.com/v1/artists/2Ltr0s15RyvsjqWzSmiSRs,"australian hip hop,australian pop,australian trap"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Maverick Sabre,199758,70,spotify:artist:0ukgrNYk51TkMQr0f2Br4Q,https://api.spotify.com/v1/artists/0ukgrNYk51TkMQr0f2Br4Q,"indie soul,irish hip hop,neo soul"
Alison Wonderland,384513,63,spotify:artist:11gWrKZMBsGQWmobv3oNfW,https://api.spotify.com/v1/artists/11gWrKZMBsGQWmobv3oNfW,"aussietronica,edm,electra,electronic trap,escape room,indietronica"
First Aid Kit,951776,67,spotify:artist:21egYD1eInY6bGFcniCRT1,https://api.spotify.com/v1/artists/21egYD1eInY6bGFcniCRT1,"stomp and holler,swedish americana,swedish country"
Flight Facilities,356846,63,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM,https://api.spotify.com/v1/artists/1lc8mnyGrCLtPhCoWjRxjM,"alternative dance,aussietronica,australian dance,australian indie,indie soul,nu disco"
Emma Louise,59266,56,spotify:artist:1A96iePIMNFBjLrjXEl718,https://api.spotify.com/v1/artists/1A96iePIMNFBjLrjXEl718,"australian indie,brisbane indie"
Broods,440738,62,spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS,https://api.spotify.com/v1/artists/5r5Va4lVQ1zjEfbJSrmCsS,"art pop,auckland indie,electropop,etherpop,indie electropop,indie pop,indie poptimism,indietronica,metropopolis,nz pop,pop,shimmer pop,tropical house,vapor soul"
Carmada,19625,41,spotify:artist:4R3mzuQZhfwDkjdE1wx31O,https://api.spotify.com/v1/artists/4R3mzuQZhfwDkjdE1wx31O,aussietronica
Kim Churchill,38656,49,spotify:artist:0ZmJRBCKYicwq9n4FjZpho,https://api.spotify.com/v1/artists/0ZmJRBCKYicwq9n4FjZpho,"australian indie,australian singer-songwriter"
Jamie T,322302,61,spotify:artist:3Rsr4Z96O6U3lToOiV3zBh,https://api.spotify.com/v1/artists/3Rsr4Z96O6U3lToOiV3zBh,"modern rock,new rave,rock"
Milky Chance,1399175,76,spotify:artist:1hzfo8twXdOegF3xireCYs,https://api.spotify.com/v1/artists/1hzfo8twXdOegF3xireCYs,german pop
FKA twigs,742023,72,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH,https://api.spotify.com/v1/artists/6nB0iY1cjSY1KyhYyuIIKH,"afrofuturism,art pop,dance pop,electropop,escape room,pop,trip hop"
Meg Mac,106755,53,spotify:artist:4faUajx9k93O56nlmpkOuz,https://api.spotify.com/v1/artists/4faUajx9k93O56nlmpkOuz,"australian hip hop,australian indie,australian pop"
DMA'S,180295,64,spotify:artist:1iUTUix5kea176M0uJTsh4,https://api.spotify.com/v1/artists/1iUTUix5kea176M0uJTsh4,"australian hip hop,australian indie,modern rock"
TV On The Radio,465550,62,spotify:artist:3HJIB8sYPyxrFGuwvKXSLR,https://api.spotify.com/v1/artists/3HJIB8sYPyxrFGuwvKXSLR,"alternative dance,alternative rock,brooklyn indie,dance-punk,indie pop,indie rock,indietronica,modern rock,new rave,rock"
Vance Joy,2186121,78,spotify:artist:10exVja0key0uqUkk6LJRT,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT,"folk-pop,modern rock,pop,pop rock"
Courtney Barnett,433269,60,spotify:artist:4OOlG5eBXSkSAAEeKjJb5Y,https://api.spotify.com/v1/artists/4OOlG5eBXSkSAAEeKjJb5Y,"art pop,australian indie,indie pop,indie rock,melbourne indie"
Flight Facilities,356846,63,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM,https://api.spotify.com/v1/artists/1lc8mnyGrCLtPhCoWjRxjM,"alternative dance,aussietronica,australian dance,australian indie,indie soul,nu disco"
Reggie Watts,56321,45,spotify:artist:3ni9LX95aVQksOuoHFEbEx,https://api.spotify.com/v1/artists/3ni9LX95aVQksOuoHFEbEx,comic
Kendrick Lamar,15643686,90,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop,hip hop,rap,west coast rap"
CHVRCHES,1165854,72,spotify:artist:3CjlHNtplJyTf9npxaPl5w,https://api.spotify.com/v1/artists/3CjlHNtplJyTf9npxaPl5w,"electropop,indie pop,indie poptimism,metropopolis,neo-synthpop,shimmer pop"
Caribou,503664,65,spotify:artist:4aEnNH9PuU1HF3TsZTru54,https://api.spotify.com/v1/artists/4aEnNH9PuU1HF3TsZTru54,"alternative dance,chillwave,electronica,electropop,folktronica,indie rock,indie soul,indietronica,intelligent dance music,new rave"
