name,followers,popularity,uri,link,genres
Austen Tayshus,556,20,spotify:artist:5qTZ9vH8R6tz5H9QWXNf6T,https://api.spotify.com/v1/artists/5qTZ9vH8R6tz5H9QWXNf6T,"australian comedy,australian rock"
Irene Cara,218200,65,spotify:artist:3oZa8Xs6IjlIUGLAhVyK4G,https://api.spotify.com/v1/artists/3oZa8Xs6IjlIUGLAhVyK4G,"dance rock,disco,europop,new wave pop,soft rock"
Laura Branigan,339128,63,spotify:artist:4463nfFMmK1cwAWBQDwT5e,https://api.spotify.com/v1/artists/4463nfFMmK1cwAWBQDwT5e,"dance rock,europop,new romantic,new wave pop,soft rock,synthpop"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
Joe Cocker,1305857,71,spotify:artist:3pFCERyEiP5xeN2EsPXhjI,https://api.spotify.com/v1/artists/3pFCERyEiP5xeN2EsPXhjI,"album rock,blues rock,classic rock,mellow gold,rock,soft rock"
Jennifer Warnes,44807,67,spotify:artist:1BwHztAQKypBuy5WBEdJnG,https://api.spotify.com/v1/artists/1BwHztAQKypBuy5WBEdJnG,"classic uk pop,folk,lilith"
Bonnie Tyler,983636,71,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,https://api.spotify.com/v1/artists/0SD4eZCN4Kr0wQk56hCdh2,"europop,new wave pop,soft rock"
Renée & Renato,542,0,spotify:artist:5TRmDf6KqY9Aes1rYB9Cl7,https://api.spotify.com/v1/artists/5TRmDf6KqY9Aes1rYB9Cl7,
Culture Club,913113,67,spotify:artist:6kz53iCdBSqhQCZ21CoLcc,https://api.spotify.com/v1/artists/6kz53iCdBSqhQCZ21CoLcc,"dance rock,disco,europop,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
The Police,3772237,78,spotify:artist:5NGO30tJxFlKixkPSgXcFE,https://api.spotify.com/v1/artists/5NGO30tJxFlKixkPSgXcFE,"album rock,art rock,classic rock,dance rock,mellow gold,new wave,permanent wave,rock,soft rock"
Pat Wilson,93,21,spotify:artist:2EbIuYqI8tC2H1P0GJztbK,https://api.spotify.com/v1/artists/2EbIuYqI8tC2H1P0GJztbK,
Australian Crawl,224750,58,spotify:artist:41fDGRDlzczk5Yo2wDo0H4,https://api.spotify.com/v1/artists/41fDGRDlzczk5Yo2wDo0H4,"australian alternative rock,australian rock"
Redgum,55918,47,spotify:artist:2FBQIV8BJF5SrvXpziFE2M,https://api.spotify.com/v1/artists/2FBQIV8BJF5SrvXpziFE2M,"australian country,australian rock"
