name,followers,popularity,uri,link,genres
Shannon Noll,46911,50,spotify:artist:2JQme5IJ3U7SRVQqHGN2fG,https://api.spotify.com/v1/artists/2JQme5IJ3U7SRVQqHGN2fG,"australian country,australian pop,australian rock,australian talent show"
Anastacia,219417,63,spotify:artist:2siHvYaxjaW5rKVRiIrMYH,https://api.spotify.com/v1/artists/2siHvYaxjaW5rKVRiIrMYH,"dance pop,europop"
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
Kelis,363111,67,spotify:artist:0IF46mUS8NXjgHabxk2MCM,https://api.spotify.com/v1/artists/0IF46mUS8NXjgHabxk2MCM,"dance pop,electropop,hip pop,neo soul,r&b,urban contemporary"
Eamon,53127,57,spotify:artist:1y20PpXw0yeuJ1avCD0Ob9,https://api.spotify.com/v1/artists/1y20PpXw0yeuJ1avCD0Ob9,r&b
Jamelia,88745,58,spotify:artist:3f5W9NEwkc1SAIPFuumcaf,https://api.spotify.com/v1/artists/3f5W9NEwkc1SAIPFuumcaf,"bubblegum dance,dance pop,europop"
Evanescence,2809272,75,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,https://api.spotify.com/v1/artists/5nGIFgo0shDenQYSE0Sn7c,alternative metal
Joel Turner and the Modern Day Poets,998,27,spotify:artist:16ETuJ039qGokMv1bZUBwU,https://api.spotify.com/v1/artists/16ETuJ039qGokMv1bZUBwU,
Black Eyed Peas,4829072,86,spotify:artist:1yxSLGMDHlW21z4YXirZDS,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap"
Baby Bash,574124,67,spotify:artist:12PSlydMSjEHzSCj9X5qv7,https://api.spotify.com/v1/artists/12PSlydMSjEHzSCj9X5qv7,"chicano rap,dance pop,dirty south rap,gangster rap,hip hop,hip pop,latin hip hop,pop rap,r&b,rap,southern hip hop,texas latin rap,urban contemporary"
Frankie J,376207,64,spotify:artist:3sMYEBy0CZFxedcnm9i9hf,https://api.spotify.com/v1/artists/3sMYEBy0CZFxedcnm9i9hf,"dance pop,pop rap,r&b,urban contemporary"
D12,1569390,67,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0,https://api.spotify.com/v1/artists/5Qi4Bb7a8C0a00NZcA77L0,"detroit hip hop,gangster rap,hip hop,pop rap,rap,rap rock"
Limp Bizkit,3521684,76,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,https://api.spotify.com/v1/artists/165ZgPlLkK7bf5bDoFc6Sb,"alternative metal,funk metal,nu metal,rap metal,wrestling"
Maroon 5,27337001,90,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,"pop,pop rock"
Jessica Simpson,835007,56,spotify:artist:2tFN9ubMXEhdAQvdQxcsma,https://api.spotify.com/v1/artists/2tFN9ubMXEhdAQvdQxcsma,"dance pop,post-teen pop,urban contemporary"
OutKast,1464421,78,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,"atl hip hop,dirty south rap,hip hop,rap,southern hip hop"
Mario Winans,37661,62,spotify:artist:4BIQA9vRkqXEnA2twmq7mU,https://api.spotify.com/v1/artists/4BIQA9vRkqXEnA2twmq7mU,"r&b,urban contemporary"
Enya,1379423,76,spotify:artist:6uothxMWeLWIhsGeF7cyo4,https://api.spotify.com/v1/artists/6uothxMWeLWIhsGeF7cyo4,"celtic,middle earth"
Diddy,1018179,77,spotify:artist:59wfkuBoNyhDMQGCljbUbA,https://api.spotify.com/v1/artists/59wfkuBoNyhDMQGCljbUbA,"dance pop,east coast hip hop,hip hop,hip pop,pop rap,r&b,rap"
Paulini,8390,24,spotify:artist:69lNua6PEluHihKfuIRPKc,https://api.spotify.com/v1/artists/69lNua6PEluHihKfuIRPKc,australian pop
3 Doors Down,2907686,74,spotify:artist:2RTUTCvo6onsAnheUk3aL9,https://api.spotify.com/v1/artists/2RTUTCvo6onsAnheUk3aL9,"alternative metal,nu metal,pop rock,post-grunge"
Starsailor,152155,52,spotify:artist:0G8zjE6SsFTlbglCkU8pm3,https://api.spotify.com/v1/artists/0G8zjE6SsFTlbglCkU8pm3,"britpop,lancashire indie,piano rock"
Delta Goodrem,167398,58,spotify:artist:2g6fa86fL6oLcoDqanBbuR,https://api.spotify.com/v1/artists/2g6fa86fL6oLcoDqanBbuR,"australian pop,australian talent show,dance pop,europop"
Pete Murray,116865,54,spotify:artist:1qAMxE8YRo3KREMiKiyUkV,https://api.spotify.com/v1/artists/1qAMxE8YRo3KREMiKiyUkV,"australian alternative rock,australian pop,australian rock,pop rock"
Missy Higgins,165037,58,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,https://api.spotify.com/v1/artists/6aP8ry8w3bSNyfyqhE8rGf,"australian pop,pop rock"
JoJo,1680339,69,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6,https://api.spotify.com/v1/artists/5xuNBZoM7z1Vv8IQ6uM0p6,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
Seether,2182926,74,spotify:artist:6B5c4sch27tWHAGdarpPaW,https://api.spotify.com/v1/artists/6B5c4sch27tWHAGdarpPaW,"alternative metal,nu metal,post-grunge,south african rock"
Amy Lee,2122,48,spotify:artist:6wzSp8kGs3T2RvfwzFn1M6,https://api.spotify.com/v1/artists/6wzSp8kGs3T2RvfwzFn1M6,
Casey Donovan,7598,27,spotify:artist:64NYtjmJ1onMOgQ2F40d6X,https://api.spotify.com/v1/artists/64NYtjmJ1onMOgQ2F40d6X,"australian indigenous,australian pop"
Gwen Stefani,4197071,77,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,https://api.spotify.com/v1/artists/4yiQZ8tQPux8cPriYMWUFP,"dance pop,europop,hip pop,pop,pop rock,post-teen pop,urban contemporary"
Frankee,3573,42,spotify:artist:01U4snBkRWq0FBrK3P1mwM,https://api.spotify.com/v1/artists/01U4snBkRWq0FBrK3P1mwM,
Usher,8101799,84,spotify:artist:23zg3TcAtWQy7J6upgbUnj,https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary"
