name,followers,popularity,uri,link,genres
Mumford & Sons,5829870,79,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,https://api.spotify.com/v1/artists/3gd8FJtBJtkRxdfbTu19U2,"modern folk rock,modern rock,stomp and holler,uk americana"
Art vs Science,35018,42,spotify:artist:4MlrZKzgi3UuZi2iDKjOar,https://api.spotify.com/v1/artists/4MlrZKzgi3UuZi2iDKjOar,"australian alternative rock,australian dance,australian indie"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Phoenix,1622577,69,spotify:artist:1xU878Z1QtBldR7ru9owdU,https://api.spotify.com/v1/artists/1xU878Z1QtBldR7ru9owdU,"alternative dance,dance-punk,indie pop,indie rock,modern rock,new rave,rock independant francais"
Bluejuice,32806,49,spotify:artist:7sCcPQQft3sSxcJaB30dlb,https://api.spotify.com/v1/artists/7sCcPQQft3sSxcJaB30dlb,"australian alternative rock,australian hip hop,australian indie"
La Roux,534506,65,spotify:artist:3K2zB87GZv1krx031en5VA,https://api.spotify.com/v1/artists/3K2zB87GZv1krx031en5VA,"alternative dance,dance pop,electropop,neo-synthpop,new rave"
Lisa Mitchell,84081,51,spotify:artist:53f2OKMfVLTsHFkGyA5dnz,https://api.spotify.com/v1/artists/53f2OKMfVLTsHFkGyA5dnz,"australian indie,australian indie folk"
Lily Allen,1592285,73,spotify:artist:13saZpZnCDWOI9D4IJhp1f,https://api.spotify.com/v1/artists/13saZpZnCDWOI9D4IJhp1f,"dance pop,pop"
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
Florence + The Machine,5317390,78,spotify:artist:1moxjboGR7GNWYIMWsRjgG,https://api.spotify.com/v1/artists/1moxjboGR7GNWYIMWsRjgG,"art pop,baroque pop,pop,uk alternative pop"
Yeah Yeah Yeahs,950708,67,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,https://api.spotify.com/v1/artists/3TNt4aUIxgfy9aoaft5Jj2,"alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,modern rock,new rave,rock"
Dizzee Rascal,323971,68,spotify:artist:0gusqTJKxtU1UTmNRMHZcv,https://api.spotify.com/v1/artists/0gusqTJKxtU1UTmNRMHZcv,"bassline,grime,house,instrumental grime"
Phoenix,1622577,69,spotify:artist:1xU878Z1QtBldR7ru9owdU,https://api.spotify.com/v1/artists/1xU878Z1QtBldR7ru9owdU,"alternative dance,dance-punk,indie pop,indie rock,modern rock,new rave,rock independant francais"
Jamie T,322302,61,spotify:artist:3Rsr4Z96O6U3lToOiV3zBh,https://api.spotify.com/v1/artists/3Rsr4Z96O6U3lToOiV3zBh,"modern rock,new rave,rock"
Edward Sharpe & The Magnetic Zeros,913367,69,spotify:artist:7giUHu5pv6YTZgSkxxCcgh,https://api.spotify.com/v1/artists/7giUHu5pv6YTZgSkxxCcgh,"double drumming,indie folk,indie pop,la indie,modern rock,stomp and holler"
