name,followers,popularity,uri,link,genres
Meat Loaf,578179,67,spotify:artist:7dnB1wSxbYa8CejeVg98hz,https://api.spotify.com/v1/artists/7dnB1wSxbYa8CejeVg98hz,"album rock,classic rock,mellow gold,rock,soft rock"
Whitney Houston,5907066,82,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,"dance pop,pop,urban contemporary"
D. Pritzker,361,44,spotify:artist:7hSWOsjh4uFNAS6c3gcm25,https://api.spotify.com/v1/artists/7hSWOsjh4uFNAS6c3gcm25,
Sonia Dada,5511,45,spotify:artist:1aTjB39eq6n3HcA8MbGpGp,https://api.spotify.com/v1/artists/1aTjB39eq6n3HcA8MbGpGp,
Inner Circle,244176,64,spotify:artist:5os0Ltvz8Q8BvXOPOd1frx,https://api.spotify.com/v1/artists/5os0Ltvz8Q8BvXOPOd1frx,"reggae,reggae fusion,roots reggae"
UB40,1555333,73,spotify:artist:69MEO1AADKg1IZrq2XLzo5,https://api.spotify.com/v1/artists/69MEO1AADKg1IZrq2XLzo5,"reggae,reggae fusion,uk reggae"
Snow,40537,71,spotify:artist:3uZFBSsMiooimnprFL9jD1,https://api.spotify.com/v1/artists/3uZFBSsMiooimnprFL9jD1,reggae fusion
4 Non Blondes,290387,67,spotify:artist:0Je74SitssvJg1w4Ra2EK7,https://api.spotify.com/v1/artists/0Je74SitssvJg1w4Ra2EK7,"new wave pop,pop rock"
Ugly Kid Joe,128696,56,spotify:artist:3XsgWn63EnA4wYZBjVyxjf,https://api.spotify.com/v1/artists/3XsgWn63EnA4wYZBjVyxjf,"funk metal,funk rock,glam metal,hard rock,rock"
Ace of Base,418412,67,spotify:artist:5ksRONqssB7BR161NTtJAm,https://api.spotify.com/v1/artists/5ksRONqssB7BR161NTtJAm,"bubblegum dance,dance pop,eurodance,europop,hip house,pop rock"
Bryan Adams,1807032,79,spotify:artist:3Z02hBLubJxuFJfhacLSDc,https://api.spotify.com/v1/artists/3Z02hBLubJxuFJfhacLSDc,"album rock,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,pop rock,rock,soft rock"
Lenny Kravitz,2062117,73,spotify:artist:5gznATMVO85ZcLTkE9ULU7,https://api.spotify.com/v1/artists/5gznATMVO85ZcLTkE9ULU7,"permanent wave,pop rock,rock"
Peter Andre,48530,53,spotify:artist:4zVfvSWs6FvSD6B5lQGs2S,https://api.spotify.com/v1/artists/4zVfvSWs6FvSD6B5lQGs2S,"bubblegum dance,europop"
Billy Joel,2983579,80,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,https://api.spotify.com/v1/artists/6zFYqv1mOsgBRQbae3JJ9e,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock"
Frankie Valli & The Four Seasons,395226,68,spotify:artist:6mcrZQmgzFGRWf7C0SObou,https://api.spotify.com/v1/artists/6mcrZQmgzFGRWf7C0SObou,"adult standards,brill building pop,bubblegum pop,doo-wop,folk rock,lounge,motown,northern soul,rock-and-roll"
Silk,749762,54,spotify:artist:3wVllS5itPK6rpHwfvNce4,https://api.spotify.com/v1/artists/3wVllS5itPK6rpHwfvNce4,"atl hip hop,boy band,dance pop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary"
Culture Beat,94471,61,spotify:artist:0BZ3BHzfYwpd3k5TDnvAz8,https://api.spotify.com/v1/artists/0BZ3BHzfYwpd3k5TDnvAz8,"bubblegum dance,eurodance,europop,german techno,hip house"
Janet Jackson,2216858,71,spotify:artist:4qwGe91Bz9K2T8jXTZ815W,https://api.spotify.com/v1/artists/4qwGe91Bz9K2T8jXTZ815W,"dance pop,hip pop,neo soul,new jack swing,pop,r&b,urban contemporary"
DJ Jazzy Jeff & The Fresh Prince,238983,60,spotify:artist:1mG23iQeR29Ojhq89D5gbh,https://api.spotify.com/v1/artists/1mG23iQeR29Ojhq89D5gbh,"gangster rap,hip hop,old school hip hop,philly rap,rap"
Taylor Dayne,259027,61,spotify:artist:32lVGr0fSRGT6okLKHiP68,https://api.spotify.com/v1/artists/32lVGr0fSRGT6okLKHiP68,"freestyle,hi-nrg,new wave pop,soft rock"
Gabrielle,171605,64,spotify:artist:7rftfGIYEeZ79sLb58ZBDi,https://api.spotify.com/v1/artists/7rftfGIYEeZ79sLb58ZBDi,"british soul,dance pop,europop,neo soul,new wave pop,pop rock"
Kim Wilde,360993,62,spotify:artist:73a6pNH4YtLNgDbPQwXveo,https://api.spotify.com/v1/artists/73a6pNH4YtLNgDbPQwXveo,"dance rock,europop,new romantic,new wave,new wave pop,soft rock"
Jimmy Barnes,197427,61,spotify:artist:1k5aZWIOUbUfKcnMxtEivJ,https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ,"australian pop,australian rock"
Faith No More,1171719,67,spotify:artist:6GbCJZrI318Ybm8mY36Of5,https://api.spotify.com/v1/artists/6GbCJZrI318Ybm8mY36Of5,"alternative metal,alternative rock,funk metal,funk rock,hard rock,nu metal,rap metal,rock"
The Heights,1881,39,spotify:artist:3VvCoGaJ64OBTnhiqta7XL,https://api.spotify.com/v1/artists/3VvCoGaJ64OBTnhiqta7XL,
Rage Against The Machine,3805588,76,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,https://api.spotify.com/v1/artists/2d0hyoQ5ynDBnkvAbJKORj,"alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,political hip hop,rap metal,rap rock,rock"
Green Jelly,30312,38,spotify:artist:6dyxkRwYuTw6ezj1tjC2rY,https://api.spotify.com/v1/artists/6dyxkRwYuTw6ezj1tjC2rY,"comic metal,funk metal"
Spin Doctors,382788,63,spotify:artist:2PSiyldxmJze7xiqbz658m,https://api.spotify.com/v1/artists/2PSiyldxmJze7xiqbz658m,"alternative rock,pop rock,rock"
Eric Clapton,3791563,77,spotify:artist:6PAt558ZEZl0DmdXlnjMgD,https://api.spotify.com/v1/artists/6PAt558ZEZl0DmdXlnjMgD,"album rock,blues rock,classic rock,electric blues,mellow gold,rock,soft rock"
Johnny Gill,591558,55,spotify:artist:7oHzn7edwmrYClrPRINkbn,https://api.spotify.com/v1/artists/7oHzn7edwmrYClrPRINkbn,"funk,neo soul,new jack swing,quiet storm,r&b,urban contemporary"
2 Unlimited,137699,59,spotify:artist:18JD8DVlD1fakDAw7E9LFC,https://api.spotify.com/v1/artists/18JD8DVlD1fakDAw7E9LFC,"bubblegum dance,eurodance,europop,hip house"
East 17,68586,52,spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY,https://api.spotify.com/v1/artists/6lOC7lwSO1ql4Gc2Y3QObY,"boy band,dance pop,eurodance,europop,hip house"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
R.E.M.,2660388,77,spotify:artist:4KWTAlx2RvbpseOGMEmROg,https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg,"alternative rock,classic rock,permanent wave,pop rock,rock"
Shaggy,1415439,77,spotify:artist:5EvFsr3kj42KNv97ZEnqij,https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,"dance pop,reggae fusion"
Urban Cookie Collective,13643,50,spotify:artist:1QYMj6ouUhi6yis1HE8M68,https://api.spotify.com/v1/artists/1QYMj6ouUhi6yis1HE8M68,"disco house,diva house,eurodance,europop,hardcore techno,hip house"
Guns N' Roses,18113667,83,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,"glam metal,hard rock,rock"
