name,followers,popularity,uri,link,genres
Alex Lloyd,21078,42,spotify:artist:1aVud1rCHS8xrpDjI7zEUy,https://api.spotify.com/v1/artists/1aVud1rCHS8xrpDjI7zEUy,"australian alternative rock,australian rock"
Something For Kate,59275,47,spotify:artist:47yawJswuSfSvizYhItoOP,https://api.spotify.com/v1/artists/47yawJswuSfSvizYhItoOP,"australian alternative rock,australian indie,australian rock"
System Of A Down,6551013,81,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,https://api.spotify.com/v1/artists/5eAWCfyUhZtHHtBdNk56l1,"alternative metal,nu metal,rap metal"
Basement Jaxx,397179,60,spotify:artist:4YrKBkKSVeqDamzBPWVnSJ,https://api.spotify.com/v1/artists/4YrKBkKSVeqDamzBPWVnSJ,"alternative dance,big beat,disco house,electronica,new rave,vocal house"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Alien Ant Farm,581713,64,spotify:artist:6TZdvF1kFzwnQLgHQynzsO,https://api.spotify.com/v1/artists/6TZdvF1kFzwnQLgHQynzsO,"alternative metal,funk metal,nu metal,pop punk,post-grunge,rap rock"
Weezer,2115590,76,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu,"alternative rock,modern power pop,modern rock,permanent wave,pop punk,pop rock,rock"
The Avalanches,315887,63,spotify:artist:3C8RpaI3Go0yFF9whvKoED,https://api.spotify.com/v1/artists/3C8RpaI3Go0yFF9whvKoED,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,new rave,psychedelic hip hop"
Gorillaz,6011490,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,"alternative hip hop,art pop"
Cake,785503,67,spotify:artist:6A43Djmhbe9100UwnI7epV,https://api.spotify.com/v1/artists/6A43Djmhbe9100UwnI7epV,"alternative rock,modern rock,pop rock,rock,sacramento indie"
Garbage,784903,62,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
The Strokes,3396527,79,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V,"alternative rock,garage rock,modern rock,permanent wave,rock"
Something For Kate,59275,47,spotify:artist:47yawJswuSfSvizYhItoOP,https://api.spotify.com/v1/artists/47yawJswuSfSvizYhItoOP,"australian alternative rock,australian indie,australian rock"
TOOL,1656063,75,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,https://api.spotify.com/v1/artists/2yEwvVSSSUkcLeSTNyHKh8,"alternative metal,alternative rock,art rock,nu metal,post-metal,progressive metal,progressive rock,rock"
Gorillaz,6011490,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,"alternative hip hop,art pop"
28 Days,26498,42,spotify:artist:0NXVGrFkPu0Cohh3BJV5Wx,https://api.spotify.com/v1/artists/0NXVGrFkPu0Cohh3BJV5Wx,"australian alternative rock,australian hip hop,australian rock"
Ben Folds,227529,57,spotify:artist:55tif8708yyDQlSjh3Trdu,https://api.spotify.com/v1/artists/55tif8708yyDQlSjh3Trdu,"indie pop,modern rock,permanent wave,piano rock,pop rock"
Rage Against The Machine,3805588,76,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,https://api.spotify.com/v1/artists/2d0hyoQ5ynDBnkvAbJKORj,"alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,political hip hop,rap metal,rap rock,rock"
George,7891,34,spotify:artist:5btCRpy3MmqEeGcm6PlOrA,https://api.spotify.com/v1/artists/5btCRpy3MmqEeGcm6PlOrA,
Weezer,2115590,76,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu,"alternative rock,modern power pop,modern rock,permanent wave,pop punk,pop rock,rock"
Fatboy Slim,872147,68,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,https://api.spotify.com/v1/artists/4Y7tXHSEejGu1vQ9bwDdXW,"big beat,disco house"
Bootsy Collins,234727,64,spotify:artist:5K0rbdBrs2tNXe5LeWMATT,https://api.spotify.com/v1/artists/5K0rbdBrs2tNXe5LeWMATT,"funk,p funk,quiet storm,soul"
Ben Harper And The Innocent Criminals,95192,51,spotify:artist:7sJ9LR0mCMgFlzJ6Y9xP64,https://api.spotify.com/v1/artists/7sJ9LR0mCMgFlzJ6Y9xP64,
PJ Harvey,661945,63,spotify:artist:12VaqyEhgwDRuFfEqbnrpz,https://api.spotify.com/v1/artists/12VaqyEhgwDRuFfEqbnrpz,"alternative rock,art pop,art rock,chamber psych,indie rock,lilith,melancholia,permanent wave,piano rock,rock,singer-songwriter"
Thom Yorke,619670,64,spotify:artist:4CvTDPKA6W06DRfBnZKrau,https://api.spotify.com/v1/artists/4CvTDPKA6W06DRfBnZKrau,"art pop,electronica,glitch pop,indie rock,modern rock,oxford indie"
Gerling,5820,31,spotify:artist:1EEK8b9H1wAJjFtvCNHUU7,https://api.spotify.com/v1/artists/1EEK8b9H1wAJjFtvCNHUU7,australian alternative rock
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
Jamiroquai,1600031,71,spotify:artist:6J7biCazzYhU3gM9j1wfid,https://api.spotify.com/v1/artists/6J7biCazzYhU3gM9j1wfid,dance pop
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Jebediah,49919,45,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,https://api.spotify.com/v1/artists/6L9bfTvOEA9BOJEIBhU4ln,"aussie emo,australian alternative rock,australian rock,perth indie"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Machine Gun Fellatio,26783,41,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,https://api.spotify.com/v1/artists/5aVKsCIE4jsTKODYwjVVLK,"australian alternative rock,australian rock"
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
Placebo,1306442,70,spotify:artist:6RZUqkomCmb8zCRqc9eznB,https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB,"alternative rock,britpop,modern rock,permanent wave,rock"
James,354338,63,spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh,https://api.spotify.com/v1/artists/0qLNsNKm8bQcMoRFkR8Hmh,"britpop,dance rock,madchester,new wave,new wave pop,permanent wave,pop rock,rock"
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
Dido,1053738,73,spotify:artist:2mpeljBig2IXLXRAFO9AAs,https://api.spotify.com/v1/artists/2mpeljBig2IXLXRAFO9AAs,"dance pop,new wave pop,pop rock"
Radiohead,5546301,81,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
Something For Kate,59275,47,spotify:artist:47yawJswuSfSvizYhItoOP,https://api.spotify.com/v1/artists/47yawJswuSfSvizYhItoOP,"australian alternative rock,australian indie,australian rock"
New Order,1303700,72,spotify:artist:0yNLKJebCb8Aueb54LYya3,https://api.spotify.com/v1/artists/0yNLKJebCb8Aueb54LYya3,"art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
The Cruel Sea,39816,47,spotify:artist:5m5cTNJ2RxfxKpGULocV9T,https://api.spotify.com/v1/artists/5m5cTNJ2RxfxKpGULocV9T,"australian alternative rock,australian rock"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
Eels,325911,62,spotify:artist:3zunDAtRDg7kflREzWAhxl,https://api.spotify.com/v1/artists/3zunDAtRDg7kflREzWAhxl,"alternative rock,melancholia"
Garbage,784903,62,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
Tori Amos,499281,60,spotify:artist:1KsASRNugxU85T0u6zSg32,https://api.spotify.com/v1/artists/1KsASRNugxU85T0u6zSg32,"art pop,ectofolk,folk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter"
The Smashing Pumpkins,2956197,75,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,rock"
Augie March,21443,44,spotify:artist:0vntgse6gPZfthoW8kTTlR,https://api.spotify.com/v1/artists/0vntgse6gPZfthoW8kTTlR,"australian alternative rock,australian indie,australian rock,melbourne indie"
Groove Armada,478832,64,spotify:artist:67tgMwUfnmqzYsNAtnP6YJ,https://api.spotify.com/v1/artists/67tgMwUfnmqzYsNAtnP6YJ,"big beat,disco house,electronica,nu jazz,nu skool breaks,trip hop"
TOOL,1656063,75,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,https://api.spotify.com/v1/artists/2yEwvVSSSUkcLeSTNyHKh8,"alternative metal,alternative rock,art rock,nu metal,post-metal,progressive metal,progressive rock,rock"
Paul Mac,2597,34,spotify:artist:2ZW29i2YE4YDQf6WemPJ4W,https://api.spotify.com/v1/artists/2ZW29i2YE4YDQf6WemPJ4W,
Peta Morris,20,30,spotify:artist:3jd8xfOmRGCpjWt45nC3kZ,https://api.spotify.com/v1/artists/3jd8xfOmRGCpjWt45nC3kZ,
Nick Cave & The Bad Seeds,932345,69,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,https://api.spotify.com/v1/artists/4UXJsSlnKd7ltsrHebV79Q,"art rock,permanent wave,rock"
They Might Be Giants,249883,63,spotify:artist:6zB02lwP6L6ZH32nggQiJT,https://api.spotify.com/v1/artists/6zB02lwP6L6ZH32nggQiJT,"comic,geek rock,permanent wave,zolo"
Motor Ace,9422,31,spotify:artist:1m0nEaW7JgNczyYZGUYLcu,https://api.spotify.com/v1/artists/1m0nEaW7JgNczyYZGUYLcu,australian alternative rock
blink-182,6094546,81,spotify:artist:6FBDaR13swtiWwGhX1WQsP,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,"pop punk,punk,socal pop punk"
Linkin Park,16940696,88,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz,"alternative metal,nu metal,post-grunge,rap metal"
You Am I,41343,47,spotify:artist:7GvCdRq4iHNQDsGlPWOycw,https://api.spotify.com/v1/artists/7GvCdRq4iHNQDsGlPWOycw,"australian alternative rock,australian indie,australian rock"
You Am I,41343,47,spotify:artist:7GvCdRq4iHNQDsGlPWOycw,https://api.spotify.com/v1/artists/7GvCdRq4iHNQDsGlPWOycw,"australian alternative rock,australian indie,australian rock"
Jimmy Eat World,1074803,70,spotify:artist:3Ayl7mCk0nScecqOzvNp6s,https://api.spotify.com/v1/artists/3Ayl7mCk0nScecqOzvNp6s,"emo,modern power pop,modern rock,neo mellow,pop punk,pop rock,rock"
The Strokes,3396527,79,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V,"alternative rock,garage rock,modern rock,permanent wave,rock"
At The Drive In,236070,52,spotify:artist:5E2rtn57BM2WPjwak4kGd5,https://api.spotify.com/v1/artists/5E2rtn57BM2WPjwak4kGd5,"alternative metal,alternative rock,dance-punk,el paso indie,indie rock,modern rock,post-hardcore"
Daft Punk,6780183,83,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,"electro,filter house"
Jamiroquai,1600031,71,spotify:artist:6J7biCazzYhU3gM9j1wfid,https://api.spotify.com/v1/artists/6J7biCazzYhU3gM9j1wfid,dance pop
Alex Lloyd,21078,42,spotify:artist:1aVud1rCHS8xrpDjI7zEUy,https://api.spotify.com/v1/artists/1aVud1rCHS8xrpDjI7zEUy,"australian alternative rock,australian rock"
The White Stripes,2247412,74,spotify:artist:4F84IBURUo98rz4r61KF70,https://api.spotify.com/v1/artists/4F84IBURUo98rz4r61KF70,"alternative rock,blues rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
Ash,120550,52,spotify:artist:2evydP72Z45DouM4uMGsIE,https://api.spotify.com/v1/artists/2evydP72Z45DouM4uMGsIE,"britpop,modern rock,pop rock"
The Strokes,3396527,79,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V,"alternative rock,garage rock,modern rock,permanent wave,rock"
Ben Folds,227529,57,spotify:artist:55tif8708yyDQlSjh3Trdu,https://api.spotify.com/v1/artists/55tif8708yyDQlSjh3Trdu,"indie pop,modern rock,permanent wave,piano rock,pop rock"
Blueline Medic,1076,20,spotify:artist:0GLpljI83CosBRPshht9B1,https://api.spotify.com/v1/artists/0GLpljI83CosBRPshht9B1,"aussie emo,australian alternative rock"
Unwritten Law,98109,51,spotify:artist:30h6MvMZfHQ8yzYCbfHMMT,https://api.spotify.com/v1/artists/30h6MvMZfHQ8yzYCbfHMMT,"pop punk,punk,skate punk"
Rammstein,5044423,81,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,https://api.spotify.com/v1/artists/6wWVKhxIU2cEi0K81v7HvP,"alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte,nu metal"
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
Radiohead,5546301,81,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
Groove Armada,478832,64,spotify:artist:67tgMwUfnmqzYsNAtnP6YJ,https://api.spotify.com/v1/artists/67tgMwUfnmqzYsNAtnP6YJ,"big beat,disco house,electronica,nu jazz,nu skool breaks,trip hop"
The Avalanches,315887,63,spotify:artist:3C8RpaI3Go0yFF9whvKoED,https://api.spotify.com/v1/artists/3C8RpaI3Go0yFF9whvKoED,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,new rave,psychedelic hip hop"
Big Heavy Stuff,2386,16,spotify:artist:5Vsonl53fPvUs3VL4YLKKg,https://api.spotify.com/v1/artists/5Vsonl53fPvUs3VL4YLKKg,australian alternative rock
The Cruel Sea,39816,47,spotify:artist:5m5cTNJ2RxfxKpGULocV9T,https://api.spotify.com/v1/artists/5m5cTNJ2RxfxKpGULocV9T,"australian alternative rock,australian rock"
R.E.M.,2660388,77,spotify:artist:4KWTAlx2RvbpseOGMEmROg,https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg,"alternative rock,classic rock,permanent wave,pop rock,rock"
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
Crazy Town,310706,62,spotify:artist:4iSKnRZAxkmqNok6tv10Se,https://api.spotify.com/v1/artists/4iSKnRZAxkmqNok6tv10Se,"alternative metal,funk metal,nu metal,rap rock"
Lazaro's Dog,105,6,spotify:artist:6HGeVgbCIyLs0cD7SVykwQ,https://api.spotify.com/v1/artists/6HGeVgbCIyLs0cD7SVykwQ,
Ash,120550,52,spotify:artist:2evydP72Z45DouM4uMGsIE,https://api.spotify.com/v1/artists/2evydP72Z45DouM4uMGsIE,"britpop,modern rock,pop rock"
The Supermen Lovers,16884,53,spotify:artist:08dJ0NJ9jMf8qdLmdhQ2yA,https://api.spotify.com/v1/artists/08dJ0NJ9jMf8qdLmdhQ2yA,"disco house,filter house"
Mani Hoffman,1327,53,spotify:artist:4h5uH2PyDzfpfZresu96cw,https://api.spotify.com/v1/artists/4h5uH2PyDzfpfZresu96cw,
At The Drive In,236070,52,spotify:artist:5E2rtn57BM2WPjwak4kGd5,https://api.spotify.com/v1/artists/5E2rtn57BM2WPjwak4kGd5,"alternative metal,alternative rock,dance-punk,el paso indie,indie rock,modern rock,post-hardcore"
Michael Franti & Spearhead,148684,60,spotify:artist:1mHuZMOP8FG5ip4yAb1vrB,https://api.spotify.com/v1/artists/1mHuZMOP8FG5ip4yAb1vrB,reggae fusion
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
New Order,1303700,72,spotify:artist:0yNLKJebCb8Aueb54LYya3,https://api.spotify.com/v1/artists/0yNLKJebCb8Aueb54LYya3,"art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
Sum 41,2785701,75,spotify:artist:0qT79UgT5tY4yudH9VfsdT,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,"alternative metal,canadian pop punk,canadian punk,nu metal,pop punk,punk"
George,7891,34,spotify:artist:5btCRpy3MmqEeGcm6PlOrA,https://api.spotify.com/v1/artists/5btCRpy3MmqEeGcm6PlOrA,
Butthole Surfers,196436,57,spotify:artist:62BcWP4fzR8axESibNQEhs,https://api.spotify.com/v1/artists/62BcWP4fzR8axESibNQEhs,"alternative rock,experimental rock,grunge,noise rock,post-hardcore,post-punk,psychedelic punk,punk"
Depeche Mode,3384760,77,spotify:artist:762310PdDnwsDxAQxzQkfX,https://api.spotify.com/v1/artists/762310PdDnwsDxAQxzQkfX,"dance rock,new romantic,new wave,permanent wave,synthpop"
Good Charlotte,1853536,71,spotify:artist:5aYyPjAsLj7UzANzdupwnS,https://api.spotify.com/v1/artists/5aYyPjAsLj7UzANzdupwnS,"alternative metal,pop punk"
Pennywise,530700,62,spotify:artist:6i0KVTOvm96T55mbp742ks,https://api.spotify.com/v1/artists/6i0KVTOvm96T55mbp742ks,"melodic hardcore,pop punk,punk,skate punk,socal pop punk"
Superheist,6537,27,spotify:artist:0FLBCCdO8eMeyz99QZevMy,https://api.spotify.com/v1/artists/0FLBCCdO8eMeyz99QZevMy,australian alternative rock
Faithless,438826,63,spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,https://api.spotify.com/v1/artists/5T4UKHhr4HGIC0VzdZQtAE,"big beat,downtempo,electronica,trip hop"
The Chemical Brothers,1460789,67,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo,"alternative dance,big beat,breakbeat,electronica,new rave,rave"
Endorphin,1106,25,spotify:artist:4KkheqYJeoNrOLA3exG2ub,https://api.spotify.com/v1/artists/4KkheqYJeoNrOLA3exG2ub,
