name,followers,popularity,uri,link,genres
5 Seconds of Summer,6664547,85,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,https://api.spotify.com/v1/artists/5Rl15oVamLq7FbSb0NNBNy,"boy band,dance pop,pop,post-teen pop"
Drake,50161321,100,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Dean Lewis,1303949,80,spotify:artist:3QSQFmccmX81fWCUSPTS7y,https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,"australian pop,pop"
Bebe Rexha,5680003,85,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb,"dance pop,electropop,pop,post-teen pop"
Florida Georgia Line,3988651,82,spotify:artist:3b8QkneNDz4JHKKKlLgYZg,https://api.spotify.com/v1/artists/3b8QkneNDz4JHKKKlLgYZg,"contemporary country,country,country pop,country road,modern country rock"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Ty Dolla $ign,3490358,89,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,https://api.spotify.com/v1/artists/7c0XG5cIJTrrAgEC3ULPiq,"hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul"
Maroon 5,27337001,90,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,"pop,pop rock"
Cardi B,12911231,93,spotify:artist:4kYSro6naA4h99UJvo89HB,https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB,"pop,pop rap,rap"
George Ezra,3261292,77,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,https://api.spotify.com/v1/artists/2ysnwxxNtSgbb9t1m2Ur4j,"folk-pop,modern rock,neo-singer-songwriter,pop,pop rock"
benny blanco,643057,79,spotify:artist:5CiGnKThu5ctn9pBxv7DGa,https://api.spotify.com/v1/artists/5CiGnKThu5ctn9pBxv7DGa,"dance pop,pop,pop rap"
