name,followers,popularity,uri,link,genres
The Swingers,3634,40,spotify:artist:7IwgYVMAMcynxPDNtJjmfg,https://api.spotify.com/v1/artists/7IwgYVMAMcynxPDNtJjmfg,"classic nz pop,kiwi rock"
Stars On 45,25573,48,spotify:artist:4r8b3Hr0AMhzhAg75le0Gx,https://api.spotify.com/v1/artists/4r8b3Hr0AMhzhAg75le0Gx,disco
Adam & The Ants,191569,48,spotify:artist:2DppeCnNtvrLfEobq9Pw5r,https://api.spotify.com/v1/artists/2DppeCnNtvrLfEobq9Pw5r,"dance rock,double drumming,new romantic,new wave,new wave pop,post-punk,punk,ska"
Roxy Music,585897,65,spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo,https://api.spotify.com/v1/artists/3fhOTtm0LBJ3Ojn4hIljLo,"album rock,art rock,classic rock,classic uk pop,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop"
DEVO,331362,60,spotify:artist:0UKfenbZb15sqhfPC6zbt3,https://api.spotify.com/v1/artists/0UKfenbZb15sqhfPC6zbt3,"alternative rock,art punk,art rock,dance rock,new romantic,new wave,post-punk,punk,synth punk,synthpop,zolo"
Kim Carnes,159445,63,spotify:artist:5PN2aHIvLEM98XIorsPMhE,https://api.spotify.com/v1/artists/5PN2aHIvLEM98XIorsPMhE,"new wave pop,soft rock"
Sheena Easton,345682,60,spotify:artist:5dcOK4stT4JDkP6Dqhbz5s,https://api.spotify.com/v1/artists/5dcOK4stT4JDkP6Dqhbz5s,"adult standards,mellow gold,minneapolis sound,new romantic,new wave pop,soft rock"
Lionel Richie,1837105,75,spotify:artist:3gMaNLQm7D9MornNILzdSl,https://api.spotify.com/v1/artists/3gMaNLQm7D9MornNILzdSl,"adult standards,disco,mellow gold,motown,quiet storm,soft rock"
Diana Ross,1147697,72,spotify:artist:3MdG05syQeRYPPcClLaUGl,https://api.spotify.com/v1/artists/3MdG05syQeRYPPcClLaUGl,"adult standards,disco,funk,mellow gold,motown,quiet storm,soft rock,soul"
Men At Work,730614,69,spotify:artist:0f3EsoviYnRKTkmayI3cux,https://api.spotify.com/v1/artists/0f3EsoviYnRKTkmayI3cux,"album rock,australian rock,dance rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
Kim Wilde,360993,62,spotify:artist:73a6pNH4YtLNgDbPQwXveo,https://api.spotify.com/v1/artists/73a6pNH4YtLNgDbPQwXveo,"dance rock,europop,new romantic,new wave,new wave pop,soft rock"
Shakin' Stevens,83950,56,spotify:artist:0wi4yTYlGtEnbGo4ltZTib,https://api.spotify.com/v1/artists/0wi4yTYlGtEnbGo4ltZTib,"classic uk pop,new wave pop,rock-and-roll,rockabilly"
Loverboy,496621,61,spotify:artist:2CLVPk9FcywjClBcTvWPkT,https://api.spotify.com/v1/artists/2CLVPk9FcywjClBcTvWPkT,"album rock,classic canadian rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock"
The Rolling Stones,9257612,84,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,https://api.spotify.com/v1/artists/22bE4uQ6baNwSHPVcDxLCe,"album rock,british invasion,classic rock,rock"
Billy Field,2707,29,spotify:artist:72TwyCcvk2jm4gZSGEPjhb,https://api.spotify.com/v1/artists/72TwyCcvk2jm4gZSGEPjhb,australian rock
Rick Springfield,472877,66,spotify:artist:6IFXsrXBpwbIqtOUOiAa3p,https://api.spotify.com/v1/artists/6IFXsrXBpwbIqtOUOiAa3p,"album rock,australian rock,classic rock,dance rock,heartland rock,mellow gold,new wave pop,pop rock,soft rock,yacht rock"
Slim Dusty,84824,55,spotify:artist:0M4w6wFmaVFmP4lIndnEU5,https://api.spotify.com/v1/artists/0M4w6wFmaVFmP4lIndnEU5,"australian country,australian rock,bush ballad,classic australian country"
Dr. Hook,290713,63,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,https://api.spotify.com/v1/artists/2Mhi3jfuRSdbVZPdjqsnnN,"bubblegum pop,classic rock,classic uk pop,country rock,folk rock,mellow gold,soft rock"
John Lennon,3714569,75,spotify:artist:4x1nvY2FN8jxqAFA0DA02H,https://api.spotify.com/v1/artists/4x1nvY2FN8jxqAFA0DA02H,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock"
Shakin' Stevens,83950,56,spotify:artist:0wi4yTYlGtEnbGo4ltZTib,https://api.spotify.com/v1/artists/0wi4yTYlGtEnbGo4ltZTib,"classic uk pop,new wave pop,rock-and-roll,rockabilly"
REO Speedwagon,1358812,70,spotify:artist:55vs7NT1KxcFjbMC4y202E,https://api.spotify.com/v1/artists/55vs7NT1KxcFjbMC4y202E,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,pop rock,rock,soft rock"
Jona Lewie,5958,41,spotify:artist:3nohf4qILMr5aUSOsolwxB,https://api.spotify.com/v1/artists/3nohf4qILMr5aUSOsolwxB,new wave pop
The Nolans,17446,43,spotify:artist:2H32fphWQj9hhVuCOKkchM,https://api.spotify.com/v1/artists/2H32fphWQj9hhVuCOKkchM,classic uk pop
Phil Collins,3172145,80,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,https://api.spotify.com/v1/artists/4lxfqrEsLX6N1N4OCSkILp,"mellow gold,rock drums,soft rock"
Phil Seymour,2862,27,spotify:artist:2ut1VNKTLERpjYf2uljNWn,https://api.spotify.com/v1/artists/2ut1VNKTLERpjYf2uljNWn,"modern power pop,power pop,pub rock,underground power pop"
Carly Simon,650013,67,spotify:artist:4FtSnMlCVxCswABUmdhwpm,https://api.spotify.com/v1/artists/4FtSnMlCVxCswABUmdhwpm,"adult standards,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,soft rock"
