name,followers,popularity,uri,link,genres
Pharrell Williams,3300521,83,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8,"pop,pop rap"
Meghan Trainor,9607350,80,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz,"dance pop,hip pop,pop,post-teen pop"
Taylor Swift,33003451,96,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,"dance pop,pop,post-teen pop"
Sheppard,226319,66,spotify:artist:6VxCmtR7S3yz4vnzsJqhSV,https://api.spotify.com/v1/artists/6VxCmtR7S3yz4vnzsJqhSV,"australian indie,australian pop,folk-pop,modern rock,pop rock"
Justice Crew,90465,51,spotify:artist:07Q9n9pbwR6jQ8xH4SA46b,https://api.spotify.com/v1/artists/07Q9n9pbwR6jQ8xH4SA46b,"australian pop,australian talent show,dance pop"
Sia,17564168,89,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,"australian dance,australian pop,dance pop,pop"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Sam Smith,14072592,90,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI,"pop,post-teen pop,uk pop"
Timmy Trumpet,700441,76,spotify:artist:0CbeG1224FS58EUx4tPevZ,https://api.spotify.com/v1/artists/0CbeG1224FS58EUx4tPevZ,"australian dance,edm,melbourne bounce,melbourne bounce international"
Savage,30348,65,spotify:artist:1GbrJTB56Xs4XQGlmVbaCf,https://api.spotify.com/v1/artists/1GbrJTB56Xs4XQGlmVbaCf,"italian disco,nz hip hop"
G.R.L.,279163,62,spotify:artist:3Yl4nkmEa8BSuGWbwhdLDq,https://api.spotify.com/v1/artists/3Yl4nkmEa8BSuGWbwhdLDq,"dance pop,girl group,post-teen pop"
John Legend,5248648,84,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t,"neo mellow,neo soul,pop,pop soul,r&b,urban contemporary"
Iggy Azalea,5120932,76,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,https://api.spotify.com/v1/artists/5yG7ZAZafVaAlMTeBybKAL,"australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop"
Charli XCX,2131405,77,spotify:artist:25uiPmTg16RbhZWAqwLBy5,https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5,"art pop,candy pop,dance pop,electropop,escape room,metropopolis,pop,post-teen pop,uk pop"
A Great Big World,423491,70,spotify:artist:5xKp3UyavIBUsGy3DQdXeF,https://api.spotify.com/v1/artists/5xKp3UyavIBUsGy3DQdXeF,"indiecoustica,modern rock,neo mellow,piano rock,pop,pop rock"
Christina Aguilera,5510189,82,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,"dance pop,pop,pop rap,post-teen pop"
Clean Bandit,4016442,82,spotify:artist:6MDME20pz9RveH9rEXvrOM,https://api.spotify.com/v1/artists/6MDME20pz9RveH9rEXvrOM,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky"
Jess Glynne,2317624,79,spotify:artist:4ScCswdRlyA23odg9thgIO,https://api.spotify.com/v1/artists/4ScCswdRlyA23odg9thgIO,"dance pop,pop,post-teen pop,tropical house,uk pop"
Milky Chance,1399175,76,spotify:artist:1hzfo8twXdOegF3xireCYs,https://api.spotify.com/v1/artists/1hzfo8twXdOegF3xireCYs,german pop
Nico & Vinz,440756,66,spotify:artist:0awl5piYwO0CDTHEkCjUhn,https://api.spotify.com/v1/artists/0awl5piYwO0CDTHEkCjUhn,"dance pop,pop rap"
Paloma Faith,878840,68,spotify:artist:4fwuXg6XQHfdlOdmw36OHa,https://api.spotify.com/v1/artists/4fwuXg6XQHfdlOdmw36OHa,"british soul,dance pop,europop,neo soul,pop,pop rock,tropical house"
Ariana Grande,51595036,94,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,"dance pop,pop,post-teen pop"
Iggy Azalea,5120932,76,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,https://api.spotify.com/v1/artists/5yG7ZAZafVaAlMTeBybKAL,"australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop"
George Ezra,3261292,77,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,https://api.spotify.com/v1/artists/2ysnwxxNtSgbb9t1m2Ur4j,"folk-pop,modern rock,neo-singer-songwriter,pop,pop rock"
5 Seconds of Summer,6664547,85,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,https://api.spotify.com/v1/artists/5Rl15oVamLq7FbSb0NNBNy,"boy band,dance pop,pop,post-teen pop"
Mr. Probz,299674,71,spotify:artist:33W1pnW9zScZtYTnAoWnOT,https://api.spotify.com/v1/artists/33W1pnW9zScZtYTnAoWnOT,"edm,tropical house"
Robin Schulz,2512148,84,spotify:artist:3t5xRXzsuZmMDkQzgOX35S,https://api.spotify.com/v1/artists/3t5xRXzsuZmMDkQzgOX35S,"dance pop,deep euro house,deep house,edm,german dance,pop,tropical house"
The Veronicas,697394,62,spotify:artist:1dIdBZaaHRW2bDTkHNfWln,https://api.spotify.com/v1/artists/1dIdBZaaHRW2bDTkHNfWln,"australian pop,candy pop,dance pop,electropop,girl group,pop,post-teen pop"
Joel Fletcher,37605,53,spotify:artist:2Z4QqhmV5Xw5vX2ZI70HOR,https://api.spotify.com/v1/artists/2Z4QqhmV5Xw5vX2ZI70HOR,"deep minimal techno,melbourne bounce,melbourne bounce international"
Savage,30348,65,spotify:artist:1GbrJTB56Xs4XQGlmVbaCf,https://api.spotify.com/v1/artists/1GbrJTB56Xs4XQGlmVbaCf,"italian disco,nz hip hop"
