"","playlist_uri","duration_ms","key","mode","time_signature","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo","uri"
"1","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",269667,0,1,4,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,0.928,114.988,"spotify:track:32OlwWuMpZ6b0aN2RZOeMS"
"2","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",180566,4,1,4,0.166,0.782,0.685,1.18e-05,0.16,-6.237,0.0309,0.603,118.016,"spotify:track:7vFoFDWqTX0mHzLfrF1Cfy"
"3","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",229526,10,1,4,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,0.283,80.025,"spotify:track:2JzZzZUQj3Qff7wapcbKjc"
"4","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",241693,4,0,4,0.634,0.566,0.664,0,0.116,-5.303,0.0464,0.437,128.945,"spotify:track:1CS7Sd1u5tWkstBhpssyjP"
"5","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",295502,5,0,4,0.329,0.47,0.431,0,0.0854,-6.129,0.0342,0.289,157.98,"spotify:track:4aebBr4JAihzJQR0CiIZJv"
"6","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",176561,7,0,4,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,0.274,98.007,"spotify:track:33YmfTNoLnbkRnOjf7YIVm"
"7","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",253520,5,0,4,0.27,0.489,0.597,0,0.105,-6.633,0.0292,0.324,95.012,"spotify:track:0Cy7wt6IlRfBPHXXjmZbcP"
"8","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",199080,1,1,4,0.00701,0.578,0.866,0,0.257,-3.804,0.0619,0.619,128.038,"spotify:track:4kbj5MwxO1bq9wjT5g9HaA"
"9","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",205680,5,0,4,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,0.793,125.02,"spotify:track:4B0JvthVoAAuygILe3n4Bs"
"10","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",188238,2,1,4,0.875,0.582,0.272,0,0.13,-5.662,0.0501,0.354,205.846,"spotify:track:78TTtXnFQPzwqlbtbwqN0y"
"11","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",292640,1,1,4,0.0948,0.823,0.609,0,0.267,-4.524,0.0711,0.721,109.734,"spotify:track:6dVcHbKVKid0REz9kZyT0Q"
"12","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",213520,9,0,4,0.113,0.705,0.769,0,0.105,-5.526,0.0425,0.583,107.949,"spotify:track:22VdIZQfgXJea34mQxlt81"
"13","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",235493,1,1,4,0.0591,0.748,0.788,0,0.0863,-7.055,0.0334,0.884,120.076,"spotify:track:2iuZJX9X9P0GKaE93xcPjk"
"14","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",257200,9,1,4,0.0117,0.421,0.791,1.48e-05,0.146,-4.998,0.0496,0.499,130.075,"spotify:track:4lT65U9u7ghr8gNo04JgzJ"
"15","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",281560,2,1,4,0.474,0.781,0.445,0,0.184,-6.061,0.0295,0.591,78.998,"spotify:track:34gCuhDGsG4bRPIf9bb02f"
"16","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",200787,0,0,4,0.0797,0.654,0.76,0,0.299,-3.669,0.045,0.41,99.945,"spotify:track:09CtPGIpYB4BrO8qb1RGsF"
"17","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",250286,4,0,4,0.041,0.432,0.781,4.21e-06,0.0789,-4.038,0.0567,0.197,139.432,"spotify:track:66hayvUbTotekKU3H4ta1f"
"18","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",200107,11,0,4,0.0294,0.654,0.655,0,0.139,-7.388,0.106,0.221,170.16,"spotify:track:6xsEAm6w9oMQYYg3jkEkMT"
"19","spotify:playlist:03vMytYzGsKy1dQkGDdiCp",238747,5,1,4,0.0526,0.715,0.715,0,0.0936,-7.364,0.0902,0.507,134.922,"spotify:track:1KZyVnyptQcPzkx7ELCnZC"
