playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,223546,7,0,4,0.00492,0.671,0.771,0.00000728,0.354,-4.821,0.0316,0.436,90.003,spotify:track:27tNWlhdAryQY04Gb2ZhUI
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,263827,7,1,4,0.00342,0.852,0.601,0.00000735,0.0818,-4.756,0.0411,0.843,119.984,spotify:track:4zRwVgo9xyGOMwjIpVfSo8
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,252733,7,1,4,0.365,0.479,0.545,0,0.0963,-7.346,0.0688,0.244,74.897,spotify:track:7k3A0x4yQt0aUxVxJFQaIf
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,247427,2,1,4,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,0.643,124.08,spotify:track:4h8VwCb1MTGoLKueQ1WgbD
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,190185,7,1,4,0.121,0.674,0.428,0,0.132,-9.504,0.122,0.337,84.878,spotify:track:0PfxFasOH971bzmGmA8vJn
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,242733,2,1,4,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,0.441,95.002,spotify:track:1mKXFLRA179hdOWQBwUk9e
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,248413,6,0,4,0.0426,0.794,0.811,0.00000107,0.101,-8.966,0.038,0.862,116.047,spotify:track:2Foc5Q5nqNiosCNqttzHof
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,257267,1,0,4,0.0654,0.664,0.705,0,0.118,-4.972,0.0382,0.477,122.016,spotify:track:2tpWsVSb9UEmDRxAl1zhX1
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,258432,2,1,4,0.027,0.634,0.927,0,0.0986,-4.468,0.0838,0.88,146.094,spotify:track:3BE0getU08uXas8ZjULABA
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,209440,0,0,4,0.141,0.376,0.696,0,0.11,-4.785,0.0949,0.303,169.515,spotify:track:5yVIlYEHZxQVLyInCdldoS
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,240707,9,0,4,0.945,0.621,0.31,0.0000612,0.117,-10.164,0.0283,0.125,111.893,spotify:track:5rvSPYxUGL3Bu8BWtLj5Yw
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,201733,1,1,4,0.459,0.485,0.712,0,0.118,-6.966,0.0338,0.427,101.619,spotify:track:3Jcqt6ejCpjY9EmrIWUTd3
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,177685,6,1,4,0.0348,0.76,0.652,0,0.307,-7.321,0.232,0.759,100.315,spotify:track:5l3CML2OnzfNs5RfVgbcLt
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,320035,8,1,4,0.718,0.56,0.475,0.0000218,0.0994,-9.05,0.173,0.308,84.899,spotify:track:6IFa4RUo2iM5L33Hkx82lr
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,214148,9,1,4,0.0755,0.679,0.715,0,0.271,-6.383,0.0407,0.571,127.435,spotify:track:6fNhZRFEkBfgW39W3wKARJ
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,235613,6,0,4,0.0619,0.781,0.526,0,0.0457,-6.985,0.293,0.662,94.992,spotify:track:4YMqbFcDIFiCBd02PzUBcM
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,213827,0,1,4,0.932,0.612,0.28,0,0.088,-8.648,0.0434,0.387,72.795,spotify:track:0nJW01T7XtvILxQgC5J7Wh
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,271813,2,1,4,0.228,0.558,0.522,0,0.104,-5.857,0.036,0.228,83.977,spotify:track:2EcsgXlxz99UMDSPg5T8RF
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,229880,11,1,4,0.0171,0.65,0.943,0,0.15,-4.751,0.0692,0.8,126.008,spotify:track:4OVFkPYP6T8IARtkeMsx3p
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,186813,9,1,4,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,0.236,136.245,spotify:track:62yJjFtgkhUrXktIoSjgP2
