playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,278747,0,1,4,0.0368,0.509,0.584,0.0000996,0.384,-4.907,0.057,0.685,170.411,spotify:track:6y20BV5L33R8YXM0YuI38N
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,279507,0,1,4,0.00668,0.47,0.612,0,0.14,-7.413,0.028,0.382,153.926,spotify:track:4gXKQnK7G429gieHHY4Y7z
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,226733,8,0,4,0.512,0.619,0.347,0.0000194,0.123,-9.182,0.0499,0.4,110.095,spotify:track:2uoxXaadBpSWEmIXSaVMYi
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,258667,1,0,4,0.017,0.673,0.865,0,0.154,-5.093,0.185,0.835,103.505,spotify:track:17StFU2srtlrtEiTbDZtlp
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,126573,7,1,4,0.00015,0.502,0.977,0.00000111,0.37,-3.267,0.065,0.635,138.804,spotify:track:3cDCMdRyO1pQ5diUr8mq2S
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,213160,7,1,4,0.00793,0.705,0.925,0.00551,0.548,-4.9,0.049,0.767,129.995,spotify:track:2xf9nTxHbWa2qSjfqtUcXJ
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,320293,2,1,4,0.00925,0.684,0.735,0.000659,0.288,-4.596,0.273,0.06,171.383,spotify:track:1MWlCmgxuLIe4izcR62xBE
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,179093,9,1,4,0.00104,0.694,0.626,0.484,0.247,-6.162,0.044,0.653,124.989,spotify:track:1a3PZTFrLOUuBxzF5rFYm3
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,216973,0,1,4,0.016,0.452,0.976,0.00631,0.0985,-4.349,0.117,0.178,123.035,spotify:track:2t0ZYmVXMR36fchq1Egs2d
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,245347,9,1,4,0.0000899,0.269,0.756,0.0000614,0.129,-7.043,0.0343,0.356,158.49,spotify:track:5EJGcsOqVIAdicco0FYJA5
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,164800,7,1,4,0.001,0.511,0.95,0.0000144,0.079,-4.155,0.0725,0.514,162.072,spotify:track:1UbZVvN4mSOmDvn4er7IKB
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,217000,5,0,4,0.0407,0.289,0.716,0.00123,0.135,-6.53,0.106,0.344,168.049,spotify:track:5O8L4I2S4izFGDjvP7xAKv
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,263440,5,1,4,0.000218,0.58,0.604,0.000579,0.477,-5.703,0.047,0.645,167.784,spotify:track:6tsojOQ5wHaIjKqIryLZK6
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,209813,0,1,4,0.000269,0.46,0.93,0,0.197,-5.655,0.107,0.656,166.605,spotify:track:5iWMr3E8aixJKSEEe1taZf
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,229480,4,1,4,0.000241,0.642,0.741,0.00000774,0.117,-6.426,0.0309,0.692,96.003,spotify:track:3IWViMWJo18sNqGhWRR8zL
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,231933,2,1,4,0.0108,0.717,0.782,0.0000239,0.0904,-4.086,0.0338,0.4,117.38,spotify:track:2UaJHs6wlASNl7q34j7hK1
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,290320,7,1,4,0.00286,0.908,0.669,0,0.237,-2.827,0.0738,0.662,112.238,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,218933,8,1,3,0.000264,0.413,0.873,0.0025,0.204,-4.151,0.0535,0.481,116.681,spotify:track:0snQkGI5qnAmohLE7jTsTn
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,94427,4,0,4,0.00269,0.604,0.989,0.0000267,0.309,-3.688,0.205,0.331,131.441,spotify:track:4tyLTRovlZwOZSYdb4nbc0
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,222027,9,1,4,0.000519,0.452,0.873,0,0.0592,-4.867,0.0613,0.433,80.473,spotify:track:1TDk2Jmi4dVZhm2dum3Jim
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,182907,7,1,4,0.000193,0.506,0.953,0.00682,0.129,-4.742,0.0631,0.599,133.601,spotify:track:5iYC2ZdgMHcG9gAhjQo78l
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,242720,5,1,4,0.00158,0.649,0.781,0.197,0.302,-6.547,0.0246,0.515,107.67,spotify:track:6zCCdSF9ZtNwggGeoWM6xT
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,265560,4,0,4,0.000014,0.377,0.908,0.000014,0.241,-3.793,0.0899,0.265,144.563,spotify:track:67vYdAAM3oGsEImCRfbtsF
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,172267,4,1,4,0.0000782,0.354,0.773,0.0000563,0.127,-5.37,0.0469,0.721,131.569,spotify:track:1ljTFrbwY1ojpfd6bAmPTZ
