playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,427333,4,1,4,0.189,0.528,0.447,0,0.0745,-15.255,0.0435,0.292,72.58,spotify:track:3Z2tPWiNiIpg8UMMoowHIk
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,285093,10,0,4,0.0658,0.729,0.856,0.00832,0.0691,-4.164,0.035,0.804,116.467,spotify:track:3dbiyd0OOleR4n0X3IXHjb
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,224320,9,1,4,0.107,0.662,0.719,0,0.102,-6.606,0.0298,0.511,95.001,spotify:track:1Ce0z9seMEPnOvJyMQyFep
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,254200,7,1,4,0.267,0.688,0.781,0,0.054,-8.868,0.0269,0.934,119.847,spotify:track:0d4DyZYCiSH5fNnc0Hfz3L
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,304787,6,1,4,0.193,0.477,0.471,0.00000176,0.131,-10.036,0.0277,0.423,81.204,spotify:track:1JLn8RhQzHz3qDqsChcmBl
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,217467,6,0,4,0.0117,0.628,0.771,0.000986,0.203,-13.637,0.0536,0.793,122.091,spotify:track:1tFgbvRzyEaIhnVRqCwJy9
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,246840,2,0,4,0.0777,0.679,0.676,0.0000138,0.0938,-9.734,0.0371,0.8,134.238,spotify:track:1hXtY9yeMAcxZlBvWzjwJn
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,189093,5,1,4,0.0806,0.756,0.61,0.0000789,0.114,-13.002,0.0709,0.863,173.818,spotify:track:07itbZUgkAmBi4CEH5NniJ
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,244507,5,1,4,0.214,0.405,0.439,0.000388,0.155,-8.85,0.0287,0.191,157.171,spotify:track:1A6X8840ZrptR1oJu8skSW
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,268240,2,1,4,0.0378,0.613,0.912,0.0000365,0.52,-4.638,0.0328,0.733,131.968,spotify:track:1lJZSsMoWEbrgaY6CxPMf8
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,204787,4,1,4,0.117,0.6,0.816,0,0.126,-13.64,0.0431,0.744,130.99,spotify:track:6FnuMo55jNECTDdS1nD5H0
