playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,278547,9,1,4,0.0256,0.368,0.64,0.000203,0.0717,-6.388,0.0355,0.124,82.347,spotify:track:0bMRhjlfy6RPryKkYXgg2g
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,244867,2,1,4,0.136,0.32,0.697,0.000014,0.303,-6.623,0.0463,0.634,156.067,spotify:track:1G5tWc6ban5YXM8zeudnOA
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,152493,2,1,4,0.000452,0.436,0.852,0.00869,0.156,-7.549,0.0584,0.468,168.046,spotify:track:7yu5ZPvarvXDgHdFRGS9Ke
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,227973,1,1,4,0.0403,0.622,0.884,0.371,0.282,-6.715,0.0467,0.561,109.722,spotify:track:2tn9zXqIZJbgL1swqwOktz
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,213800,10,1,4,0.000027,0.478,0.923,0.719,0.325,-7.547,0.0569,0.165,133.134,spotify:track:3tRv4ZYZimrL27flnjgeR6
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,260507,0,0,4,0.00397,0.831,0.735,0.0205,0.123,-6.254,0.0384,0.97,122.979,spotify:track:5EYdTPdJD74r9EVZBztqGG
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,206200,11,1,4,0.0129,0.599,0.957,0.0000706,0.155,-5.764,0.188,0.489,103.68,spotify:track:1wsRitfRRtWyEapl0q22o8
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,289560,11,1,4,0.00218,0.573,0.929,0.0723,0.718,-5.996,0.082,0.284,97.57,spotify:track:1TEZWG1FdjzDdercCguTwj
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,195467,7,1,4,0.363,0.622,0.692,0.000158,0.193,-6.97,0.0276,0.774,112.053,spotify:track:0QnONzv3TvHAWk294h6DaQ
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,215907,0,1,4,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,0.547,88.969,spotify:track:1G391cbiT3v3Cywg8T7DM1
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,235293,4,1,4,0.0000183,0.465,0.919,0.0000207,0.262,-4.025,0.0408,0.537,135.997,spotify:track:5OQsiBsky2k2kDKy2bX2eT
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,204528,7,0,4,0.000848,0.578,0.836,0.0000363,0.761,-7.707,0.039,0.711,139.879,spotify:track:3YV6WVm3UiZAaJtzEo1XqD
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,148360,6,1,4,0.0126,0.391,0.951,0.000378,0.0878,-7.419,0.0692,0.468,157.66,spotify:track:4LJhJ6DQS7NwE7UKtvcM52
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,290960,2,1,4,0.0195,0.412,0.893,0,0.38,-4.517,0.0403,0.645,133.935,spotify:track:14f1kt8Cb36CK9EytujIVv
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,222267,9,1,4,0.0407,0.395,0.648,0.0000825,0.0868,-7.372,0.027,0.246,80.286,spotify:track:2ZvVKaRZzeEdmTrpTrhEvR
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,255733,2,1,4,0.0000223,0.353,0.898,0.105,0.39,-5.877,0.052,0.525,103.293,spotify:track:6W21LNLz9Sw7sUSNWMSHRu
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,270920,4,1,4,0.00014,0.468,0.769,0.00124,0.271,-7.036,0.041,0.17,104.102,spotify:track:2F6FfZ4w8z3eJpSxPotVO5
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,234397,0,1,4,0.0948,0.75,0.593,0.0388,0.0748,-8.956,0.139,0.447,107.085,spotify:track:4IhNtvi2VIF27aonzuLVZ5
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,268093,6,0,4,0.00249,0.394,0.942,0,0.29,-1.915,0.041,0.616,160.21,spotify:track:16tUl8ZdWnXJZMOwNSBy4y
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,219067,7,1,4,0.00127,0.502,0.73,0.0000211,0.164,-6.894,0.0348,0.455,81.989,spotify:track:6nUNcTe9hrGfqNfmeai89B
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,228140,3,0,4,0.0585,0.808,0.982,0.00689,0.35,-6.588,0.0311,0.961,124.999,spotify:track:4fazGt0v2v2zkzddQOcDZD
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,235587,4,0,4,0.00715,0.509,0.889,0.919,0.111,-6.152,0.104,0.135,124.72,spotify:track:33UiEegBZYdvYyYBXXxfhd
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,239440,2,1,4,0.313,0.593,0.642,0.000582,0.0804,-7.284,0.0299,0.736,76.403,spotify:track:5TAf4lnZCZTLlZHNZMLFLi
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,208461,4,1,4,0.0308,0.322,0.346,0.00000368,0.119,-8.929,0.035,0.501,162.325,spotify:track:2sCKfPORTDRCx1fngE9scn
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,119867,7,1,4,0.000324,0.425,0.963,0.00342,0.101,-4.801,0.0839,0.592,106.609,spotify:track:6M8EOu8P6cWMrJDPupNip1
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,290493,2,1,4,0.119,0.632,0.92,0.508,0.114,-4.976,0.0531,0.363,127.001,spotify:track:7kXmJwrZGIhDaLT9sNo3ut
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,304000,11,1,4,0.000412,0.557,0.967,0.0000132,0.0629,-5.273,0.0453,0.39,115.967,spotify:track:6eAGGp0fZhLZRmn0H233W1
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,247787,2,1,4,0.0426,0.325,0.768,0.00000404,0.27,-7.51,0.0491,0.454,176.6,spotify:track:3J19l4hOfwFFIF715BwVcG
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,240733,7,1,3,0.0378,0.353,0.464,0.000969,0.0944,-8.543,0.0272,0.148,144.222,spotify:track:3y9zMGuxWS8xkpOxNPfiMZ
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,167067,0,1,4,0.0103,0.434,0.897,0,0.612,-4.918,0.0488,0.684,148.726,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,241293,2,1,4,0.00359,0.343,0.862,0.0169,0.146,-5.334,0.0408,0.221,184.232,spotify:track:6lOvhkSYAU6xde5BvtWNbB
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,154133,11,0,4,0.0000161,0.354,0.824,0.243,0.0902,-6.842,0.091,0.594,171.19,spotify:track:3GreGNYA4OVK2IzkBwoQla
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,206053,10,1,4,0.000467,0.332,0.965,0.577,0.0578,-4.512,0.0491,0.617,157.189,spotify:track:1bvtss37d3Edl6AaLPHkta
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,152907,5,0,4,0.000172,0.295,0.875,0.105,0.924,-8.081,0.0339,0.862,165.631,spotify:track:5IMLKuOP51uwaoeL5rjhrc
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,238733,0,1,4,0.00417,0.504,0.96,0.569,0.0613,-1.464,0.183,0.774,96.682,spotify:track:0aGQHMr7bc23Y9Ts84ffop
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,184027,4,1,4,0.0691,0.484,0.852,0.000307,0.604,-5.663,0.262,0.814,180.003,spotify:track:0iEMTkdc81bfifo5VY8F9r
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,123813,7,1,4,0.0000184,0.514,0.892,0.927,0.241,-3.36,0.0377,0.865,136.028,spotify:track:2t5cAV9ypFGJUrj695nM5F
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,248733,1,0,4,0.000391,0.545,0.918,0.00000386,0.126,-4.849,0.033,0.68,133.497,spotify:track:1gqxOboCGmjqTQUt7BMbn7
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,169533,11,1,4,0.0223,0.597,0.888,0.00000269,0.664,-5.064,0.0759,0.617,126.115,spotify:track:2Q6hEaDXzqB49Zhk8oCWT1
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,360813,1,0,4,0.117,0.242,0.56,0.169,0.326,-8.072,0.032,0.101,109.768,spotify:track:3y7dENLRE8paSquq4LAW1e
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,230467,4,0,4,0.0000864,0.289,0.664,0.566,0.111,-4.853,0.0423,0.41,104.49,spotify:track:6OVCo2oB8EQyvzCnI2nek9
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,231693,9,1,4,0.0184,0.686,0.76,0.449,0.0391,-6.526,0.0811,0.269,124.98,spotify:track:6wD9sIVfmbNBl5EI4nnQow
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,217493,7,1,4,0.00268,0.51,0.957,0.0697,0.267,-3.968,0.149,0.389,97.642,spotify:track:2zS8FkQaSNHAIpqePh95JB
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,318973,1,0,4,0.0348,0.735,0.778,0.186,0.082,-8.427,0.0367,0.965,121.61,spotify:track:0vcxj1GSw3uV931zdI3ZDj
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,233800,4,0,4,0.0102,0.465,0.978,0.0000246,0.273,-4.172,0.0675,0.545,95.624,spotify:track:6VQgk5DqFJxBCkePySNFV5
