playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,233337,0,1,4,0.441,0.443,0.558,0,0.163,-5.436,0.0624,0.248,116.838,spotify:track:15O20RQyWJgKrkHID9ynT9
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,185000,1,1,4,0.193,0.592,0.438,0,0.0564,-10.054,0.0391,0.259,67.445,spotify:track:1rPCgtaIF0CyKRgAwhtpbF
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,236876,1,0,4,0.178,0.528,0.72,0.00000103,0.0944,-5.544,0.0336,0.523,146.024,spotify:track:1NIvNSrB824aeBmCHjyFxR
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,239280,11,1,4,0.719,0.766,0.5,0.00000591,0.304,-7.558,0.0695,0.71,84.044,spotify:track:6oSmp7qnvAxUXeUKhl67a6
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,326933,1,1,4,0.183,0.746,0.345,0.00367,0.121,-10.963,0.0875,0.598,160.036,spotify:track:1xb5aS8n5nOlX5JHNXsPQE
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,197595,4,1,4,0.808,0.527,0.299,0.00000457,0.324,-10.323,0.0295,0.193,120.472,spotify:track:76aAaIv5bS8HQJVJ1cc8Ge
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,255890,6,0,4,0.161,0.369,0.618,0,0.257,-6.304,0.249,0.467,191.863,spotify:track:6vXHaWpqkbuvzIDvR3LnKd
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,262521,3,0,4,0.0685,0.597,0.531,0.00000372,0.0617,-6.83,0.0295,0.271,74.938,spotify:track:6vnDoUOHTiVB5DvX18tJon
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,206394,1,0,4,0.045,0.528,0.874,0,0.0888,-3.028,0.0456,0.376,105.042,spotify:track:0jVPEBd4wyHupkTHwzQRyc
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,230453,7,1,4,0.141,0.679,0.587,0.00000635,0.137,-7.015,0.276,0.486,186.003,spotify:track:7MXVkk9YMctZqd1Srtv4MB
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,198021,4,1,4,0.00162,0.705,0.936,0.000142,0.335,-3.193,0.0415,0.228,119.982,spotify:track:1upULGQhXYE55yHDMPh1QG
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,255160,10,1,4,0.0998,0.743,0.659,0.00028,0.0622,-6.755,0.0343,0.804,114.033,spotify:track:09ktDKfoIaTmPbDMIJycYp
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,192160,8,0,4,0.147,0.625,0.763,0.0106,0.214,-4.997,0.129,0.721,88.753,spotify:track:3sTN90bIP2cJ1783ctHykO
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,194480,4,1,4,0.00284,0.69,0.73,0.000112,0.0696,-5.54,0.0493,0.574,124.019,spotify:track:1ERLLeRI6OPyIwPz3o9QPP
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,212147,10,0,4,0.04,0.688,0.847,0.00000281,0.598,-3.238,0.0508,0.453,93.979,spotify:track:6MDijuuArPJv1vbp7K1x3f
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,197815,9,0,4,0.0455,0.829,0.669,0,0.222,-3.601,0.208,0.644,98.066,spotify:track:5HotqYfYFYTXdYfuQQEF8e
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,262507,7,1,4,0.286,0.747,0.802,0.00293,0.102,-5.768,0.035,0.585,117.012,spotify:track:3rO0q1aaGUO6Bnsxp2lpu0
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,141542,2,1,4,0.0358,0.704,0.777,0,0.151,-5.729,0.195,0.392,111.921,spotify:track:60xaS8mYBKUW4VQQ666N0T
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,256307,10,1,4,0.000204,0.531,0.711,0.00291,0.108,-4.933,0.0398,0.279,155.068,spotify:track:5ykbOijJEfRhuo2Td1m0Qd
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,224133,0,1,4,0.0522,0.723,0.669,0.192,0.109,-6.784,0.0348,0.35,125.051,spotify:track:5CPqOpKSk0QcJ3dGdaWcRB
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,209107,7,1,4,0.00967,0.226,0.855,0.0000747,0.21,-3.867,0.0529,0.403,74.355,spotify:track:0XzR7roEBwM4eoA4AOx1U1
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,320680,0,0,4,0.62,0.592,0.403,0,0.54,-8.768,0.414,0.391,105.169,spotify:track:1eQBEelI2NCy7AUTerX0KS
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,221417,0,1,4,0.0981,0.765,0.561,0,0.141,-7.464,0.0987,0.584,97.447,spotify:track:2bWrml86uwGVvznX8KKtwx
