playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:16vk4cTY0KN7NprzluHUbn,188667,11,0,4,0.088,0.723,0.895,0,0.0717,-3.707,0.102,0.963,143.373,spotify:track:3SFXsFpeGmBTtQvKiwYMDA
spotify:playlist:16vk4cTY0KN7NprzluHUbn,230373,8,1,4,0.0424,0.709,0.613,0.00184,0.0777,-7.653,0.0279,0.533,114.948,spotify:track:3gU67Zv2F5tDliqIfwuGar
spotify:playlist:16vk4cTY0KN7NprzluHUbn,190827,6,1,4,0.451,0.672,0.718,0.000883,0.107,-7.315,0.0434,0.907,118.083,spotify:track:6jrQpctf9Fg3btO1I7qX7X
spotify:playlist:16vk4cTY0KN7NprzluHUbn,162667,9,1,4,0.00000944,0.438,0.905,0.000054,0.363,-6.161,0.0419,0.723,134.163,spotify:track:2V4Bc2I962j7acQj1N0PiQ
spotify:playlist:16vk4cTY0KN7NprzluHUbn,225307,11,0,4,0.0000188,0.501,0.905,0.765,0.383,-5.721,0.0518,0.584,123.277,spotify:track:6nJPHXRpKYv2yqtalEjKy5
spotify:playlist:16vk4cTY0KN7NprzluHUbn,206667,11,1,4,0.000171,0.643,0.934,0.00379,0.218,-3.579,0.0874,0.638,114.821,spotify:track:4AFCrbzvR3vLfekhABLjDU
spotify:playlist:16vk4cTY0KN7NprzluHUbn,266427,11,1,4,0.0841,0.537,0.916,0.0000138,0.0882,-4.407,0.0357,0.362,97.99,spotify:track:68goERlTUUjuyGNJonAZ5K
spotify:playlist:16vk4cTY0KN7NprzluHUbn,240594,2,1,4,0.0269,0.374,0.488,0.00123,0.102,-9.311,0.0398,0.622,164.608,spotify:track:2hmqfEQYc3i4rKDDl51hnE
spotify:playlist:16vk4cTY0KN7NprzluHUbn,191600,0,1,4,0.782,0.7,0.35,0,0.116,-11.343,0.0295,0.117,113.059,spotify:track:5pPftjklQPooJBlE6WOQjk
spotify:playlist:16vk4cTY0KN7NprzluHUbn,176000,0,1,4,0.00092,0.553,0.946,0.0000821,0.313,-5.074,0.0467,0.554,104.654,spotify:track:2tIYf79xFrYcQZTbrZyGyw
spotify:playlist:16vk4cTY0KN7NprzluHUbn,179973,0,1,4,0.0761,0.533,0.616,0.0000505,0.336,-7.093,0.0356,0.552,142.249,spotify:track:43HrhMlI1t3PTlgRipISqq
spotify:playlist:16vk4cTY0KN7NprzluHUbn,271720,2,1,4,0.645,0.542,0.454,0.00279,0.15,-10.247,0.025,0.267,96.881,spotify:track:4jKq1e80xAYixkIwt6YyV1
spotify:playlist:16vk4cTY0KN7NprzluHUbn,181533,6,1,4,0.0691,0.531,0.633,0,0.0828,-5.94,0.0316,0.727,161.672,spotify:track:3H662HkYuxhY11i1iu00JV
