playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,235613,6,0,4,0.0619,0.781,0.526,0,0.0457,-6.985,0.293,0.662,94.992,spotify:track:4YMqbFcDIFiCBd02PzUBcM
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,266600,1,1,4,0.0206,0.457,0.757,0,0.146,-5.177,0.032,0.417,102.961,spotify:track:2ihCaVdNZmnHZWt0fvAM7B
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,227080,5,1,4,0.11,0.609,0.642,0.000986,0.172,-7.337,0.0341,0.296,150.087,spotify:track:2SAfwYPXsqAolJYlDNiMrM
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,154414,8,1,4,0.17,0.43,0.436,0,0.128,-4.816,0.119,0.217,90.053,spotify:track:1CRFWfZEfLCs7pYDlXFYMJ
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,276720,1,1,4,0.0119,0.486,0.769,0.00832,0.197,-5.14,0.0341,0.393,131.286,spotify:track:0RVj1Bc4h6LLgwuNvCrsa7
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,289973,11,0,4,0.103,0.612,0.657,0.124,0.131,-6.971,0.0454,0.767,87.94,spotify:track:7HleEYKfBF7LV930iCjdnP
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,211227,9,0,4,0.562,0.598,0.553,0.157,0.257,-6.742,0.0397,0.533,123.075,spotify:track:6qZjm61s6u8Ead9sWxCDro
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,234093,8,1,4,0.0272,0.913,0.603,0.000503,0.167,-4.892,0.226,0.497,123.061,spotify:track:4L7jMAP8UcIe309yQmkdcO
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,192960,2,0,4,0.0277,0.303,0.9,0.635,0.11,-2.352,0.0574,0.491,149.508,spotify:track:0LtOwyZoSNZKJWHqjzADpW
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,190060,1,1,4,0.00322,0.511,0.864,0.00184,0.0826,-4.357,0.0424,0.658,200.029,spotify:track:2q7525kRHfkZnCpQNDxJf1
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,212560,8,0,4,0.197,0.573,0.929,0.000112,0.0567,-3.942,0.109,0.582,127.934,spotify:track:24LS4lQShWyixJ0ZrJXfJ5
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,209377,9,0,4,0.0335,0.53,0.688,0.0000491,0.0886,-7.482,0.169,0.389,175.13,spotify:track:458gevlvVGu3MHNwiXmh3f
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,224333,0,1,4,0.00772,0.505,0.833,0.000079,0.069,-4.632,0.0475,0.565,130.121,spotify:track:5lN1EH25gdiqT1SFALMAq1
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,157153,8,1,4,0.00952,0.711,0.906,0.0000164,0.153,-2.671,0.0284,0.824,125.916,spotify:track:2U8NXPTXZWG2O0ye2sYRiH
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,320035,8,1,4,0.718,0.56,0.475,0.0000218,0.0994,-9.05,0.173,0.308,84.899,spotify:track:6IFa4RUo2iM5L33Hkx82lr
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,239733,7,1,4,0.0169,0.465,0.639,0.00261,0.155,-7.259,0.0632,0.136,159.044,spotify:track:7eBIV7xripa8OJFuZKVKvk
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,459836,6,1,4,0.717,0.666,0.326,0.671,0.114,-13.057,0.0279,0.0772,115.017,spotify:track:0hxcmfs56A4c4mLnqxhLGE
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,268303,6,1,4,0.0453,0.603,0.827,0.619,0.0833,-7.372,0.0714,0.311,144.992,spotify:track:4WbNyQy4wVdfopMrApBWQA
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,171653,9,1,4,0.95,0.424,0.157,0.0593,0.101,-18.141,0.0428,0.342,91.537,spotify:track:1zuKjpp4t7BS8JPKi6mkQr
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,245187,1,1,4,0.0026,0.389,0.706,0.000182,0.686,-6.849,0.0593,0.238,179.911,spotify:track:0k73nWaD6RPx2sHFEkGPcn
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,255632,1,1,4,0.016,0.499,0.733,0.000135,0.0897,-5.449,0.174,0.537,121.984,spotify:track:4kTBakk3h2S678cajDcVTw
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,281680,0,1,3,0.0553,0.262,0.601,0.000693,0.105,-5.459,0.0309,0.0419,101.829,spotify:track:4GnEwilW2EtzpPHoABcc4w
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,214413,10,1,4,0.648,0.48,0.501,0.0017,0.101,-10.437,0.0321,0.329,104.704,spotify:track:10jCWweEsFm6WYcUcWJY0W
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,263693,2,0,4,0.668,0.562,0.68,0.00000288,0.255,-6.966,0.437,0.499,169.28,spotify:track:2mbu1ssfb7h1RNO5jBv4cW
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,215253,7,1,4,0.0145,0.716,0.972,0.0000322,0.317,-2.302,0.196,0.576,110.026,spotify:track:6VRhkROS2SZHGlp0pxndbJ
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,251920,7,1,4,0.00599,0.563,0.695,0,0.164,-6.607,0.347,0.474,94.872,spotify:track:6DzUJZ7ykuElQXHDsxz6Wb
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,179320,1,1,4,0.00267,0.464,0.689,0.0000522,0.104,-8.093,0.0554,0.4,147.786,spotify:track:29wRwqWMZsHo7wrVoadwt7
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,185640,1,1,4,0.00733,0.747,0.875,0.0000011,0.184,-5.635,0.0282,0.913,115.967,spotify:track:1EmimnysAUBhiy8rDbNN01
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,185147,2,1,4,0.00755,0.855,0.45,0,0.267,-6.903,0.0548,0.349,98.974,spotify:track:1a6OpKFwY8Dj1dfN91JCRV
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,267053,7,1,4,0.917,0.404,0.158,0,0.092,-10.265,0.0366,0.0656,96.666,spotify:track:2vxCg4A2jIzrPc4TdKGNUS
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,203933,10,1,4,0.0619,0.619,0.622,0,0.37,-3.717,0.0282,0.771,85.993,spotify:track:7r3xzpB7GN6oCns1kvpnqs
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,218190,11,0,4,0.00225,0.578,0.946,0.00412,0.0966,-3.85,0.0482,0.588,126.092,spotify:track:57yeWyaoeTt26p0dlEZukQ
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,213750,0,1,4,0.547,0.647,0.82,0.0000171,0.0923,-6.189,0.259,0.315,127.921,spotify:track:1YgsNnNKumUzrN7miPzQME
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,286253,4,0,4,0.186,0.316,0.636,0.00016,0.198,-6.631,0.0424,0.4,171.564,spotify:track:5kMAugdkH2coRHRnW5FuDb
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,273093,1,0,4,0.0124,0.663,0.548,0,0.134,-9.785,0.0809,0.542,114.529,spotify:track:31Y75sGePu69Qzkez9W6WP
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,217960,10,0,4,0.0095,0.599,0.818,0.00571,0.297,-3.652,0.0394,0.366,128.159,spotify:track:2egGsu9X7zdNJxU9Kftq6l
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,187720,4,0,4,0.011,0.647,0.534,0.000249,0.104,-5.439,0.0279,0.673,96.98,spotify:track:4jJEQg6mr3fQsUCYTwhBEZ
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,251267,2,1,4,0.115,0.697,0.529,0.901,0.0895,-8.838,0.0338,0.486,155.974,spotify:track:2RtNSM8cPCAOZ5bvQbW6y3
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,226187,5,1,4,0.206,0.574,0.667,0.352,0.0852,-5.425,0.0301,0.546,88.299,spotify:track:1gGY6qfslDtJ4OoWQGKtkE
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,201726,6,0,4,0.00616,0.288,0.758,0,0.303,-5.692,0.0371,0.619,97.094,spotify:track:29tzJGvqJPTAFs6LXmsHoA
