playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,289133,0,1,4,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,0.61,127.96,spotify:track:1JEsBoCgrdy4Xmu2E6aSj7
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,195853,11,0,4,0.076,0.813,0.627,0.000616,0.131,-5.018,0.0486,0.801,130.011,spotify:track:127uq83uGFapbddqiMUKky
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,235280,2,1,4,0.157,0.618,0.736,0,0.073,-3.937,0.0308,0.307,118.982,spotify:track:5hnJCRSo4pxRsaEwT9YusG
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,251440,9,1,4,0.13,0.867,0.857,0.00171,0.13,-5.892,0.0663,0.402,130.048,spotify:track:53e82ad7vcD7fQj6nWdCnM
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,207973,7,1,4,0.0087,0.713,0.76,0,0.359,-4.294,0.0563,0.769,124.98,spotify:track:1x15O33lry8Q5eE5kvXFLz
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,241973,2,1,4,0.00676,0.585,0.973,0.0000521,0.262,-2.894,0.0733,0.958,161.05,spotify:track:7DHjerIyPHNokLIQOmbo9b
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,261640,11,0,4,0.272,0.508,0.72,0,0.0563,-5.908,0.0628,0.472,79.983,spotify:track:4JehYebiI9JE8sR8MisGVb
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,284373,11,0,4,0.00474,0.798,0.629,0.0000217,0.324,-6.857,0.0735,0.4,130,spotify:track:0fXQkrDzvDQiZW4sxSkRUl
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,199693,2,0,4,0.0991,0.755,0.837,0,0.289,-2.718,0.142,0.714,120.028,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,287093,0,1,4,0.564,0.61,0.44,0.000897,0.0923,-7.864,0.0256,0.168,79.002,spotify:track:6qTmjG7thRJEOaUKFmfjGR
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,237200,4,1,4,0.118,0.851,0.806,0.00000164,0.121,-4.62,0.0787,0.787,118.999,spotify:track:1QV6tiMFM6fSOKOGLMHYYg
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,208307,5,0,4,0.113,0.762,0.692,0,0.094,-3.973,0.0438,0.397,114.906,spotify:track:02XnQdf7sipaKBBHixz3Zp
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,241853,8,0,4,0.0187,0.338,0.803,0,0.136,-5.412,0.0413,0.4,151.994,spotify:track:4IoYz8XqqdowINzfRrFnhi
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,193213,1,1,4,0.0383,0.426,0.584,0,0.188,-5.293,0.296,0.272,193.437,spotify:track:5R9a4t5t5O0IsznsrKPVro
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,222400,8,0,4,0.0476,0.657,0.941,0,0.0797,-3.919,0.061,0.879,136.202,spotify:track:7Kpqjspw4Y7HrvItIRcBiW
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,236067,4,1,4,0.0834,0.327,0.588,0,0.104,-6.611,0.0336,0.329,161.074,spotify:track:0V8FYVlBFuXXTIvRnMbZyS
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,231147,6,1,4,0.164,0.687,0.771,0.0000246,0.112,-4.424,0.0384,0.445,129.964,spotify:track:4kgTdThcDHfuDS2kKxB7Lc
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,207200,0,1,4,0.0167,0.762,0.702,0,0.314,-5.87,0.0432,0.898,127.029,spotify:track:0jDWRUbxSn8zQlwFbeLHwo
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,213107,4,1,4,0.0159,0.718,0.691,0,0.0627,-6.44,0.0387,0.552,100.008,spotify:track:5gb9UJkh8TfrNMRYOJNbew
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,202547,5,1,4,0.052,0.718,0.806,0.0137,0.0932,-9.191,0.0376,0.929,121.488,spotify:track:2iJG2T1ETX533HJF9bVTrA
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,237120,2,1,4,0.0142,0.824,0.743,0.0000212,0.237,-5.995,0.141,0.804,127.046,spotify:track:6a8GbQIlV8HBUW3c6Uk9PH
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,207120,10,1,4,0.419,0.661,0.847,0.0000882,0.107,-6.948,0.0404,0.522,134.002,spotify:track:68CEebui4m1uKRq2yI6mqx
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,208067,1,1,4,0.0895,0.694,0.825,0.0000186,0.0618,-5.986,0.111,0.788,121.949,spotify:track:3WFswNYDLfjj9Cg0Y1sNyW
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,261427,10,1,4,0.144,0.63,0.696,0,0.0835,-4.501,0.0242,0.491,94.034,spotify:track:285hMzLhJwHVLe9QT9qilk
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,196413,0,1,4,0.0116,0.594,0.874,0,0.549,-3.716,0.0815,0.628,119.964,spotify:track:7kMfu3KUydmrFVGEAhjtyl
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,287080,2,1,4,0.0807,0.933,0.85,0.00000253,0.192,-1.372,0.0683,0.644,114.011,spotify:track:6FgM4kftjU3D3V27NbFqph
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,204370,6,1,3,0.0418,0.711,0.747,0.00482,0.217,-4.148,0.0958,0.647,127.972,spotify:track:76juDmdOF5jly6YlTcmSnJ
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,191000,11,1,4,0.0157,0.674,0.862,0.000427,0.169,-4.614,0.0253,0.5,129.965,spotify:track:1hRFVIy9As8OVRk8B7CrD5
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,268613,5,0,4,0.000235,0.493,0.808,0,0.0983,-3.365,0.0362,0.38,117.971,spotify:track:6Wx88Mv6b9ofjKMKkdwOJd
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,205653,9,1,4,0.0491,0.58,0.961,0,0.0491,-2.053,0.119,0.565,146.081,spotify:track:2rABlfAnp5ec2yZPcFRwL8
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,294573,0,1,4,0.00314,0.696,0.921,0.0000524,0.0842,-3.755,0.0363,0.714,119.001,spotify:track:1CZOrmHUUjeDP7N2B4Ba6S
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,202667,11,0,4,0.00175,0.607,0.805,0,0.231,-5.579,0.0608,0.232,139.894,spotify:track:0fzbGFozA92t0Grw3qw6EB
