playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,215507,6,0,4,0.403,0.628,0.834,0,0.051,-6.341,0.0497,0.626,97.865,spotify:track:10FP9hm2aFfAIKEopqaG9D
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,227600,0,1,4,0.045,0.852,0.616,0,0.321,-4.728,0.0747,0.685,94.758,spotify:track:1Bt6TZfF8FSqdiHPN0vy4u
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,230640,9,0,4,0.0263,0.766,0.563,0.683,0.115,-7.516,0.0339,0.964,126.007,spotify:track:7m2g1kKuF7Tre2PzjK3Lnh
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,235133,6,1,4,0.143,0.802,0.77,0,0.0424,-2.998,0.0925,0.778,85.286,spotify:track:7xHsIaGEmiZunovi6oFtQz
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,216360,1,1,4,0.000966,0.537,0.858,0,0.0812,-4.903,0.0349,0.502,124.599,spotify:track:6jWLyg8AuMQ9LtIB2UlfOF
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,404107,6,0,4,0.0371,0.78,0.768,0.00000234,0.518,-4.325,0.238,0.507,80.063,spotify:track:3UmaczJpikHgJFyBTAJVoz
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,243160,10,1,4,0.138,0.622,0.608,0.00000538,0.273,-5.085,0.036,0.607,89.661,spotify:track:2tP7ZekzXfduShx8C6cbll
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,209267,9,0,4,0.00316,0.653,0.964,0.00512,0.144,-4.261,0.0582,0.87,126.928,spotify:track:5z6xHjCZr7a7AIcy8sPBKy
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,189440,1,0,4,0.0109,0.704,0.921,0.0000231,0.455,-9.073,0.071,0.75,133.989,spotify:track:6Fcwmde0a5L3pjRILBjoNn
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,186688,4,1,4,0.0922,0.752,0.696,0.00584,0.11,-4.618,0.0434,0.593,94.004,spotify:track:0ONB9W9HjQMFvAB9Cqm4vo
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,236907,1,0,4,0.0548,0.772,0.688,0.0000979,0.0725,-4.715,0.0405,0.348,98,spotify:track:3G6hxSp260RzGw4sOiDOQ3
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,216733,9,0,4,0.00132,0.736,0.811,0.000142,0.107,-4.17,0.081,0.609,103.502,spotify:track:4BggEwLhGfrbrl7JBhC8EC
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,264907,5,1,4,0.015,0.76,0.812,0.0000157,0.646,-3.674,0.0541,0.618,109.903,spotify:track:5StXroDq4Wq4Om8E8g3htD
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,197760,7,1,4,0.169,0.802,0.341,0,0.0783,-8.56,0.488,0.849,166.01,spotify:track:0rRboI6IRuGx56Dq3UdYY4
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,187493,1,1,4,0.103,0.709,0.869,0,0.0769,-3.209,0.124,0.773,99.906,spotify:track:6SCsRA5HxLfOtN4sQN2Lkl
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,232760,7,1,4,0.0336,0.823,0.675,0,0.143,-6.123,0.0327,0.905,117.038,spotify:track:55VrknOG8cL1Y7p1qaQbC2
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,270507,4,0,4,0.143,0.843,0.806,0,0.0771,-5.946,0.269,0.613,94.948,spotify:track:0I3q5fE6wg7LIfHGngUTnV
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,223840,10,1,4,0.00135,0.446,0.764,0,0.099,-5.042,0.033,0.543,172.094,spotify:track:0gmbgwZ8iqyMPmXefof8Yf
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,249040,1,1,4,0.0121,0.852,0.694,0,0.126,-6.765,0.0653,0.789,109.906,spotify:track:18CODOzJ5DWzWh6kAeKiSC
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,235267,0,1,4,0.032,0.32,0.695,0,0.201,-5.756,0.0388,0.165,141.91,spotify:track:0s8OMEGJQJIUr9VFwNEH1v
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,211880,9,1,4,0.00417,0.698,0.819,0.000552,0.118,-6.784,0.0337,0.581,112.015,spotify:track:6ixn3MwFLBUc94TJrSILOt
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,223547,5,0,4,0.121,0.721,0.737,0,0.165,-2.734,0.0324,0.931,97.996,spotify:track:7jley98gCQFueQ5MCaFWIb
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,259933,0,1,4,0.154,0.468,0.64,0,0.154,-5.862,0.0275,0.499,79.297,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,230133,8,0,4,0.242,0.908,0.557,0,0.0709,-4.243,0.107,0.897,90.032,spotify:track:3RmKpob8xzv1pzHEQrMJah
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,208653,1,1,4,0.00305,0.548,0.979,0.272,0.321,-8.33,0.0629,0.262,140.023,spotify:track:0tIh6OrkYVIH3LrurhXqjB
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,206400,0,0,4,0.0287,0.646,0.884,0,0.271,-6.09,0.321,0.961,174.079,spotify:track:5kLIe8557XjaSIv6SgA5mK
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,214307,4,1,4,0.127,0.745,0.647,0,0.0505,-6.458,0.0442,0.821,83.346,spotify:track:1A8OrMrc15qpXp5MuOfvG2
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,241840,4,1,4,0.36,0.617,0.84,0.0000885,0.179,-4.063,0.0512,0.57,94.676,spotify:track:3LI4MmibTkXH5cGpCGZgyw
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,175400,7,1,4,0.244,0.738,0.776,0,0.469,-7.32,0.235,0.833,95.942,spotify:track:2648dyCgcTFNkJZXgGlHPv
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,204867,9,0,4,0.196,0.596,0.686,0,0.121,-6.371,0.0345,0.815,172.835,spotify:track:3R7fjB38qajI6JR69y5k4e
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,220107,7,0,4,0.309,0.85,0.674,0.000645,0.0356,-7.981,0.0373,0.74,115.005,spotify:track:1C2Q3AymKS17bw7T5gfq6p
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,318733,11,0,4,0.0136,0.789,0.781,0.0000281,0.0701,-6.205,0.0557,0.682,108.01,spotify:track:3jo3N6vwRVTCEOY5Wffrru
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,266773,11,1,4,0.00239,0.429,0.661,0.00013,0.234,-7.227,0.0281,0.285,173.365,spotify:track:3AJwUDP919kvQ9QcozQPxg
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,254640,5,0,4,0.063,0.637,0.929,0.00796,0.318,-6.03,0.0447,0.604,136.482,spotify:track:7q3qX7Ees3FZtRFJXWgPZs
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,,,,,,,,,,,,,,
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,185307,11,0,4,0.0178,0.549,0.981,0.0000018,0.438,-3.558,0.059,0.873,82.331,spotify:track:0C9jZPUv4SuaXkuEQw6L40
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,196987,11,1,4,0.503,0.51,0.48,0,0.106,-6.567,0.0452,0.496,182.862,spotify:track:0HKD13PLq2WicViBBhSrOl
