playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,306427,7,1,4,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,0.304,166.973,spotify:track:2IZZqH4K02UIYg5EohpNHF
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,373200,10,0,4,0.000292,0.554,0.713,0.602,0.118,-8.606,0.0445,0.532,89.995,spotify:track:2Mv8In1IykWH5oLDc66PRC
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,257827,0,1,4,0.0204,0.488,0.862,0,0.359,-7.595,0.0476,0.706,104.56,spotify:track:1FkoVC85Ds3mFoK0fVqEqP
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,197800,7,1,4,0.0675,0.519,0.77,0.00000348,0.0762,-8.788,0.0809,0.921,158.29,spotify:track:5JJDu0Z5DKe7mR31MGksSg
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,265694,2,1,3,0.015,0.321,0.634,0.0000209,0.105,-5.999,0.0362,0.314,152.434,spotify:track:1GiZpoUewBi4QIOixG6lk6
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,196573,8,1,4,0.00291,0.612,0.848,0.00319,0.0687,-9.178,0.0463,0.632,136.196,spotify:track:1SY2vughwKmVPm1Lmf5Nl7
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,218000,3,0,4,0.14,0.606,0.769,0.0000164,0.841,-9.215,0.0713,0.593,121.042,spotify:track:48YkpE5enOln5c7jXSTuHL
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,227427,2,1,4,0.0116,0.676,0.424,0.0152,0.0642,-14.23,0.0698,0.785,126.177,spotify:track:68zKm5OwWGhagWGUf3adia
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,250560,10,0,4,0.0361,0.719,0.877,0.0000983,0.308,-7.355,0.0647,0.769,115.98,spotify:track:6yFn1gA36FwRVkbtZzXzAX
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,231293,1,1,4,0.038,0.704,0.855,0.24,0.145,-9.103,0.0442,0.603,134,spotify:track:0T2ynl622fdmvxUFaqaXcV
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,357173,5,0,4,0.000936,0.469,0.649,0.47,0.144,-8.45,0.0311,0.696,125.174,spotify:track:26sLRGYCSYSnK0cJVtcCAf
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,156867,0,1,4,0.0196,0.477,0.965,0.000126,0.138,-5.735,0.0361,0.642,116.251,spotify:track:2L8kaqJ2YHbKlcX1e1rKnf
