playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,266173,2,1,3,0.554,0.378,0.664,0,0.154,-10.652,0.249,0.649,172.866,spotify:track:5i0BBU8OZdD7EkYeA5WrSq
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,238640,7,1,4,0.0102,0.515,0.43,0.000141,0.129,-9.935,0.0369,0.104,91.841,spotify:track:6b2oQwSGFkzsMtQruIWm2p
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,274707,7,1,4,0.0783,0.439,0.434,0.0000487,0.14,-14.918,0.0265,0.204,94.845,spotify:track:0gEyKnHvgkrkBM6fbeHdwK
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,217107,9,1,4,0.619,0.389,0.476,0.0000509,0.255,-9.342,0.0316,0.566,148.117,spotify:track:6txWz9UapYHVxEd7dDIHXT
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,213693,3,1,4,0.00915,0.502,0.758,0.783,0.284,-9.76,0.0407,0.729,112.508,spotify:track:2hjGuRIEfEGzQ5MEWLowiU
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,313573,7,1,4,0.0266,0.466,0.833,0,0.0327,-4.215,0.304,0.661,88.785,spotify:track:59WN2psjkt1tyaxjspN8fp
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,416533,6,1,4,0.00431,0.616,0.645,0.0107,0.0409,-14.77,0.0348,0.328,116.146,spotify:track:3GtaFJ4Zx7TEBU8yUXtdOx
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,193427,5,0,4,0.00000434,0.468,0.863,0.334,0.33,-7.037,0.0493,0.377,140.267,spotify:track:7M1L2Cv5025QeywNsdfPDK
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,186600,1,1,4,0.00996,0.464,0.754,0.0078,0.32,-7.286,0.104,0.588,94.438,spotify:track:5W52WxNMAOlvAuE64v6d9U
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,243947,5,1,4,0.00000648,0.445,0.928,0.55,0.369,-7.005,0.072,0.672,117.47,spotify:track:7nZ0Ef4zyUswcvcpiCIWBi
