playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,253077,11,0,4,0.0637,0.59,0.562,0,0.105,-9.607,0.0505,0.561,140.835,spotify:track:7to68V64Cu6zk0UDo5tyw3
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,248036,2,1,4,0.00182,0.76,0.964,0.7,0.0974,-5.844,0.0576,0.641,125,spotify:track:62WEkOD8TUO7wzkolOQW9v
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,312820,8,1,4,0.00513,0.834,0.73,0,0.124,-3.714,0.222,0.446,155.008,spotify:track:2xLMifQCjDGFmkHkpNLD9h
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,225773,5,1,4,0.117,0.854,0.463,0,0.354,-6.159,0.137,0.549,120.024,spotify:track:6EEchdRtnndmJHa5yRebCc
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,170413,6,1,4,0.00469,0.393,0.855,0,0.0735,-4.329,0.122,0.328,74.304,spotify:track:4gvPqK7RifS2F45o9Obo5B
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,196493,11,1,4,0.705,0.551,0.537,0,0.0802,-7.595,0.034,0.493,126.421,spotify:track:5qrSlOut2rNAWv3ubArkNy
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,217285,0,1,4,0.127,0.688,0.539,0.0000416,0.116,-8.587,0.0353,0.207,115.964,spotify:track:4x0pNOZ5r6kJMjsvsoliBm
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,196077,4,1,4,0.978,0.367,0.111,0.0000397,0.0897,-14.084,0.0972,0.198,82.642,spotify:track:43zdsphuZLzwA9k4DJhU0I
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,232095,5,1,4,0.657,0.48,0.353,0.0000449,0.107,-8.779,0.0297,0.176,153.923,spotify:track:6PZB6knLs42luWiiE6pCD9
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,286786,0,1,4,0.0524,0.549,0.594,0.00000274,0.312,-9.359,0.0452,0.365,119.935,spotify:track:7fE9r2qOJmjgruk3TdW4MD
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,149623,0,1,4,0.012,0.542,0.758,0,0.274,-5.032,0.0286,0.489,104.944,spotify:track:14jL8sDvHq13jE4YcMknyf
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,207679,1,1,4,0.0084,0.548,0.842,0,0.0779,-3.902,0.0489,0.38,105.121,spotify:track:0ksLGbDH7R769GrbCarbBs
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,205040,5,0,4,0.0609,0.854,0.569,0.0816,0.1,-8.151,0.106,0.294,80.015,spotify:track:7ycWLEP1GsNjVvcjawXz3z
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,217136,1,1,4,0.0236,0.738,0.696,0.0000909,0.338,-3.59,0.0305,0.892,101.989,spotify:track:5Qlsugh2ZVlaOgPSHpI8D7
