playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,202960,4,1,4,0.00541,0.474,0.809,0,0.0602,-4.974,0.0386,0.702,127.599,spotify:track:2fpKkOzGcJ1tnBDnu8kJmp
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,211920,5,1,4,0.157,0.664,0.807,0,0.0788,-5.684,0.0396,0.917,125.295,spotify:track:37ncw2kChEJzbmmKMzGAoE
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,213267,2,1,4,0.295,0.749,0.748,0.000443,0.469,-7.011,0.0323,0.827,137.547,spotify:track:2TxCwUlqaOH3TIyJqGgR91
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,216400,5,1,4,0.158,0.432,0.81,0.00501,0.131,-6.911,0.0322,0.591,131.9,spotify:track:13qJfCQRQDzUfkQjROIx53
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,227720,9,1,4,0.282,0.687,0.661,0.0000317,0.193,-6.654,0.0979,0.15,140.501,spotify:track:2qeYY4SxrPLyGCdCXL6tbg
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,205493,4,1,4,0.354,0.621,0.788,0,0.305,-4.326,0.0314,0.926,129.62,spotify:track:4pCNJwixy2ImFncaPY2yE2
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,172733,9,1,4,0.139,0.664,0.547,0.00000179,0.239,-11.594,0.0281,0.964,132.943,spotify:track:74jZhGv0fdLaf9q8AZZ15k
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,,,,,,,,,,,,,,
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,149952,10,1,4,0.892,0.778,0.307,0.000287,0.0985,-9.356,0.0341,0.699,92.299,spotify:track:2SVW5774QbmEjWfbHOEnz3
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,191293,6,1,4,0.0109,0.258,0.899,0,0.104,-5.91,0.0615,0.946,168.598,spotify:track:4LHfbj11Teq1fK57UUAsCT
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,207800,5,1,4,0.169,0.719,0.632,0.000016,0.284,-11.537,0.0289,0.962,131.908,spotify:track:37dPgiT3cY5XFbG3Ldq7zv
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,170360,7,1,4,0.387,0.627,0.497,0,0.05,-12.283,0.0271,0.688,129.531,spotify:track:7wC5vOh3fQibFYWjCIotKw
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,195280,0,1,4,0.677,0.461,0.806,0.0163,0.348,-4.257,0.0355,0.748,110.701,spotify:track:0x5BKBAcia1th7UzcoHnD1
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,210787,0,1,4,0.047,0.606,0.782,0.108,0.0404,-5.352,0.0413,0.878,146.409,spotify:track:3zYZHKkuSzlePmqC0OAmRR
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,230200,4,1,4,0.06,0.402,0.836,0.0000199,0.236,-7.089,0.0305,0.206,90.173,spotify:track:0tzk7eYdvbXTiDIhU65EWO
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,213093,5,1,4,0.34,0.712,0.514,0.000196,0.176,-16.256,0.0278,0.98,109.885,spotify:track:3ps9GR6GJBXmkOtlVMmXcO
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,238160,3,1,4,0.302,0.359,0.366,0.00000226,0.344,-10.959,0.0308,0.52,82.293,spotify:track:3o4IPRBby6tOJ7OEhRzr3c
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,189667,10,1,3,0.254,0.474,0.494,0.00000613,0.146,-4.872,0.0243,0.439,96.778,spotify:track:4zm0h5UpTkSLM36mWzo0fB
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,180827,5,0,4,0.569,0.484,0.751,0.00000878,0.552,-6.825,0.0486,0.888,150.968,spotify:track:34tIBWjEV2F27FRz34HhHy
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,238333,0,1,4,0.511,0.471,0.675,0.019,0.232,-9.07,0.0513,0.53,125.313,spotify:track:4oW1lGOw5Q5OLvoJv92qoE
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,178747,9,1,4,0.732,0.564,0.594,0.00366,0.343,-9.245,0.0328,0.766,120.749,spotify:track:02srSkeu2pzybuVr2B9TJm
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,290200,4,0,4,0.509,0.619,0.705,0.000329,0.317,-5.989,0.0342,0.64,141.515,spotify:track:3EDnKqjiO6SCUHcEBQ8w0v
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,340840,2,0,4,0.0125,0.391,0.639,0.00081,0.336,-7.497,0.0373,0.2,132.543,spotify:track:2uJyRYyxmHRTZNU45I2U4z
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,277960,11,1,4,0.372,0.43,0.374,0.379,0.316,-9.949,0.0292,0.191,128.56,spotify:track:6OuRbvP4PgbuzBIapVzmFJ
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,179467,7,0,4,0.000588,0.611,0.882,0.926,0.397,-3.18,0.028,0.895,125.681,spotify:track:3b9Cpi8jW9jNoyx72QbfRO
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,208053,4,1,4,0.00865,0.523,0.933,0.000411,0.426,-4.564,0.0421,0.953,95.515,spotify:track:5V0fhX7etCIMscdrEA8qCs
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,171827,9,1,4,0.00257,0.392,0.782,0.047,0.151,-5.205,0.051,0.886,75.842,spotify:track:4upv1CF2L81mccpBlHB7KZ
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,,,,,,,,,,,,,,
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,209307,0,1,4,0.281,0.568,0.589,0,0.0714,-5.422,0.0339,0.74,126.005,spotify:track:7jvt81jzD2r3PxSca6uLTO
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,213333,10,1,4,0.418,0.308,0.464,0.00000249,0.143,-9.032,0.0279,0.318,103.734,spotify:track:6iXQrhhgBisdfvS34EMTZ3
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,234867,11,0,4,0.000146,0.475,0.439,0.000277,0.223,-15.039,0.0427,0.76,118.392,spotify:track:0HOrDVS349XFcpCYsO2hAP
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,225880,0,1,4,0.00486,0.562,0.839,0.00000236,0.301,-4.587,0.0527,0.806,143.223,spotify:track:6MHP5SaVNgF0pKNBBYNNDY
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,377573,0,1,4,0.0889,0.392,0.566,0.000076,0.0676,-8.127,0.0368,0.538,164.11,spotify:track:13JsYnkF16pHKuOFG6uI1C
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,366640,4,1,4,0.685,0.404,0.523,0.000498,0.282,-15.7,0.0575,0.164,133.738,spotify:track:5HQEmiV2lKnSO6qa2fsR7x
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,196800,5,1,4,0.2,0.533,0.906,0.0015,0.493,-7.547,0.0381,0.638,121.669,spotify:track:3kzmI3qZbtBKcVfiUyT2xI
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,212013,11,0,4,0.238,0.461,0.499,0,0.135,-10.443,0.0316,0.387,137.687,spotify:track:2yDQVcj26tpi9IUJhw9xDs
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,198680,2,1,4,0.0608,0.312,0.818,0.00892,0.129,-5.473,0.0521,0.622,172.961,spotify:track:5cTJwXAVQtWO5y1k9OWXeE
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,223144,9,1,4,0.962,0.387,0.164,0,0.0817,-14.617,0.085,0.409,72.029,spotify:track:3ebYtLVuV4HzEZUDcpZB9p
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,176480,2,1,4,0.449,0.601,0.609,0.00241,0.0862,-10.782,0.0273,0.898,100.184,spotify:track:2TdYPRUFESD0WYKuisqZle
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,191303,5,1,4,0.535,0.597,0.666,0,0.149,-7.323,0.0358,0.806,128.76,spotify:track:5fMiEaa7udr706hwLbLWp1
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,231649,7,0,4,0.368,0.301,0.41,0,0.156,-10.781,0.0323,0.706,191.661,spotify:track:6JIFpniEB1jVYPfVQw4D9V
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,171587,11,0,4,0.00703,0.611,0.497,0,0.162,-11.138,0.0275,0.603,134.96,spotify:track:0PawNY8n4GvLqlbDIs6OPT
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,175906,4,0,4,0.31,0.398,0.517,0.00000166,0.165,-8.661,0.0328,0.527,97.773,spotify:track:19klrUEpeyhYNyy7YDdVdc
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,210307,6,0,4,0.382,0.683,0.865,0.0000781,0.166,-9.617,0.0846,0.83,141.226,spotify:track:4jGGYu7X6N2oxpSy55d9lv
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,169520,4,1,4,0.47,0.684,0.643,0.00000163,0.25,-6.513,0.0347,0.961,112.144,spotify:track:79a7CeMy7iWFAQWd8d38dC
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,220667,10,0,4,0.36,0.623,0.636,0.00091,0.182,-11.85,0.111,0.557,131.443,spotify:track:1pIc09cd36KP2upzjxvV9J
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,255827,4,1,4,0.414,0.656,0.592,0,0.139,-10.818,0.0294,0.741,137.99,spotify:track:5FDi3EQIZcm94ds65tp4MM
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,242133,0,0,4,0.248,0.637,0.532,0.0849,0.11,-13.943,0.0339,0.835,123.257,spotify:track:60NAi3x5XfU8UDMu5WRUSr
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,195467,0,1,4,0.287,0.665,0.556,0.0000417,0.115,-9.873,0.0275,0.77,115.083,spotify:track:7gZD8Ime7bhJI8Do6AiYT8
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,222951,10,1,4,0.233,0.489,0.577,0,0.123,-9.765,0.042,0.519,78.112,spotify:track:2obblQ6tcePeOEVJV6nEGD
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,202387,5,1,4,0.251,0.415,0.713,0.00197,0.289,-5.55,0.0278,0.579,125.056,spotify:track:6yZv0Nl6BXABbXoPVpfF5y
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,197693,2,1,4,0.0422,0.598,0.673,0.0000684,0.289,-10.431,0.0693,0.59,102.035,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,193387,9,1,3,0.346,0.655,0.926,0.000194,0.131,-4.677,0.07,0.745,142.961,spotify:track:3szxXGdgQOlZTTrRG4IoyU
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,130480,2,1,4,0.406,0.334,0.539,0,0.429,-9.019,0.0324,0.37,75.092,spotify:track:4k8AOuix44BSULHnrnAnEq
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,324573,0,0,4,0.0444,0.712,0.681,0.000235,0.0592,-6.351,0.0294,0.809,125.497,spotify:track:2hl9ONQ7YGgZGYx0OSHvIq
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,209107,7,1,4,0.158,0.479,0.628,0.000284,0.71,-7.68,0.0528,0.607,133.527,spotify:track:5EAs9rE9Jl95VxekSdo4nw
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,225827,0,1,4,0.242,0.576,0.459,0,0.146,-12.469,0.0376,0.558,117.398,spotify:track:55bIfh0vPxXhTr5FHqFSDE
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,293453,7,1,4,0.000968,0.4,0.73,0.0179,0.0612,-9.633,0.054,0.442,134.602,spotify:track:3gOsZGaMej7EMVy6VBjxHM
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,216173,9,1,3,0.82,0.219,0.43,0.0000439,0.124,-9.202,0.0309,0.495,180.05,spotify:track:2eD5bmknmcojiCxoKpvVTI
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,186333,9,0,4,0.345,0.393,0.588,0,0.134,-6.68,0.0613,0.728,203.145,spotify:track:500h8jAdr7LvzzXlm1qxtK
