playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2LsI85PubbxVrP4wjfagzw,268120,7,1,4,0.205,0.708,0.641,0,0.0945,-4.296,0.0335,0.253,113.082,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM
spotify:playlist:2LsI85PubbxVrP4wjfagzw,216600,7,1,4,0.000738,0.56,0.959,0.000206,0.209,-2.433,0.102,0.67,163.983,spotify:track:45hOioMDJktr86iKDHC8gr
spotify:playlist:2LsI85PubbxVrP4wjfagzw,275987,1,1,4,0.0101,0.581,0.827,0,0.0522,-4.566,0.141,0.549,174.013,spotify:track:5i66xrvSh1MjjyDd6zcwgj
spotify:playlist:2LsI85PubbxVrP4wjfagzw,257733,1,1,4,0.0275,0.538,0.641,0.00149,0.11,-6.582,0.0287,0.16,127.505,spotify:track:5HBDU0kn4f4hkZMjABsltT
spotify:playlist:2LsI85PubbxVrP4wjfagzw,261853,2,1,4,0.0217,0.476,0.736,0.00000108,0.203,-5.38,0.0343,0.251,129.084,spotify:track:40LQiUUUKXVGyNs09lHVjW
spotify:playlist:2LsI85PubbxVrP4wjfagzw,184400,8,1,4,0.0361,0.657,0.604,0,0.102,-6.006,0.0296,0.0779,118.042,spotify:track:6q3zC9dDD4lUNk8nfUztXy
spotify:playlist:2LsI85PubbxVrP4wjfagzw,187733,0,1,4,0.0242,0.675,0.828,0.0102,0.364,-5.799,0.0454,0.669,122.229,spotify:track:2SDx0PooHZI1SQKR0y44bs
spotify:playlist:2LsI85PubbxVrP4wjfagzw,194213,8,0,4,0.0125,0.686,0.789,0.0147,0.142,-4.713,0.23,0.72,172.976,spotify:track:5lUTzPuiloBHm1qEaJcJfF
spotify:playlist:2LsI85PubbxVrP4wjfagzw,246467,1,1,4,0.191,0.756,0.77,0,0.178,-3.502,0.0343,0.73,119.961,spotify:track:5BHtT1xpC44pGy1J7RKY4T
spotify:playlist:2LsI85PubbxVrP4wjfagzw,241933,9,1,4,0.159,0.745,0.666,0,0.302,-5.899,0.0566,0.708,129.995,spotify:track:064NEtcV4JQqGxAtfqvRfI
spotify:playlist:2LsI85PubbxVrP4wjfagzw,179120,3,0,4,0.181,0.731,0.807,0.751,0.319,-6.492,0.1,0.765,114.759,spotify:track:2bLqfJjuC5syrsgDsZfGmn
spotify:playlist:2LsI85PubbxVrP4wjfagzw,244000,6,1,4,0.0226,0.64,0.884,0,0.187,-2.609,0.0428,0.573,124.968,spotify:track:6BLLQndvA0rLbLcIZmuuEJ
spotify:playlist:2LsI85PubbxVrP4wjfagzw,246600,0,1,4,0.298,0.811,0.757,0,0.103,-6.447,0.23,0.565,130.993,spotify:track:6vVfNqiMSku4FrqsqhurBK
spotify:playlist:2LsI85PubbxVrP4wjfagzw,212040,9,1,4,0.000747,0.435,0.887,0,0.0327,-4.07,0.0636,0.408,199.935,spotify:track:1oagRT7LfpVlNJN6FSZDGp
spotify:playlist:2LsI85PubbxVrP4wjfagzw,227720,9,1,4,0.0149,0.371,0.927,0,0.342,-3.027,0.0618,0.462,168.103,spotify:track:7aDPIJ0fVPbCG5vkbrZ54u
spotify:playlist:2LsI85PubbxVrP4wjfagzw,203507,10,0,4,0.00511,0.459,0.891,0,0.106,-5.057,0.0623,0.588,154.837,spotify:track:3Zwu2K0Qa5sT6teCCHPShP
spotify:playlist:2LsI85PubbxVrP4wjfagzw,183147,9,1,4,0.000306,0.64,0.967,0.000898,0.0416,-5.279,0.05,0.383,128.084,spotify:track:3jKvQwaFbzfEW9GeMcCRr0
spotify:playlist:2LsI85PubbxVrP4wjfagzw,262533,10,1,4,0.269,0.64,0.743,0,0.101,-4.08,0.0379,0.361,122.035,spotify:track:5fVZC9GiM4e8vu99W0Xf6J
spotify:playlist:2LsI85PubbxVrP4wjfagzw,311867,10,0,4,0.00564,0.617,0.717,0,0.408,-7.858,0.153,0.49,103.992,spotify:track:4fzsfWzRhPawzqhX8Qt9F3
spotify:playlist:2LsI85PubbxVrP4wjfagzw,229120,1,1,4,0.0284,0.419,0.663,0,0.209,-5.393,0.0355,0.149,93.012,spotify:track:7uCQb1MoL0kC4nw6WsGk38
spotify:playlist:2LsI85PubbxVrP4wjfagzw,233280,2,1,4,0.831,0.522,0.453,0.00000121,0.101,-7.859,0.0295,0.306,103.879,spotify:track:3DWOTqMQGp5q75fnVsWwaN
