playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,151133,2,1,4,0.177,0.73,0.717,0.00000385,0.0628,-3.983,0.0873,0.703,122.713,spotify:track:48xq0DnfAKtsFjK1L7GZx9
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,254107,11,1,4,0.0224,0.756,0.73,0.0000124,0.139,-5.292,0.032,0.917,115.977,spotify:track:4vqHz44pzFSfDNIE20QRBu
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,222640,6,1,4,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,0.772,138.559,spotify:track:0d28khcov6AiegSCpG5TuT
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,255627,1,0,4,0.000769,0.366,0.94,0.0000942,0.188,-5.119,0.0696,0.369,130.198,spotify:track:5FZxsHWIvUsmSK1IAvm2pp
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,245000,11,0,4,0.0226,0.76,0.891,0.0868,0.298,-5.852,0.0372,0.966,120.265,spotify:track:4Hff1IjRbLGeLgFgxvHflk
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,294027,9,0,4,0.223,0.17,0.613,0.00121,0.0958,-4.924,0.0375,0.0399,63.654,spotify:track:48dE0z3UmL9B9oXY4HkuCG
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,241840,8,1,4,0.283,0.63,0.661,0.00538,0.0978,-9.83,0.0332,0.829,97.301,spotify:track:2KjqIRW1pRVK7o5B29UqYI
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,179630,4,1,4,0.0121,0.396,0.892,0,0.368,-5.333,0.0398,0.533,159.935,spotify:track:0m1EeQNY6qOwKxaZO4ETim
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,280467,0,1,4,0.0452,0.264,0.78,0.0222,0.376,-2.741,0.0517,0.456,155.376,spotify:track:2yoCk1xYdULGPV1143r7CB
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,215000,0,1,4,0.0783,0.413,0.942,0.000412,0.689,-2.871,0.0453,0.759,123.085,spotify:track:0vek0LcCbvcMtj0GkXMMJy
