playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,158973,8,0,4,0.229,0.731,0.498,0.0000406,0.505,-6.571,0.0339,0.802,96.038,spotify:track:46dWvPwaO8mNLgUIU35y3q
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,234693,6,0,4,0.00589,0.884,0.657,0,0.154,-4.569,0.0977,0.489,107.059,spotify:track:0N3W5peJUQtI4eyR6GJT5O
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,176561,7,0,4,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,0.274,98.007,spotify:track:33YmfTNoLnbkRnOjf7YIVm
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,216320,4,1,4,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,0.785,116.879,spotify:track:6K4t31amVTZDgR3sKmwUJJ
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,467587,1,0,4,0.00462,0.602,0.881,0.0266,0.111,-5.875,0.0443,0.577,125.012,spotify:track:2X485T9Z5Ly0xyaghN73ed
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,222067,2,1,4,0.323,0.828,0.735,0.000893,0.159,-4.929,0.0636,0.835,121.094,spotify:track:2QKOMdIoyOSVgh85W9iY8V
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,234866,1,0,4,0.198,0.669,0.302,0.000345,0.115,-10.896,0.0674,0.299,71.988,spotify:track:5V53dAjgNInfXNlz2cryvd
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,222235,0,0,4,0.338,0.495,0.581,0.00502,0.288,-6.481,0.316,0.46,83.02,spotify:track:0lFsdfJay6AM4m23hJYGEG
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,213520,9,0,4,0.113,0.705,0.769,0,0.105,-5.526,0.0425,0.583,107.949,spotify:track:22VdIZQfgXJea34mQxlt81
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,199246,10,0,4,0.0626,0.704,0.628,0.00000149,0.103,-7.882,0.162,0.654,92.005,spotify:track:7nRmfGNhHKEEu5o8yFXLXt
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,253043,10,0,4,0.262,0.572,0.592,0.0000406,0.0967,-8.195,0.0379,0.271,99.915,spotify:track:7nQDsFTnO8kd79j9PINdyj
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,239418,5,0,4,0.0138,0.708,0.793,0.00227,0.118,-5.426,0.0341,0.735,122.014,spotify:track:5HGxLtYxTriF7mMiriSpaz
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,206320,8,0,4,0.00637,0.686,0.718,0.000703,0.119,-5.054,0.0431,0.557,115.026,spotify:track:0b6wdul3A5sQNpIOv03OxP
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,267067,2,1,4,0.00258,0.891,0.628,0.00019,0.0504,-7.863,0.0551,0.552,134.966,spotify:track:0wwPcA6wtMf6HUMpIRdeP7
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,242133,2,1,4,0.0174,0.33,0.863,0,0.0778,-4.443,0.0988,0.284,130.776,spotify:track:1F1cUb6tUhyRbSim00bkLW
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,249382,5,1,4,0.026,0.6,0.79,0,0.0959,-5.466,0.0365,0.345,115.063,spotify:track:7LI1qAsZiRaIpSA7FaWLXa
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,220573,9,1,4,0.0141,0.583,0.695,0,0.0527,-5.336,0.0423,0.224,104.879,spotify:track:0g5EKLgdKvNlln7TNqBByK
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,292593,1,1,4,0.0916,0.828,0.609,0.00000121,0.291,-4.402,0.0694,0.707,109.725,spotify:track:5pfJsMwoRYKampPay8amX0
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,242253,0,0,4,0.0671,0.585,0.564,0,0.135,-7.063,0.0515,0.137,113.003,spotify:track:7fBv7CLKzipRk6EC6TWHOB
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,244293,2,0,4,0.0025,0.495,0.931,0.0783,0.246,-5.336,0.0469,0.617,104.05,spotify:track:53L6A3I9vf7rgEZnMzx54E
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,311907,6,1,4,0.618,0.429,0.665,0.0135,0.0985,-6.985,0.0327,0.321,92.33,spotify:track:5f37ixzmpPfGTFytUM66dx
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,182950,5,0,4,0.0245,0.629,0.618,0,0.0938,-5.51,0.0918,0.644,92.071,spotify:track:0g1BxXBhdbhImlgjJoIGal
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,231041,2,1,4,0.4,0.716,0.681,0,0.108,-5.144,0.073,0.167,109.967,spotify:track:4CKbDMJTJokYsUvIVrvCqb
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,263765,4,0,4,0.316,0.263,0.555,0.0000578,0.128,-6.884,0.0446,0.191,79.783,spotify:track:7hHYJ3eCrQW15yj9ghcNzO
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,225311,10,0,4,0.0154,0.48,0.973,0,0.451,-2.586,0.092,0.495,94.332,spotify:track:5jmyQBmDeNwGbL9iC9nWsQ
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,213622,11,0,4,0.117,0.458,0.595,0,0.506,-9.912,0.217,0.502,89.571,spotify:track:6393Du1axGG1NvAMq0OcfU
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,324123,3,0,4,0.72,0.584,0.384,0.288,0.0964,-12.144,0.0675,0.184,93.981,spotify:track:3u4rIcRR7gSoJdkJIx9zpu
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,241580,9,0,4,0.0341,0.71,0.748,0.000106,0.0897,-6.244,0.0305,0.379,119.993,spotify:track:6dw1sbdCwW5sbsbcpq6QED
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,209558,11,1,4,0.00257,0.515,0.869,0.00000201,0.21,-4.732,0.0672,0.452,93.24,spotify:track:7KPLvVaccakFAxIBjntHUe
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,186978,8,0,4,0.0934,0.441,0.798,0,0.747,-4.051,0.0793,0.656,173.935,spotify:track:0wSJeDntuftBpsyhRSzZoW
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,283067,8,0,4,0.00422,0.647,0.626,0.323,0.122,-10.753,0.0424,0.185,109.015,spotify:track:0Sl8C9oeS3b5Kv9bSvTPDr
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,237483,2,1,4,0.0156,0.548,0.708,0.00011,0.14,-6.869,0.0763,0.198,99.801,spotify:track:7fUkfgyhJoMjEKU1FTheGG
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,216618,6,1,4,0.206,0.58,0.482,0.0000697,0.1,-8.968,0.0875,0.261,85.193,spotify:track:66RncK1EPRCYiEN6EmYrWR
