playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,250067,2,1,4,0.125,0.618,0.776,0.0000535,0.0808,-5.16,0.0402,0.674,125.536,spotify:track:2nCXuFS4Dt4BpHkxA9rhPL
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,281227,1,0,4,0.0972,0.537,0.701,0,0.0832,-8.913,0.0335,0.583,120.919,spotify:track:0qdQUeKVyevrbKhAo0ibxS
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,150933,2,1,4,0.272,0.622,0.498,0.00000294,0.05,-12.957,0.15,0.969,169.314,spotify:track:5dEXK48tQLwSLC1MvXGOnF
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,160533,4,1,4,0.659,0.682,0.596,0.0224,0.341,-10.298,0.0472,0.973,131.426,spotify:track:2eEpUnoZynvyUpN8bBm7dk
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,171000,10,1,4,0.802,0.622,0.568,0,0.221,-9.785,0.0393,0.848,109.097,spotify:track:3ep2JeuUdSlMm8JfwKbY15
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,198800,3,1,3,0.7,0.273,0.311,0.00385,0.119,-11.303,0.0286,0.341,79.517,spotify:track:0tA6LjhrON1eOtWI0URxSp
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,176704,1,1,4,0.158,0.774,0.58,0,0.0458,-10.08,0.0512,0.923,123.127,spotify:track:5eieTS268veCXyZoLoy7eP
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,194294,0,1,4,0.555,0.518,0.641,0.00000252,0.174,-5.98,0.0274,0.674,130.097,spotify:track:6Sq8sCfsDR0345z088YFgU
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,175867,0,1,4,0.168,0.589,0.501,0,0.0741,-11.665,0.031,0.969,131.064,spotify:track:5YwgJ6lpZ3SiAQwBEpjqey
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,286747,3,1,4,0.402,0.238,0.669,0.0000603,0.0843,-5.008,0.0588,0.301,75.873,spotify:track:195BSMZC1sjaNqt8NziMh5
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,239373,4,1,4,0.456,0.482,0.327,0.0000117,0.0749,-11.196,0.0306,0.361,93.701,spotify:track:6T86nVmtbovYi2KSNTRUq7
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,259800,0,1,3,0.68,0.405,0.517,0,0.0918,-4.696,0.0274,0.325,102.678,spotify:track:2UTxbNsUMfXGetZH7CUzoc
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,222000,2,1,4,0.685,0.582,0.652,0.0425,0.245,-9.691,0.0296,0.776,130.251,spotify:track:5MhGBKXoXapHw0iophhxv6
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,173280,3,1,4,0.31,0.43,0.462,0,0.204,-12.377,0.0449,0.796,202.248,spotify:track:0yT1pFeCrc6aEUfaJXtzrT
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,174227,11,0,4,0.087,0.747,0.551,0,0.293,-11.063,0.037,0.966,106.783,spotify:track:3l2csSVDgPiuiPRJqq8z7v
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,140333,6,1,4,0.506,0.601,0.363,0,0.389,-12.641,0.0317,0.675,124.176,spotify:track:4eNQcvlapW9YwQZwlVqykB
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,271333,2,1,4,0.302,0.453,0.464,0.0000596,0.152,-10.96,0.0431,0.658,93.19,spotify:track:1IqFh00G2kvvMm8pRMpehA
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,208587,7,1,4,0.629,0.634,0.833,0,0.864,-7.929,0.0651,0.816,120.801,spotify:track:5ZolwCsHOhtK8OPsevkztF
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,167787,6,0,4,0.0198,0.528,0.445,0.000384,0.0766,-12.075,0.0482,0.97,206.361,spotify:track:4jrEJvfSn7kJcZR4oD7VGo
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,222533,7,1,3,0.293,0.701,0.335,0.00845,0.0872,-13.534,0.034,0.824,122.239,spotify:track:6qYmf2NjhDfsF7x5U5DUOf
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,174147,2,1,4,0.212,0.51,0.876,0,0.248,-9.101,0.161,0.624,119.702,spotify:track:5JnHzjo25FY1fMQMQVOawB
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,266213,7,0,4,0.402,0.432,0.728,0.00169,0.106,-8.118,0.028,0.66,98.504,spotify:track:0PO67Uj5YFRPY4GRotHNWf
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,220947,5,0,4,0.452,0.566,0.622,0,0.196,-9.484,0.0481,0.631,110.792,spotify:track:45kW7SZVsIm8mYfs8BXExE
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,295480,11,0,4,0.0839,0.565,0.543,0.0521,0.0867,-8.505,0.0376,0.486,130.983,spotify:track:4R5qHNB2gdxBM2LDNaJZeO
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,177800,11,0,4,0.0916,0.549,0.547,0.00000226,0.205,-8.681,0.0452,0.972,129.814,spotify:track:703RBHUEEi5c4o4YUXAM9Q
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,268280,9,1,4,0.194,0.523,0.802,0.00000793,0.337,-5.942,0.0984,0.413,73.978,spotify:track:2pp1JD85KtFxRz94efpQj8
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,237827,4,1,4,0.548,0.335,0.262,0,0.0971,-13.832,0.0393,0.203,68.82,spotify:track:1jy0RbDHyBMTupSdc98XbG
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,185400,2,1,4,0.656,0.451,0.768,0,0.181,-8.183,0.119,0.575,154.02,spotify:track:2HvrMTzyHBRCeNyoMJfvHP
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,189067,6,1,4,0.512,0.259,0.473,0.0000015,0.4,-10.187,0.0324,0.232,84.897,spotify:track:45FLu3nL1iMYXYPzhqLdko
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,206067,1,1,4,0.558,0.564,0.357,0,0.233,-12.752,0.0326,0.477,129.242,spotify:track:0uHYplBhwLYey7f9qAmnSM
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,155533,8,1,4,0.605,0.559,0.35,0.000443,0.102,-12.01,0.0245,0.413,78.035,spotify:track:2XWmbwp9FBAaFcSE9BLQzc
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,233173,9,0,4,0.498,0.45,0.441,0.00562,0.133,-12.718,0.0352,0.811,208.282,spotify:track:12q3V8ShACq2PSWINMc2rC
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,187867,0,1,4,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,0.169,75.752,spotify:track:7pKfPomDEeI4TPT6EOYjn9
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,184333,7,1,4,0.0396,0.609,0.624,0.000168,0.277,-11.717,0.0292,0.691,123.191,spotify:track:4RFqi5JQduiSlRZCVlUDGH
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,264413,4,1,4,0.00654,0.468,0.833,0.000332,0.326,-5.847,0.0324,0.884,131.248,spotify:track:76TpWFiK5YCgw1hy26DWZp
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,293293,2,1,4,0.00787,0.739,0.763,0.00691,0.0412,-6.042,0.0353,0.643,121.231,spotify:track:1bVZN6zCNu6oENygsy0Mw0
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,228667,0,1,4,0.219,0.633,0.934,0.00021,0.0592,-3.594,0.0344,0.963,128.606,spotify:track:61UuPxxYUvacEH6SHIK3sU
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,267787,0,0,5,0.0141,0.705,0.728,0.343,0.245,-11.413,0.0301,0.737,107.088,spotify:track:18SFEVHt61HnNrAcK8Rlos
