playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,252800,9,1,3,0.383,0.426,0.471,0,0.347,-6.69,0.0317,0.31,113.508,spotify:track:25wSwwSTdUlOpGtEMLd3ED
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,249867,1,1,4,0.00847,0.553,0.917,0.0975,0.251,-4.658,0.0424,0.433,124.001,spotify:track:0ujklxrVM2jwpLMgbTwTd1
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,246067,1,1,4,0.362,0.767,0.877,0,0.292,-6.037,0.111,0.961,96.01,spotify:track:58dBZbrdTDicJK8r3JYx1h
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,220427,11,1,4,0.000152,0.467,0.988,0.0484,0.28,-3.313,0.112,0.321,130.433,spotify:track:70wYA8oYHoMzhRRkARoMhU
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,248640,7,1,4,0.0156,0.711,0.924,0,0.114,-3.398,0.0282,0.912,108.033,spotify:track:1qEHgdFqUxFebMPk8s2HLY
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,180787,0,0,4,0.0259,0.864,0.474,0.0487,0.0906,-8.41,0.0367,0.602,111.952,spotify:track:6FlAGda9qkDhTU7ctFM4uG
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,267933,9,1,4,0.209,0.563,0.592,0.0000508,0.132,-4.571,0.0276,0.136,104.016,spotify:track:11bD1JtSjlIgKgZG2134DZ
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,366093,5,0,4,0.0794,0.77,0.501,0.18,0.166,-9.582,0.037,0.525,125.081,spotify:track:4tFkgfdi8b3aNcKNthPqIF
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,240213,4,1,4,0.000436,0.55,0.874,0.0000102,0.206,-4.046,0.0321,0.318,121.61,spotify:track:3skn2lauGk7Dx6bVIt5DVj
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,125267,6,1,4,0.38,0.654,0.908,0,0.0665,-3.375,0.0342,0.68,90.952,spotify:track:0Hl5gfxuTN16XQ2RpmGUNN
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,232867,11,1,4,0.00712,0.619,0.568,0,0.233,-4.02,0.026,0.425,100.002,spotify:track:2g381K6Sdvf4RYNsfdCLKh
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,221693,2,1,4,0.0913,0.569,0.841,0.000818,0.159,-6.655,0.0314,0.866,144.032,spotify:track:74YfH2NYgPiKT4azcVyibA
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,311107,2,1,4,0.000289,0.217,0.905,0.00011,0.222,-4.103,0.0752,0.236,96.95,spotify:track:5wQnmLuC1W7ATsArWACrgW
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,179813,0,1,4,0.000342,0.537,0.882,0.0000906,0.12,-2.306,0.0403,0.81,145.729,spotify:track:1pHP4JeQV9wDx87D6qH9hD
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,196893,5,1,4,0.00143,0.632,0.639,0,0.221,-5.938,0.0259,0.733,95.506,spotify:track:3NK28cXAkO5JIM7YOiCQAx
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,276693,0,1,4,0.0164,0.699,0.812,0.000763,0.105,-6.005,0.0377,0.662,138.185,spotify:track:4dyx5SzxPPaD8xQIid5Wjj
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,177800,11,1,4,0.0668,0.562,0.91,0,0.108,-3.884,0.0517,0.76,150.956,spotify:track:5mHzutY6iIWF5nkAuLAp4B
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,212440,7,1,4,0.0492,0.668,0.921,0.00517,0.0877,-3.727,0.0439,0.782,120,spotify:track:3lPr8ghNDBLc2uZovNyLs9
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,254466,5,1,4,0.164,0.652,0.809,0,0.175,-5.276,0.17,0.512,94.786,spotify:track:6nz35DNIzbtj5ztpDEcW1j
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,226680,5,1,4,0.52,0.923,0.518,0.000142,0.104,-6.008,0.0492,0.682,93.023,spotify:track:1J2WmkS1Z18AuDWZCgIC5K
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,239120,11,1,4,0.0167,0.379,0.664,0.000679,0.0915,-6.863,0.0307,0.301,115.272,spotify:track:3tFECpGckFpp0HpQje78gi
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,426680,0,1,5,0.0000516,0.506,0.877,0.776,0.0712,-5.73,0.032,0.302,114.589,spotify:track:65ShmiE5aLBdcIGr7tHX35
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,231920,9,1,4,0.0565,0.827,0.828,0,0.0471,-4.776,0.29,0.96,176.959,spotify:track:4cwKSCNNKmEohjYaumz6yW
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,187133,9,1,4,0.0223,0.521,0.855,0.00000554,0.0869,-3.348,0.0686,0.257,158.744,spotify:track:6tuiDRFaXOBqFLpeTBjAAn
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,175387,4,0,4,0.0975,0.512,0.909,0.0002,0.0943,-4.643,0.104,0.283,155.139,spotify:track:5fVTi3rIiLvsEVYp0cRvaI
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,186933,4,1,4,0.78,0.847,0.386,0,0.149,-8.909,0.0929,0.658,126.996,spotify:track:53CPBUZViJhspNT8nuAO9L
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,189227,11,1,4,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,0.968,120.522,spotify:track:46Y1VsEbWAQ7dIZe1gpnve
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,215267,9,1,4,0.0132,0.524,0.578,0.00921,0.108,-4.563,0.12,0.537,123.669,spotify:track:1ePtQy58lLwPS0iYXCsM2s
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,381947,7,1,4,0.000148,0.469,0.79,0.372,0.282,-6.889,0.0391,0.466,107.45,spotify:track:1lATXTBJDHwawvT1UfxWu3
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,202133,11,0,4,0.0341,0.348,0.875,0,0.117,-4.758,0.199,0.407,169.152,spotify:track:2zzLRQ78kKfPTx8FJQCdC2
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,227000,9,1,4,0.000679,0.472,0.902,0.124,0.0822,-3.607,0.0643,0.567,139.57,spotify:track:4shKoD4U0rsE6UDjyPEjyK
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,247413,7,1,3,0.000019,0.357,0.759,0.0135,0.108,-3.124,0.0326,0.327,182.165,spotify:track:6l0ClLPGAyepANEDR0Odj7
