playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,246240,10,1,4,0.228,0.523,0.689,0,0.109,-6.58,0.027,0.547,84.09,spotify:track:0PCGfA36HrVPmsBZJ57zOU
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,259853,6,0,4,0.235,0.532,0.407,0,0.117,-9.658,0.0233,0.23,83.207,spotify:track:4WUnM4KNZ0kjp0CUeoyOnS
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,288507,4,1,4,0.126,0.404,0.501,0,0.51,-10.607,0.0308,0.346,142.223,spotify:track:6yw8ti7gYNiyj6bDQRiDLz
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,280961,5,0,4,0.0197,0.612,0.934,0,0.12,-4.767,0.0417,0.391,129.941,spotify:track:0hiUOCWNdPefjaEAjcJ8Cq
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,191240,4,0,4,0.009,0.808,0.785,0.0765,0.0615,-6.898,0.0449,0.899,96.971,spotify:track:3Gxku40T2RGPqtLYpFAngP
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,286560,8,1,4,0.393,0.534,0.512,0.000442,0.252,-8.933,0.03,0.22,140.068,spotify:track:4XirXgiFAD1vak1gbNURfI
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,236760,2,1,3,0.103,0.559,0.49,0,0.099,-8.06,0.0247,0.202,142.447,spotify:track:7dfl9X38RhIvB3oSmmneq3
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,272307,9,1,4,0.615,0.581,0.436,0.00000329,0.105,-6.713,0.028,0.107,66.989,spotify:track:3c9dGbSYmZLIui9H02Aot9
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,265694,2,1,3,0.015,0.321,0.634,0.0000209,0.105,-5.999,0.0362,0.314,152.434,spotify:track:1GiZpoUewBi4QIOixG6lk6
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,283707,2,1,4,0.19,0.408,0.569,0,0.126,-6.237,0.029,0.146,74.835,spotify:track:035aFnfIrO25Hy4PRP6GC7
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,278627,8,1,4,0.0843,0.811,0.725,0.0059,0.0567,-7.203,0.0491,0.698,120.242,spotify:track:0dfQwyoZoS9LgQiU6AJO7f
