playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,209440,2,1,4,0.0687,0.676,0.581,0.000904,0.152,-9.289,0.0373,0.827,126.298,spotify:track:6GDsiYn5LvddnJjkJ2H0p5
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,225187,0,1,4,0.01,0.503,0.803,0.0648,0.292,-9.701,0.0485,0.941,179.007,spotify:track:30cHDhxUqgnHq78hv5UjMx
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,163373,0,1,4,0.713,0.599,0.761,0.00000474,0.349,-6.887,0.0421,0.712,77.015,spotify:track:6xdLJrVj4vIXwhuG8TMopk
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,230867,0,1,4,0.0282,0.71,0.436,0.00298,0.583,-12.532,0.0299,0.727,104.136,spotify:track:09BINxFxiDeywjfC39nRFi
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,185960,9,1,4,0.368,0.751,0.703,0.00123,0.196,-5.687,0.0287,0.907,97.931,spotify:track:2hvOsGJc6qll4WzW8Ljqc3
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,218000,9,0,4,0.118,0.777,0.629,0,0.74,-10.33,0.111,0.617,133.4,spotify:track:6Zt8AY95aCa2ZfF2omg3jY
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,344222,0,1,4,0.000736,0.816,0.521,0.0664,0.0881,-12.329,0.0395,0.761,126.096,spotify:track:3L0mVxjD0YZ2a47CJpz9sI
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,222667,10,1,4,0.0775,0.707,0.436,0.0000365,0.283,-15.632,0.0246,0.677,96.287,spotify:track:4IPIBUz5SU0xVbgVetqPVo
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,245413,0,1,4,0.000928,0.907,0.564,0.65,0.108,-9.29,0.0568,0.229,122.632,spotify:track:0B5kY9i9bmP7554oU4jRoO
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,230440,6,1,4,0.00805,0.445,0.75,0,0.0358,-7.159,0.035,0.466,95.957,spotify:track:4zoZQvmST8gliv9S9L8lUw
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,223373,4,0,4,0.677,0.67,0.773,0.00192,0.309,-10.953,0.0377,0.827,120.465,spotify:track:3E3K8IXR3o7XOBvaGE2e55
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,351347,11,1,4,0.0672,0.884,0.928,0.0152,0.054,-4.569,0.0877,0.914,119.354,spotify:track:6AZZzlQD1FThgAcWIgu3g1
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,175267,9,1,4,0.282,0.514,0.942,0.000066,0.17,-8.433,0.0502,0.912,159.847,spotify:track:4ebcE2SmkG7nplvzFAWRu7
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,229040,6,1,4,0.588,0.254,0.238,0.0535,0.0772,-14.821,0.0303,0.0809,84.126,spotify:track:0TwxA1UTqCXyihWqu6PMWh
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,217427,5,0,4,0.0979,0.867,0.909,0.0127,0.0434,-6.276,0.0581,0.863,108.02,spotify:track:6NJNZEjyCD2YWFPsBzIHnM
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,269973,5,0,4,0.103,0.752,0.84,0.0000815,0.193,-7.577,0.0359,0.888,131.764,spotify:track:31wVu1EYhWOFCECXTqLWQ4
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,,,,,,,,,,,,,,
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,181187,4,1,4,0.0295,0.862,0.9,0,0.264,-6.142,0.0307,0.966,128.319,spotify:track:3ifsZU4VVq3dP7tBeAAxq4
