playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2lutut73NrLGdbaxUPs4l4,230533,11,1,4,0.155,0.794,0.55,0.000271,0.113,-12.988,0.0367,0.744,127.736,spotify:track:1it9umP1j9qSqzKbSLLqqy
spotify:playlist:2lutut73NrLGdbaxUPs4l4,248000,4,1,4,0.407,0.754,0.763,0,0.318,-6.318,0.0473,0.932,122.047,spotify:track:5UU5FbITNm5OunvHQdsKME
spotify:playlist:2lutut73NrLGdbaxUPs4l4,225987,9,0,4,0.162,0.63,0.84,0.00000706,0.0887,-4.707,0.0383,0.537,104.882,spotify:track:0z3WXu8NBUDOOLlLqFU6qT
spotify:playlist:2lutut73NrLGdbaxUPs4l4,229165,9,1,4,0.0883,0.722,0.961,0.61,0.278,-4.812,0.0514,0.91,126.113,spotify:track:4XX1pFUkQOZTYp6Hb6a6Ae
spotify:playlist:2lutut73NrLGdbaxUPs4l4,235760,0,1,4,0.169,0.733,0.731,0.00103,0.0419,-12.495,0.0376,0.982,123.515,spotify:track:6gpi2XrYL2CGOZKkdTB7vu
spotify:playlist:2lutut73NrLGdbaxUPs4l4,255733,6,1,4,0.0613,0.497,0.719,0,0.411,-9.397,0.0266,0.547,95.769,spotify:track:15MJ5NThPjj6xhPcts8MiY
spotify:playlist:2lutut73NrLGdbaxUPs4l4,257000,1,0,4,0.36,0.803,0.619,0,0.456,-9.181,0.316,0.626,124.875,spotify:track:4YSB6XYTw4YFchE0Q6DhJb
spotify:playlist:2lutut73NrLGdbaxUPs4l4,281800,10,1,4,0.417,0.653,0.884,0,0.318,-10.224,0.0444,0.762,104.647,spotify:track:4umQbcdBF3YVsNBvvnFLiX
spotify:playlist:2lutut73NrLGdbaxUPs4l4,269573,5,0,4,0.553,0.796,0.908,0,0.04,-3.523,0.0326,0.962,121.976,spotify:track:4iGDqqnnxbMgI6Xz3RUSiI
spotify:playlist:2lutut73NrLGdbaxUPs4l4,235827,2,1,4,0.372,0.62,0.813,0.00626,0.0306,-6.118,0.0312,0.974,111.076,spotify:track:1xBZEEpCBic1hVpRiIEL5Q
spotify:playlist:2lutut73NrLGdbaxUPs4l4,296080,5,1,4,0.052,0.661,0.908,0,0.0708,-4.897,0.039,0.656,144.091,spotify:track:6OnfBiiSc9RGKiBKKtZXgQ
spotify:playlist:2lutut73NrLGdbaxUPs4l4,255933,0,0,4,0.509,0.68,0.242,0.0000434,0.071,-16.264,0.0322,0.169,120.126,spotify:track:1OzrlK57iLTIjmbZC1ppWM
spotify:playlist:2lutut73NrLGdbaxUPs4l4,269573,4,0,4,0.0873,0.704,0.544,0.0000166,0.041,-11.402,0.026,0.628,120.717,spotify:track:2cFl7utlqyZjCXN1G5nRvA
spotify:playlist:2lutut73NrLGdbaxUPs4l4,300733,10,1,4,0.393,0.502,0.66,0.000138,0.608,-11.852,0.0394,0.722,85.209,spotify:track:721DwsHOeKf7zHRABCR2rh
spotify:playlist:2lutut73NrLGdbaxUPs4l4,270720,0,1,4,0.12,0.698,0.774,0.00000226,0.394,-8.642,0.048,0.731,133.197,spotify:track:0snPJPxkk0MbTc0xeUvAPt
spotify:playlist:2lutut73NrLGdbaxUPs4l4,186333,2,1,4,0.372,0.682,0.616,0.00000681,0.164,-10.38,0.0293,0.83,121.63,spotify:track:084PXFhuurZHjsjgdwQci6
spotify:playlist:2lutut73NrLGdbaxUPs4l4,271067,3,1,4,0.135,0.64,0.926,0.00000204,0.134,-5.597,0.0322,0.901,131.997,spotify:track:0ire4j2mcGovF5JA1D2cTp
spotify:playlist:2lutut73NrLGdbaxUPs4l4,248747,2,1,4,0.0589,0.738,0.662,0.0000454,0.306,-8.371,0.0268,0.88,110.304,spotify:track:6J212smZzpeOCYQ9DITMSC
spotify:playlist:2lutut73NrLGdbaxUPs4l4,227600,0,1,4,0.701,0.397,0.207,0.0000307,0.116,-13.155,0.0331,0.268,171.282,spotify:track:2A6yzRGMgSQCUapR2ptm6A
spotify:playlist:2lutut73NrLGdbaxUPs4l4,219733,0,1,4,0.00611,0.695,0.836,0,0.167,-12.965,0.0395,0.629,139.825,spotify:track:3tt7RFFroussjjtoksGJpE
spotify:playlist:2lutut73NrLGdbaxUPs4l4,280000,5,1,4,0.182,0.776,0.763,0.0065,0.077,-8.124,0.0535,0.82,128.433,spotify:track:0qxYx4F3vm1AOnfux6dDxP
spotify:playlist:2lutut73NrLGdbaxUPs4l4,275533,6,1,4,0.201,0.832,0.544,0.000139,0.632,-12.697,0.0442,0.928,119.49,spotify:track:5tdKaKLnC4SgtDZ6RlWeal
spotify:playlist:2lutut73NrLGdbaxUPs4l4,164747,2,1,4,0.0939,0.57,0.885,0,0.0543,-5.28,0.0425,0.86,92.686,spotify:track:5ubGU3hUhPrWxFM6DCqAk3
spotify:playlist:2lutut73NrLGdbaxUPs4l4,256173,10,1,4,0.332,0.548,0.294,0.00000334,0.0392,-17.112,0.0333,0.491,76.698,spotify:track:1GeNWyZtCHbcp3ZWp8GTOO
spotify:playlist:2lutut73NrLGdbaxUPs4l4,226240,7,1,4,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,0.742,111.485,spotify:track:5ac5HSB4ounbHPaIOm5wlx
spotify:playlist:2lutut73NrLGdbaxUPs4l4,241987,4,0,4,0.0331,0.627,0.905,0.0199,0.255,-9.921,0.037,0.644,113.247,spotify:track:5Dqik1P9toCJTLj5rEm78s
spotify:playlist:2lutut73NrLGdbaxUPs4l4,291400,9,1,4,0.484,0.502,0.305,0.00000355,0.117,-16.011,0.0339,0.248,131.242,spotify:track:6yJxCltgtmGxIgKOS6ndnu
spotify:playlist:2lutut73NrLGdbaxUPs4l4,208106,11,0,4,0.0192,0.619,0.546,0,0.0676,-10.206,0.042,0.479,120.675,spotify:track:097Tr8QiDLiTQlEoLI96AP
spotify:playlist:2lutut73NrLGdbaxUPs4l4,366212,0,1,4,0.0133,0.753,0.629,0.597,0.0665,-12.911,0.0401,0.761,142.562,spotify:track:2aRWEL6Wi8FMnAIuDVmgaT
spotify:playlist:2lutut73NrLGdbaxUPs4l4,311027,7,1,4,0.0282,0.637,0.759,0.000386,0.0621,-11.004,0.0295,0.686,136.223,spotify:track:7nfGP5B3Pc508kEb6zL6r9
spotify:playlist:2lutut73NrLGdbaxUPs4l4,208067,0,1,4,0.218,0.677,0.877,0.00394,0.12,-5.327,0.0288,0.868,131.042,spotify:track:0MBMYkcJKLE82U5mwRolXk
spotify:playlist:2lutut73NrLGdbaxUPs4l4,243093,2,1,4,0.296,0.757,0.837,0,0.0567,-6.943,0.0508,0.592,132.152,spotify:track:2gG7E5OZi5D5QLRIctv63z
spotify:playlist:2lutut73NrLGdbaxUPs4l4,227693,0,1,4,0.0606,0.531,0.626,0,0.0767,-13.371,0.0452,0.746,88.236,spotify:track:0TaT50ZZxT4ytZxuqkE3A9
spotify:playlist:2lutut73NrLGdbaxUPs4l4,313533,1,1,4,0.0246,0.657,0.685,0,0.037,-5.203,0.0334,0.424,96.458,spotify:track:029NqmIySn1kOY305AAhxT
spotify:playlist:2lutut73NrLGdbaxUPs4l4,241067,8,1,4,0.355,0.636,0.405,0,0.0804,-11.113,0.0287,0.257,128.068,spotify:track:17CPezzLWzvGfpZW6X8XT0
spotify:playlist:2lutut73NrLGdbaxUPs4l4,207147,0,1,4,0.000286,0.514,0.825,0.293,0.607,-5.135,0.0487,0.655,125.274,spotify:track:6rvldt6EoZwzogApECUCwd
spotify:playlist:2lutut73NrLGdbaxUPs4l4,249827,0,1,4,0.0967,0.612,0.876,0.0000441,0.0764,-7.836,0.0339,0.971,135.106,spotify:track:0iVXKGnD23wIulXZRit20N
spotify:playlist:2lutut73NrLGdbaxUPs4l4,269627,9,1,4,0.00149,0.444,0.844,0.0000164,0.087,-3.62,0.0528,0.414,155.517,spotify:track:6CALVb0iSu5qSTF5o8oAUH
spotify:playlist:2lutut73NrLGdbaxUPs4l4,231040,9,1,4,0.00565,0.56,0.951,0.339,0.266,-1.943,0.0373,0.905,124.744,spotify:track:39euZrawlOSqU1TjXFB0Yl
spotify:playlist:2lutut73NrLGdbaxUPs4l4,337667,2,1,4,0.0712,0.563,0.77,0.125,0.205,-8.672,0.0388,0.43,114.229,spotify:track:1F6WOrW9vtrE5v1XWl08k4
spotify:playlist:2lutut73NrLGdbaxUPs4l4,304827,11,0,4,0.0357,0.545,0.837,0.00243,0.106,-9.439,0.0434,0.78,128.357,spotify:track:0BM6rhBpR40W0KUm2f2R1o
spotify:playlist:2lutut73NrLGdbaxUPs4l4,432413,7,0,4,0.0146,0.63,0.943,0.000734,0.299,-8.13,0.0558,0.398,115.272,spotify:track:5fIooQsVIVja8kP3ojyAV7
spotify:playlist:2lutut73NrLGdbaxUPs4l4,236773,2,0,4,0.00322,0.558,0.771,0.000562,0.109,-11.228,0.0368,0.382,129.493,spotify:track:4Hp94NbceTlIZhhA5yb2bh
spotify:playlist:2lutut73NrLGdbaxUPs4l4,345840,1,0,4,0.115,0.286,0.473,0.0000423,0.071,-15.646,0.0388,0.449,99.233,spotify:track:63nVsCAdxu9OdeRhe58wiE
spotify:playlist:2lutut73NrLGdbaxUPs4l4,258227,11,1,4,0.261,0.799,0.773,0.00000258,0.044,-10.035,0.0393,0.896,118.045,spotify:track:7azOuDeJGbxt5mvq3GQHXp
spotify:playlist:2lutut73NrLGdbaxUPs4l4,216560,9,1,4,0.0134,0.426,0.578,0.0000908,0.072,-11.514,0.0379,0.45,71.706,spotify:track:1SWfuzL0VJx1oYnEtqueSr
spotify:playlist:2lutut73NrLGdbaxUPs4l4,292960,8,1,4,0.578,0.583,0.555,0.0000181,0.0847,-6.221,0.0308,0.25,138.831,spotify:track:343GM1JPkRBORZBwouYcfC
spotify:playlist:2lutut73NrLGdbaxUPs4l4,259800,7,1,4,0.146,0.636,0.915,0.00776,0.111,-10.479,0.0376,0.495,125.214,spotify:track:5L3nuHRms2cQTTmhu16hMU
spotify:playlist:2lutut73NrLGdbaxUPs4l4,205200,2,1,4,0.101,0.741,0.943,0.0591,0.18,-3.682,0.0692,0.746,121.755,spotify:track:0VXwAq5OzBM0XLUaeQaA6x
spotify:playlist:2lutut73NrLGdbaxUPs4l4,174360,9,1,4,0.00943,0.432,0.958,0.00000279,0.227,-4.009,0.0819,0.874,164.018,spotify:track:0lqfBvf1Gqmmt3l5Qeirlm
spotify:playlist:2lutut73NrLGdbaxUPs4l4,255280,5,1,4,0.087,0.422,0.969,0,0.395,-3.503,0.0868,0.504,139.368,spotify:track:7tyaqZ3nrLTmuSN5Jv3xRU
spotify:playlist:2lutut73NrLGdbaxUPs4l4,278413,0,0,5,0.58,0.217,0.332,0,0.293,-10.828,0.0355,0.287,79.508,spotify:track:26s8sQxKB06vWTk9DsXgFJ
spotify:playlist:2lutut73NrLGdbaxUPs4l4,238267,0,0,4,0.458,0.437,0.282,0,0.18,-17.567,0.035,0.198,115.517,spotify:track:0MBYW7CcBJmsY3HTP05VQg
spotify:playlist:2lutut73NrLGdbaxUPs4l4,215093,6,0,4,0.387,0.746,0.916,0.00000221,0.081,-8.153,0.0441,0.633,104.076,spotify:track:1SlaWDU54ToxvNsMeG5fsL
spotify:playlist:2lutut73NrLGdbaxUPs4l4,290933,11,1,4,0.0707,0.595,0.919,0.0000714,0.212,-6.154,0.038,0.74,92.703,spotify:track:4aqCPPCnEQCuI4bC18wm1W
spotify:playlist:2lutut73NrLGdbaxUPs4l4,219453,11,1,4,0.162,0.653,0.695,0.121,0.345,-6.426,0.065,0.962,184.91,spotify:track:02C9AbaB70qN31mPlwcNNK
spotify:playlist:2lutut73NrLGdbaxUPs4l4,270800,9,0,4,0.117,0.493,0.665,0,0.159,-13.817,0.0424,0.877,152.644,spotify:track:5AhRNIjYPBleR1lfHphcrE
spotify:playlist:2lutut73NrLGdbaxUPs4l4,237867,8,0,4,0.842,0.422,0.252,0.0069,0.106,-13.011,0.0272,0.19,100.57,spotify:track:7njBQO43OYrfIqwXO6Gcyv
spotify:playlist:2lutut73NrLGdbaxUPs4l4,353000,2,0,4,0.411,0.673,0.314,0.0334,0.107,-14.156,0.0279,0.27,109.841,spotify:track:095MMFhB9qxPx2VsmvjnUs
spotify:playlist:2lutut73NrLGdbaxUPs4l4,290200,7,1,4,0.777,0.417,0.404,0,0.148,-9.647,0.037,0.225,79.552,spotify:track:0doRswWDa0YS3icVjoXApL
spotify:playlist:2lutut73NrLGdbaxUPs4l4,283533,11,1,4,0.00464,0.819,0.699,0.00834,0.267,-4.024,0.0578,0.793,114.471,spotify:track:1xTMFa9PcM3rtY70CScC3J
spotify:playlist:2lutut73NrLGdbaxUPs4l4,215133,3,0,4,0.241,0.544,0.897,0,0.13,-6.056,0.0471,0.647,157.17,spotify:track:34x6hEJgGAOQvmlMql5Ige
spotify:playlist:2lutut73NrLGdbaxUPs4l4,252000,9,1,4,0.247,0.765,0.472,0.00000588,0.0645,-7.249,0.0292,0.891,95.132,spotify:track:57JH0ywnsQVWMB7iUSA0gM
spotify:playlist:2lutut73NrLGdbaxUPs4l4,258120,5,1,4,0.0778,0.518,0.585,0.00000243,0.31,-8.485,0.0279,0.312,144.998,spotify:track:1eyq8cjUQ2daFthW2PC2GM
spotify:playlist:2lutut73NrLGdbaxUPs4l4,228000,10,1,4,0.00921,0.657,0.917,0.832,0.201,-6.586,0.0321,0.879,119.899,spotify:track:1MeMfXuGPbO4qWVFZ1MeAV
spotify:playlist:2lutut73NrLGdbaxUPs4l4,218827,7,0,4,0.166,0.785,0.844,0.002,0.0681,-4.63,0.0574,0.94,103.968,spotify:track:647q0KZHceDZTyLExHU0ue
spotify:playlist:2lutut73NrLGdbaxUPs4l4,292800,10,1,4,0.352,0.642,0.805,0.00000102,0.118,-5.675,0.0336,0.365,100.273,spotify:track:0HzjKCZmFhwcO2vnnHpj9q
spotify:playlist:2lutut73NrLGdbaxUPs4l4,252227,5,1,4,0.055,0.696,0.89,0.0596,0.5,-6.819,0.0441,0.922,98.742,spotify:track:17Ng10tIgnYmAitl0SgT3R
spotify:playlist:2lutut73NrLGdbaxUPs4l4,202236,4,0,4,0.296,0.61,0.817,0.00336,0.0884,-9.45,0.133,0.889,176.737,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU
spotify:playlist:2lutut73NrLGdbaxUPs4l4,268547,0,1,4,0.088,0.635,0.684,0.156,0.0755,-11.687,0.0329,0.892,120.269,spotify:track:05oFyvdztPdpwSwpoclD4c
spotify:playlist:2lutut73NrLGdbaxUPs4l4,354320,0,0,4,0.0411,0.701,0.896,0.0598,0.0473,-11.783,0.047,0.45,102.389,spotify:track:2PFOLIT19EDg8J5GSVeVjT
spotify:playlist:2lutut73NrLGdbaxUPs4l4,237533,5,0,4,0.0833,0.852,0.523,0,0.106,-6.716,0.032,0.65,130.154,spotify:track:2dURQIBrw3XcHyVZlfdpC1
spotify:playlist:2lutut73NrLGdbaxUPs4l4,250902,11,0,4,0.0327,0.655,0.949,0.723,0.161,-5.588,0.0654,0.619,120.009,spotify:track:5juT8DyDF6RwjxG2FkC4Sl
spotify:playlist:2lutut73NrLGdbaxUPs4l4,,,,,,,,,,,,,,
spotify:playlist:2lutut73NrLGdbaxUPs4l4,187613,3,1,4,0.0559,0.603,0.873,0.0314,0.0576,-7.024,0.0308,0.75,121.274,spotify:track:4zzyq31qRQoCO7yjVYialb
spotify:playlist:2lutut73NrLGdbaxUPs4l4,257107,1,1,4,0.0275,0.656,0.584,0.000106,0.0398,-14.135,0.0267,0.837,140.991,spotify:track:0KQbn6gKpKdLlugDfxaF7r
spotify:playlist:2lutut73NrLGdbaxUPs4l4,239373,7,1,4,0.0621,0.396,0.927,0.000271,0.211,-6.673,0.0915,0.648,129.251,spotify:track:2Ywft2Thbf7mPyoD2ntadi
spotify:playlist:2lutut73NrLGdbaxUPs4l4,309733,11,1,4,0.153,0.271,0.683,0.0000903,0.155,-7.938,0.0371,0.346,141.324,spotify:track:160DCzSPmtXFfZvQhfuXqf
spotify:playlist:2lutut73NrLGdbaxUPs4l4,232387,5,1,4,0.234,0.562,0.767,0.00817,0.0828,-8.025,0.0474,0.526,184.363,spotify:track:4nBzre6D0UrQFj1s8z45e1
spotify:playlist:2lutut73NrLGdbaxUPs4l4,265000,0,1,4,0.0807,0.431,0.504,0,0.117,-15.302,0.0356,0.665,89.755,spotify:track:3g9hHxBIOcv1WawCqlp57V
spotify:playlist:2lutut73NrLGdbaxUPs4l4,261733,5,1,4,0.151,0.666,0.692,0.00000644,0.34,-11.583,0.0379,0.89,132.253,spotify:track:1bmj3ov2PP4xPUm0LCUts2
spotify:playlist:2lutut73NrLGdbaxUPs4l4,310960,6,0,4,0.00841,0.767,0.651,0.0000386,0.0609,-10.186,0.0501,0.946,105.592,spotify:track:4lRdpZYTwaPpuKpquO6bo3
spotify:playlist:2lutut73NrLGdbaxUPs4l4,237240,2,1,4,0.0907,0.509,0.798,0.00000369,0.167,-3.17,0.0401,0.557,112.749,spotify:track:3z87q6jHxY29bUeWeNvBn3
spotify:playlist:2lutut73NrLGdbaxUPs4l4,228387,5,1,4,0.128,0.608,0.876,0.0000971,0.0995,-8.648,0.0348,0.858,97.743,spotify:track:1xH8jl1Lnjqo7Sjzvaf1yL
spotify:playlist:2lutut73NrLGdbaxUPs4l4,224840,3,0,4,0.502,0.607,0.449,0.0000174,0.136,-9.479,0.0315,0.18,130.852,spotify:track:6Nx2pkkE7V7U0SCdP4UIRj
spotify:playlist:2lutut73NrLGdbaxUPs4l4,323533,8,1,4,0.252,0.407,0.831,0.0000261,0.101,-2.417,0.0328,0.626,81.465,spotify:track:1ezKo3T8GMhfj16KKAKzEp
spotify:playlist:2lutut73NrLGdbaxUPs4l4,268148,11,0,4,0.127,0.687,0.864,0.000695,0.0522,-4.248,0.0372,0.96,121.098,spotify:track:0w0lOPrvf8TostErsDuZOq
spotify:playlist:2lutut73NrLGdbaxUPs4l4,289173,5,1,4,0.31,0.615,0.455,0.0000471,0.415,-11.05,0.0262,0.483,92.163,spotify:track:7KsXSnQc8qdeBSOnTM5Vvn
spotify:playlist:2lutut73NrLGdbaxUPs4l4,269840,9,0,4,0.58,0.707,0.514,0.000159,0.0953,-8.885,0.0281,0.524,86.035,spotify:track:1yg7fwwYmx9DQ2TdXUmfpJ
spotify:playlist:2lutut73NrLGdbaxUPs4l4,219413,9,1,4,0.0059,0.697,0.846,0.0256,0.0967,-5.471,0.03,0.973,126.467,spotify:track:5nNZTUzinBDsnj3U76NJFC
spotify:playlist:2lutut73NrLGdbaxUPs4l4,204507,1,1,4,0.109,0.744,0.879,0.00000484,0.493,-7.218,0.0746,0.626,129.368,spotify:track:5MiAc6P5dKDGV5tf4PeoTA
spotify:playlist:2lutut73NrLGdbaxUPs4l4,220680,9,1,4,0.0154,0.659,0.862,0,0.389,-5.424,0.0302,0.957,137.393,spotify:track:4u6rcmlhDDgS0YAo8ZMI4a
spotify:playlist:2lutut73NrLGdbaxUPs4l4,293493,9,1,4,0.0583,0.659,0.775,0.0000311,0.23,-6.167,0.0331,0.871,128.049,spotify:track:436tBdc5EJq1Ur72r8LhDl
spotify:playlist:2lutut73NrLGdbaxUPs4l4,280400,11,0,4,0.0158,0.625,0.726,0.000169,0.0625,-11.402,0.0444,0.507,124.945,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm
spotify:playlist:2lutut73NrLGdbaxUPs4l4,280600,0,1,4,0.3,0.657,0.527,0.234,0.0669,-12.107,0.029,0.926,106.028,spotify:track:5TknpiAJsKOhUM4HM3tFDX
spotify:playlist:2lutut73NrLGdbaxUPs4l4,210826,8,1,4,0.462,0.569,0.392,0.793,0.11,-14.258,0.0347,0.299,125.213,spotify:track:4LoBPiqiPBzKqSahyxyAul
spotify:playlist:2lutut73NrLGdbaxUPs4l4,249960,4,1,4,0.405,0.462,0.918,0.00033,0.126,-8.507,0.0959,0.802,172.427,spotify:track:3Ud6fFep5ZlXzRWw6Sm8no
spotify:playlist:2lutut73NrLGdbaxUPs4l4,202253,2,1,4,0.00403,0.557,0.825,0.0000187,0.335,-4.345,0.029,0.785,133.814,spotify:track:4WbZxzzmWlFkqwBFVNNGKf
spotify:playlist:2lutut73NrLGdbaxUPs4l4,302827,0,1,4,0.119,0.606,0.794,0.00000716,0.125,-7.168,0.0291,0.584,105.813,spotify:track:15mZo1Kah03g8CTLbSsWrr
spotify:playlist:2lutut73NrLGdbaxUPs4l4,226560,2,1,4,0.766,0.39,0.313,0,0.138,-9.928,0.0312,0.157,80.521,spotify:track:19u5G7pWq3Nj6lQiP4W4Hp
