playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,195867,3,1,4,0.536,0.66,0.959,0.316,0.101,-6.786,0.0324,0.961,131.61,spotify:track:59RiBJyBigEVyTXZKhtmJV
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,174200,0,1,4,0.068,0.372,0.76,0.000919,0.225,-12.408,0.0495,0.878,156.413,spotify:track:1LeDn7zwuFLzqbqNiZ53an
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,195253,6,1,4,0.205,0.715,0.938,0,0.0574,-3.01,0.0402,0.964,124.128,spotify:track:5jQI0mj9xWX6m8TymhzWll
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,277267,0,1,4,0.198,0.799,0.819,0,0.37,-4.363,0.0382,0.971,122.153,spotify:track:2DLkQzNRBgaAbCX4MscyTC
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,202640,0,1,4,0.00377,0.697,0.971,0.0000279,0.138,-5.093,0.0428,0.89,122.274,spotify:track:1q8yOvrVNiZtMuEujDuSPP
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,255220,7,0,4,0.0806,0.686,0.682,0.000155,0.14,-12.154,0.033,0.708,123.44,spotify:track:1wEeNtO7z41aUqC80shxqK
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,204933,11,1,4,0.00785,0.717,0.84,0.00000594,0.296,-12.781,0.104,0.788,103.043,spotify:track:5ZEKq8JRtVVXZXEZ9eI9Wf
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,263680,10,1,4,0.0608,0.688,0.909,0.00000197,0.1,-4.756,0.0354,0.641,109.673,spotify:track:5aWvinQcbc1W1WdP0GQ6J1
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,416427,9,1,4,0.00317,0.77,0.831,0.0675,0.0857,-7.68,0.0458,0.94,129.534,spotify:track:6QypjtLLKmIyLZqnOli07s
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,310333,6,0,4,0.0628,0.536,0.844,0.00084,0.0608,-6.918,0.058,0.185,117.652,spotify:track:3MrRksHupTVEQ7YbA0FsZK
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,291293,1,1,4,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,0.867,118.818,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj
