playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,263373,10,1,4,0.241,0.749,0.925,0,0.52,-5.034,0.227,0.641,86.989,spotify:track:15JINEqzVMv3SvJTAXAKED
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,269493,4,0,4,0.198,0.781,0.745,0.0000114,0.36,-5.81,0.0332,0.326,129.998,spotify:track:1bM50INir8voAkVoKuvEUI
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,202627,4,1,4,0.00462,0.755,0.792,0,0.0307,-3.697,0.0817,0.868,119.982,spotify:track:4lYKuF88iTBrppJoq03ujE
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,216773,1,0,4,0.185,0.673,0.886,0,0.0826,-4.44,0.0431,0.795,97.012,spotify:track:4HlFJV71xXKIGcU3kRyttv
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,234653,0,1,4,0.00429,0.787,0.756,0,0.159,-3.718,0.0565,0.419,125.002,spotify:track:7DjQUa8BrQevCPtQc0YwmL
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,228347,3,1,4,0.0275,0.512,0.662,0,0.118,-6.797,0.0439,0.472,180.114,spotify:track:3DamFFqW32WihKkTVlwTYQ
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,235493,11,0,4,0.129,0.789,0.716,0.0000107,0.069,-4.241,0.0432,0.611,125.906,spotify:track:0AH6WMe3OlAlUb5miXt2FQ
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,220733,5,1,4,0.0151,0.637,0.843,0,0.0876,-5.413,0.0432,0.434,109.012,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,227741,10,1,4,0.0132,0.719,0.804,0.00000302,0.139,-4.581,0.0355,0.605,119.998,spotify:track:48qJ5q8BOdOrYQywfyoK50
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,220800,7,0,4,0.0338,0.663,0.861,0,0.082,-3.398,0.109,0.654,119.963,spotify:track:4356Typ82hUiFAynbLYbPn
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,180480,6,0,4,0.11,0.66,0.867,0,0.0368,-4.285,0.116,0.377,93.033,spotify:track:6lV2MSQmRIkycDScNtrBXO
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,199693,2,0,4,0.0991,0.755,0.837,0,0.289,-2.718,0.142,0.714,120.028,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,199027,0,0,4,0.0266,0.762,0.748,0,0.348,-4.15,0.033,0.851,110.009,spotify:track:6St9lR6dhV2tpCNVz7qfrS
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,231373,10,0,4,0.021,0.648,0.942,0,0.0594,-2.881,0.0878,0.73,129.007,spotify:track:7HacCTm33hZYYN8DXpCYuG
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,182307,9,1,4,0.173,0.706,0.751,0,0.168,-6.323,0.0708,0.195,91.031,spotify:track:4E5P1XyAFtrjpiIxkydly4
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,237800,1,1,4,0.0421,0.531,0.752,0,0.12,-6.161,0.0305,0.103,89.917,spotify:track:3ZdJffjzJWFimSQyxgGIxN
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,203280,7,1,4,0.00542,0.699,0.718,0,0.0322,-4.956,0.0927,0.616,122.053,spotify:track:3M75hklvMpAwlJK0KezDKU
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,234560,0,1,4,0.0283,0.616,0.869,0,0.064,-3.911,0.0327,0.473,127.966,spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,277400,11,1,4,0.0294,0.495,0.933,0,0.503,-3.977,0.395,0.815,173.414,spotify:track:69yVxyuRahEzs2taFMVVoO
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,220640,3,1,4,0.00521,0.824,0.836,0.000817,0.112,-5.903,0.0404,0.716,122.014,spotify:track:2WiWxzOSvBrVRZMbcn8ye1
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,213293,7,0,4,0.179,0.768,0.82,0,0.704,-4.63,0.0475,0.625,129.969,spotify:track:2V4bv1fNWfTcyRJKmej6Sj
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,248133,0,0,5,0.529,0.855,0.954,0,0.205,-1.19,0.264,0.668,114.635,spotify:track:7Ie9W94M7OjPoZVV216Xus
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,223694,0,1,4,0.193,0.693,0.879,0,0.124,-3.988,0.0578,0.753,127.457,spotify:track:3ydfhgIZIc2j39NLIhpJpq
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,227880,8,1,4,0.139,0.638,0.826,0,0.0803,-4.968,0.0479,0.649,124.072,spotify:track:4FLRw7sFTaKX66TKAHDstv
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,204760,8,1,4,0.00987,0.736,0.817,0.00167,0.117,-4.9,0.0407,0.653,119.95,spotify:track:3LUWWox8YYykohBbHUrrxd
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,294573,0,1,4,0.00314,0.696,0.921,0.0000524,0.0842,-3.755,0.0363,0.714,119.001,spotify:track:1CZOrmHUUjeDP7N2B4Ba6S
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,216893,3,1,4,0.00676,0.435,0.837,0,0.117,-8.126,0.449,0.778,124.913,spotify:track:5AyL2kgLtTWEu3qO3B9SqK
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,307640,6,0,4,0.0662,0.816,0.813,0.00000277,0.602,-7.798,0.0664,0.436,127.979,spotify:track:0iQHjEwLtwyGA9kL1H6SeN
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,210853,8,1,4,0.00147,0.546,0.916,0.000004,0.251,-3.931,0.255,0.38,129.986,spotify:track:5xYC48nOppVemY6U5GRGTb
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,211160,6,0,4,0.297,0.633,0.673,0,0.206,-6.403,0.258,0.659,86.776,spotify:track:2qPUnoasNe4Ep43emVXEig
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,185187,8,1,4,0.0023,0.672,0.889,0,0.241,-4.74,0.029,0.678,122.035,spotify:track:4Oqg0RD3ywUXEtt7seShF0
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,223253,2,0,4,0.146,0.706,0.558,0,0.118,-7.237,0.0593,0.227,110.443,spotify:track:2tJulUYLDKOg9XrtVkMgcJ
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,222920,11,1,4,0.113,0.563,0.75,0,0.0788,-4.496,0.127,0.812,173.906,spotify:track:60jzFy6Nn4M0iD1d94oteF
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,178560,3,0,4,0.0901,0.925,0.709,0.127,0.0953,-5.398,0.0601,0.649,125.01,spotify:track:7cj1QiKENfzE28KLX0Z1Zl
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,213973,5,0,4,0.0494,0.731,0.848,0,0.133,-5.263,0.0994,0.547,65.025,spotify:track:0VNDOpBbUYtSpCFY7HUA3D
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,228240,4,0,4,0.0113,0.648,0.908,0,0.374,-4.251,0.108,0.793,131.147,spotify:track:0H1OyEooZ5SzBYYdJEzxoy
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,142933,4,0,4,0.00399,0.94,0.836,0.00984,0.0984,-6.263,0.184,0.626,129.005,spotify:track:4t1mBrcg673UWwxTCMXTyH
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,215747,9,1,4,0.128,0.442,0.83,0,0.129,-4.02,0.146,0.578,89.338,spotify:track:6OEolOOk9Gh9bqkdpfIOl0
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,188000,10,0,4,0.178,0.616,0.913,0,0.0773,-5.077,0.0815,0.451,129.944,spotify:track:0V7QchMrfTCk3gf0iAtl2R
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,227320,11,0,4,0.00706,0.44,0.683,0,0.0593,-4.732,0.0489,0.445,185.948,spotify:track:2rDwdvBma1O1eLzo29p2cr
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,172053,10,1,4,0.0843,0.752,0.836,0.000425,0.424,-3.173,0.115,0.519,120.003,spotify:track:7lWUJpax919G4JdaFEVmCy
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,220440,0,1,4,0.0837,0.774,0.85,0,0.193,-4.436,0.0326,0.53,127.031,spotify:track:7mlGufYKRiJEO2dglocn6o
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,221253,11,1,4,0.0444,0.615,0.711,0,0.145,-5.507,0.0779,0.711,144.036,spotify:track:7xkQdy0cy5ymoWT7nedvLz
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,196133,8,0,4,0.0127,0.549,0.932,0,0.347,-4.11,0.343,0.787,82.439,spotify:track:5uHYcK0nbEYgRaFTY5BqnP
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,215200,5,0,4,0.0000414,0.729,0.675,0.00126,0.0867,-5.292,0.0286,0.74,125.036,spotify:track:0WCiI0ddWiu5F2kSHgfw5S
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,247000,5,1,4,0.0211,0.525,0.503,0.0000247,0.091,-7.974,0.0272,0.453,138.856,spotify:track:20uBdCmVtlUuYsvxysoito
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,218000,10,1,3,0.0447,0.611,0.595,0.00000848,0.344,-9.388,0.0266,0.275,102.998,spotify:track:1TZGMJxT3gPDkwZyfcc9ED
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,196867,0,1,3,0.0513,0.579,0.866,0,0.259,-6.345,0.0331,0.568,126.083,spotify:track:0ydftCuqBxNoFTx3BVtEc2
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,268320,10,1,4,0.386,0.688,0.853,0,0.0862,-5.814,0.0493,0.743,103.993,spotify:track:59dLtGBS26x7kc0rHbaPrq
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,274213,11,0,4,0.000397,0.623,0.793,0.0015,0.375,-6.63,0.0462,0.36,98.998,spotify:track:3t4i2ZrrPcIZLgK7VNqD36
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,187133,1,1,4,0.00681,0.826,0.612,0,0.0889,-3.891,0.0982,0.756,120.057,spotify:track:6vc2Jq2vaGu8z326kSrw92
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,256227,10,1,4,0.0228,0.567,0.888,0,0.279,-3.201,0.0993,0.41,129.962,spotify:track:6GREIx79VAYuT0DYDGTIJh
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,289133,0,1,4,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,0.61,127.96,spotify:track:1JEsBoCgrdy4Xmu2E6aSj7
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,201627,4,1,4,0.203,0.541,0.812,0,0.42,-3.764,0.0336,0.607,141.056,spotify:track:4ZC8hXXqu2hPcDLw9QTdtQ
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,241667,11,0,4,0.000369,0.705,0.882,0.00000116,0.0934,-3.201,0.0445,0.7,130,spotify:track:2QtxlzvSBONjs1bDC34ixs
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,236333,2,1,4,0.0673,0.54,0.807,0.21,0.117,-6.964,0.0443,0.298,129.106,spotify:track:6mNDLlxVYjKleyb2Ley6Pl
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,194531,1,1,4,0.000747,0.764,0.925,0.136,0.218,-1.997,0.0974,0.456,127.948,spotify:track:4P57hnx1SK88ULEcQls2vV
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,292707,8,1,4,0.00481,0.652,0.605,0,0.0605,-7.371,0.0393,0.394,126.091,spotify:track:360UM2DaiHZPRu0EsrOvMp
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,273560,9,1,4,0.713,0.75,0.58,0.00318,0.0986,-7.505,0.0319,0.51,130.024,spotify:track:1oVW2OSHLFo01CUih7sonk
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,209253,7,1,4,0.00288,0.689,0.811,0,0.207,-4.708,0.0264,0.47,123.008,spotify:track:3dovg4Mfj5EksLrMPrIzSj
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,234453,10,0,4,0.036,0.596,0.912,0,0.27,-3.446,0.0863,0.775,128.027,spotify:track:7qdwxPtreqBCc41dLR7hCl
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,210307,11,1,4,0.0242,0.855,0.668,0,0.102,-4.892,0.0644,0.803,125.846,spotify:track:7yws3pF3FFguwT2Psi6c15
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,168667,6,1,4,0.00481,0.574,0.694,0,0.102,-4.697,0.0327,0.401,109.85,spotify:track:244AvzGQ4Ksa5637JQu5Gy
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,244587,8,1,4,0.152,0.615,0.733,0,0.109,-4.808,0.0335,0.796,122.58,spotify:track:4fIWvT19w9PR0VVBuPYpWA
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,249547,7,1,5,0.043,0.592,0.944,0,0.365,-2.94,0.111,0.574,124.42,spotify:track:6H2wnX7ytNeCKERIVqCwgs
