playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:36baBESEC1QQdZ3eBkVatP,244960,8,1,4,0.414,0.748,0.524,0,0.111,-5.599,0.0338,0.661,95.01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
spotify:playlist:36baBESEC1QQdZ3eBkVatP,173987,1,1,4,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.0536,0.37,103.967,spotify:track:1zi7xx7UVEFkmKfv06H8x0
spotify:playlist:36baBESEC1QQdZ3eBkVatP,237300,10,1,4,0.287,0.765,0.473,0,0.391,-5.829,0.0514,0.34,119.992,spotify:track:5kqIPrATaCc2LqxVWzQGbk
spotify:playlist:36baBESEC1QQdZ3eBkVatP,234910,0,1,4,0.446,0.54,0.59,0,0.14,-4.359,0.0528,0.267,119.878,spotify:track:5AWMbJ60z0NmztJ1Edl00K
spotify:playlist:36baBESEC1QQdZ3eBkVatP,208373,11,1,4,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,0.422,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK
spotify:playlist:36baBESEC1QQdZ3eBkVatP,222160,9,0,4,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,0.465,123.963,spotify:track:0azC730Exh71aQlOt9Zj3y
spotify:playlist:36baBESEC1QQdZ3eBkVatP,236002,0,1,4,0.0123,0.667,0.83,0,0.191,-5.715,0.0749,0.701,113.03,spotify:track:6JV2JOEocMgcZxYSZelKcc
spotify:playlist:36baBESEC1QQdZ3eBkVatP,211667,6,0,4,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,0.732,89.976,spotify:track:6P4DcGPAqhBz8HrTrwPNNh
spotify:playlist:36baBESEC1QQdZ3eBkVatP,202333,4,0,4,0.0462,0.734,0.637,0.0000229,0.0602,-5.677,0.141,0.648,169.977,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
spotify:playlist:36baBESEC1QQdZ3eBkVatP,233720,4,1,4,0.835,0.609,0.378,0,0.28,-9.828,0.438,0.515,100.418,spotify:track:50kpGaPAhYJ3sGmk6vplg0
spotify:playlist:36baBESEC1QQdZ3eBkVatP,185352,6,0,4,0.0736,0.608,0.798,0,0.156,-5.092,0.0432,0.501,92.943,spotify:track:6gFPdkLitG8mpiWKKZ3lgE
spotify:playlist:36baBESEC1QQdZ3eBkVatP,212424,9,1,4,0.484,0.644,0.57,0,0.299,-6.994,0.052,0.527,113.945,spotify:track:2mCF8L0brIs88eH6Kf2h9p
spotify:playlist:36baBESEC1QQdZ3eBkVatP,251034,6,0,4,0.687,0.492,0.275,0,0.101,-13.4,0.3,0.18,92.6,spotify:track:7vRriwrloYVaoAe3a9wJHe
spotify:playlist:36baBESEC1QQdZ3eBkVatP,194453,1,1,4,0.403,0.667,0.613,0,0.115,-5.353,0.0344,0.47,91.024,spotify:track:37R0bQOQj5a7DOqh1TGzvB
spotify:playlist:36baBESEC1QQdZ3eBkVatP,214480,8,1,4,0.103,0.803,0.585,0.00000394,0.0644,-5.861,0.0432,0.593,105.017,spotify:track:4tCtwWceOPWzenK2HAIJSb
spotify:playlist:36baBESEC1QQdZ3eBkVatP,197933,7,0,4,0.0353,0.664,0.714,0.00000842,0.0843,-6.645,0.111,0.71,101.969,spotify:track:0vbtURX4qv1l7besfwmnD8
spotify:playlist:36baBESEC1QQdZ3eBkVatP,212627,6,1,4,0.0291,0.589,0.651,0.0000032,0.111,-5.097,0.0306,0.166,90.011,spotify:track:7gHs73wELdeycvS48JfIos
spotify:playlist:36baBESEC1QQdZ3eBkVatP,239280,11,1,4,0.719,0.766,0.5,0.00000591,0.304,-7.558,0.0695,0.71,84.044,spotify:track:6oSmp7qnvAxUXeUKhl67a6
