playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,165720,5,0,4,0.0889,0.593,0.911,0.00000434,0.176,-7.954,0.168,0.56,132.367,spotify:track:4LDjgf7egcQGxeGRjEfrSk
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,210120,0,1,4,0.347,0.758,0.477,0,0.122,-14.741,0.138,0.907,119.507,spotify:track:48RP92BBNCGybHpdQ8NuIO
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,240000,9,1,4,0.0369,0.481,0.95,0.000212,0.373,-3.923,0.112,0.786,89.866,spotify:track:0rSckbp0aam2nGy1ri9Aty
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,203333,0,1,4,0.347,0.767,0.45,0,0.113,-12.352,0.0824,0.809,106.847,spotify:track:4f4RRYN3R7glPElFjeoUnC
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,205587,6,1,4,0.443,0.623,0.427,0,0.1,-14.58,0.05,0.899,99.167,spotify:track:6AhUX0ObPgTnS5GGFrRidN
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,91946,2,1,4,0.191,0.447,0.839,0.188,0.165,-12.499,0.0428,0.622,82.612,spotify:track:6M4auxnE2Eh20nuKcEmDwN
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,192947,11,1,4,0.0128,0.472,0.829,0.00000871,0.232,-6.445,0.116,0.673,134.036,spotify:track:0Hst1J9zYm2eLaJbuZxI4F
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,207827,7,1,4,0.0704,0.647,0.707,0.000047,0.0875,-8.496,0.046,0.818,134.123,spotify:track:1Am9G7F2qJq4EtD65ALTEf
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,241747,11,0,4,0.00321,0.62,0.88,0.00198,0.0438,-6.767,0.0816,0.828,108.607,spotify:track:61ZVP6ytLwYnbLonbJtzR6
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,217665,10,1,4,0.968,0.357,0.174,0.0000552,0.115,-12.977,0.0334,0.145,131.497,spotify:track:2iTpAjIM15wHKpV36xKG1e
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,183360,0,1,4,0.873,0.615,0.386,0.778,0.0887,-11.662,0.0904,0.365,156.85,spotify:track:3qq7parQQaohn9N7qKrKtE
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,227853,2,1,4,0.0251,0.568,0.94,0.0000377,0.177,-6.089,0.203,0.35,135.541,spotify:track:2IvYUTsRCivlheereaqACw
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,240080,8,1,4,0.0994,0.34,0.557,0,0.49,-8.863,0.0342,0.756,73.336,spotify:track:1GNXKxf8dip6vPukn0R5lP
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,156293,0,1,4,0.551,0.596,0.589,0,0.0897,-8.747,0.037,0.587,75.288,spotify:track:5PuAFxKmqG72uKyoo11zpQ
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,173453,0,1,4,0.438,0.661,0.535,0.0000162,0.319,-12.173,0.0677,0.687,119.545,spotify:track:21FFj5GqlujABc0H06uN8j
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,192613,0,1,4,0.813,0.706,0.548,0.00000177,0.756,-11.061,0.285,0.765,119.796,spotify:track:5nwiYAnTxS0aQ1toJW33l4
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,195387,2,1,3,0.176,0.466,0.493,0,0.107,-10.309,0.0589,0.697,114.563,spotify:track:7GFRIVbEjOUQdcsY6Ah6Z2
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,200053,1,1,4,0.169,0.594,0.906,0.00122,0.0778,-5.536,0.0594,0.892,104.411,spotify:track:6pMHMzwTsWIxLigr54GGVm
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,208693,0,1,4,0.000126,0.424,0.728,0.314,0.209,-7.79,0.0378,0.756,130.583,spotify:track:1WZ7nC1GSk8rCF3X4cRiOv
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,197693,2,1,4,0.0422,0.598,0.673,0.0000684,0.289,-10.431,0.0693,0.59,102.035,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,233413,2,1,4,0.00157,0.643,0.765,0.00977,0.169,-8.602,0.0933,0.868,137.979,spotify:track:5DPVU9xTKDC2CizYp5WXT2
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,239760,4,1,4,0.0155,0.617,0.696,0.000199,0.108,-12.739,0.0282,0.9,111.136,spotify:track:1hwN2eAwsXgktvw9Qe8TrP
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,192827,5,1,4,0.446,0.559,0.473,0.00141,0.154,-7.712,0.0279,0.397,121.227,spotify:track:4IRHwIZHzlHT1FQpRa5RdE
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,257107,4,0,4,0.242,0.279,0.473,0.00164,0.158,-8.375,0.0309,0.246,167.792,spotify:track:6yLIqXX9edg1x0HZS7cZEv
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,328840,7,1,4,0.731,0.501,0.258,0.0000192,0.19,-12.713,0.0241,0.211,75.6,spotify:track:7kDlm2ZGtZj2ZlWJqxH1Qf
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,172867,8,1,4,0.261,0.547,0.82,0,0.3,-6.728,0.0805,0.933,118.208,spotify:track:6Ac4NVYYl2U73QiTt11ZKd
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,169000,3,1,4,0.403,0.58,0.757,0.0000153,0.128,-6.612,0.0376,0.971,188.18,spotify:track:6D0okTHbMRtDkM0YE5Km7w
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,170987,0,1,4,0.0538,0.528,0.666,0.856,0.084,-12.01,0.0294,0.961,101.856,spotify:track:0lr3Z5RY1mO9M8MHpM1GXN
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,216333,10,1,4,0.385,0.367,0.674,0.00063,0.104,-9.252,0.043,0.73,168.021,spotify:track:3hQ9KSM719y8RnkXpUius8
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,242667,2,1,4,0.0652,0.605,0.775,0.477,0.275,-5.557,0.0595,0.707,124.951,spotify:track:0FMJqVpe7ePbkwKWvO7lc3
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,228933,4,1,4,0.183,0.602,0.536,0.000019,0.0802,-9.74,0.0288,0.506,124.558,spotify:track:1L9fzw2pXprOqtemTwtxXF
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,213400,11,1,4,0.334,0.794,0.427,0.0000104,0.0703,-15.492,0.029,0.751,105.732,spotify:track:0SjnBEHZVXgCKvOrpvzL2k
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,168960,2,1,4,0.395,0.445,0.949,0.00000818,0.0902,-4.682,0.0471,0.653,147.604,spotify:track:3Dy4REq8O09IlgiwuHQ3sk
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,211093,9,1,3,0.885,0.264,0.32,0.00141,0.134,-11.716,0.0325,0.171,138.108,spotify:track:1vZTgn4JXWMahR8r99ug5H
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,218200,3,1,4,0.708,0.354,0.136,0.00802,0.169,-20.208,0.0297,0.318,89.406,spotify:track:5IiQNkbnFUBWck8AvpkfaX
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,192760,4,0,4,0.0292,0.529,0.598,0.000232,0.0958,-7.7,0.0333,0.787,131.352,spotify:track:5K52YrogiliMuDnh8uYNOc
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,186560,10,1,3,0.741,0.502,0.299,0,0.184,-15.98,0.0405,0.546,153.301,spotify:track:0kh2DdH9BYGQxo87w9OGzd
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,204107,7,1,4,0.603,0.47,0.437,0.00116,0.526,-16.041,0.0346,0.852,161.559,spotify:track:3xc5ggIw7OQmm14icINgcz
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,202600,1,0,4,0.922,0.708,0.171,0.00775,0.755,-20.71,0.2,0.619,75.192,spotify:track:7aMLQavs9eIki5fllOn4sx
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,189667,10,1,3,0.254,0.474,0.494,0.00000613,0.146,-4.872,0.0243,0.439,96.778,spotify:track:4zm0h5UpTkSLM36mWzo0fB
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,210480,9,1,4,0.488,0.445,0.59,0.000508,0.0963,-7.04,0.0298,0.645,114.761,spotify:track:7L4BfAhauZF7vDV4Tpf5Fm
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,232040,2,1,4,0.317,0.633,0.608,0.00139,0.0788,-6.69,0.0905,0.767,100.625,spotify:track:0bsuSsRatN6sXKTnOMIwBb
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,168147,0,1,4,0.7,0.555,0.374,0.00757,0.24,-10.374,0.0284,0.463,106.479,spotify:track:0b5E0IpK0m4Ukw3teqtYbR
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,165800,0,1,4,0.375,0.456,0.933,0,0.563,-5.212,0.153,0.367,125.051,spotify:track:0PxYWaGiwWtcuL1VIMiEW4
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,175987,10,1,4,0.642,0.38,0.496,0.05,0.193,-10.103,0.0363,0.431,117.031,spotify:track:6p2m2olMmsOZAp8rQixHtV
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,204493,3,1,4,0.349,0.314,0.777,0,0.135,-6.306,0.038,0.711,154.848,spotify:track:1Wiby2bKfBD0aaCPesORjZ
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,182000,7,1,4,0.539,0.467,0.457,0,0.109,-7.828,0.0247,0.599,148.119,spotify:track:3XbflHtkqldRUUFPSuXrUe
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,180693,2,1,3,0.871,0.304,0.305,0.00368,0.367,-10.879,0.0298,0.464,146.066,spotify:track:4J0DbyODwZJcmIAiTSJfMF
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,120467,2,1,4,0.845,0.42,0.256,0.944,0.099,-12.063,0.0353,0.531,91.731,spotify:track:7e2QY2B3lGRqxVoQ3JbLoE
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,176918,2,1,4,0.26,0.552,0.672,0.0000104,0.142,-8.823,0.0376,0.835,129.115,spotify:track:0dAFQEbrg5ge3Qm37Vocdv
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,222507,5,0,4,0.165,0.388,0.738,0.000942,0.0724,-11.933,0.296,0.578,173.542,spotify:track:4BKB9YW3ymCode03eAG9iY
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,194893,6,0,4,0.2,0.48,0.761,0,0.05,-9.895,0.0346,0.794,145.338,spotify:track:2nmcstJm068qfoxC51c3al
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,223497,4,1,4,0.0118,0.493,0.582,0.000144,0.126,-14.611,0.0548,0.249,101.607,spotify:track:1Wmuc11xACBpOpni7ECC45
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,161907,7,1,4,0.661,0.576,0.318,0.00000747,0.167,-14.366,0.0286,0.41,103.493,spotify:track:542C7PqR1oEfl63hlhQO4V
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,264504,5,1,4,0.365,0.596,0.448,0.0000053,0.206,-9.616,0.0396,0.796,83.293,spotify:track:1bp2IO61zbQrbWNmKKxg3f
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,180960,2,1,4,0.0236,0.388,0.874,0.000413,0.119,-8.241,0.074,0.635,136.154,spotify:track:3rhfSSuT7fBP4Zm54pD9fh
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,193773,8,1,4,0.572,0.425,0.666,0.0000437,0.284,-7.048,0.0351,0.632,146.922,spotify:track:39LGD9pZjoyAK2V6Ty0yMs
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,141947,3,1,4,0.584,0.567,0.366,0.0988,0.112,-7.135,0.029,0.507,116.398,spotify:track:6LZ8ujvVMyXKnmWcP7bdJ8
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,169693,8,1,4,0.0381,0.665,0.629,0.0000184,0.0637,-12.852,0.0441,0.856,124.265,spotify:track:4MAxWahEbzU8m4bD6mSZg9
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,175906,4,0,4,0.31,0.398,0.517,0.00000166,0.165,-8.661,0.0328,0.527,97.773,spotify:track:19klrUEpeyhYNyy7YDdVdc
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,210667,0,1,4,0.437,0.734,0.629,0,0.347,-11.157,0.0337,0.964,127.022,spotify:track:2PpSOJ8h2bHa2Plh80bKlb
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,181960,2,1,4,0.00881,0.593,0.859,0,0.113,-7.178,0.1,0.876,125.1,spotify:track:5a4XevNgRAZqFQriITDRny
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,246267,4,0,4,0.000835,0.496,0.563,0.804,0.373,-12.129,0.0337,0.723,97.136,spotify:track:5csdrJ0JtFn0qvwlvSh2EI
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,241173,2,0,4,0.0978,0.546,0.737,0,0.0508,-9.543,0.0481,0.962,85.571,spotify:track:4BUzPx01n2EXeSc0GJuW1e
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,232267,4,1,4,0.116,0.594,0.746,0,0.0773,-6.786,0.0313,0.761,121.229,spotify:track:4uP284dvljHmqq98fLszzE
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,181933,10,1,4,0.694,0.469,0.235,0.153,0.0962,-14.399,0.0336,0.52,138.522,spotify:track:2PX54jMPTjvpgAod0oIuIP
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,208053,4,1,4,0.00865,0.523,0.933,0.000411,0.426,-4.564,0.0421,0.953,95.515,spotify:track:5V0fhX7etCIMscdrEA8qCs
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,167533,0,1,4,0.713,0.469,0.445,0,0.0675,-13.177,0.1,0.386,94.043,spotify:track:5a42aKUmLpLRLE4XrBE8uJ
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,228467,0,1,4,0.0288,0.664,0.419,0.0000967,0.331,-12.036,0.0286,0.555,100.47,spotify:track:2C86Vf9K43LG8GWCHObAzP
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,158227,8,1,4,0.0982,0.343,0.491,0.00000392,0.351,-11.465,0.0337,0.687,114.761,spotify:track:19ErwmP0jgtD889IXuE2xg
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,176453,2,1,4,0.735,0.575,0.756,0.0401,0.0755,-9.414,0.0544,0.844,127.434,spotify:track:1AIGp3gpj1NXJvh3engmUQ
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,199840,0,1,4,0.0062,0.644,0.888,0,0.0819,-6.027,0.159,0.781,114.421,spotify:track:0k24UfjO3vwHdZgEk1VuGC
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,216600,5,1,4,0.658,0.558,0.535,0.0000578,0.0591,-15.086,0.0553,0.51,100.761,spotify:track:7lArTzfaBBXxY7CD0rnqAh
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,211680,5,1,4,0.825,0.692,0.445,0,0.0582,-13.567,0.0383,0.781,120.543,spotify:track:4RSJsPIRPy4zgSmiOcZVut
