playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,255360,10,1,4,0.768,0.217,0.46,0.00000826,0.0847,-5.133,0.0302,0.109,138.822,spotify:track:2r9LMUnfsxtDqIZF8ByZ8n
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,272080,1,1,4,0.00542,0.875,0.631,0.00000254,0.127,-3.475,0.099,0.549,120.003,spotify:track:0BxfFnk0YzONqvmrkO0QrB
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,235800,5,0,4,0.331,0.629,0.532,0,0.238,-7.88,0.0352,0.619,90.098,spotify:track:1IpYDWB31L1CxDQZztadSi
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,174173,2,1,4,0.271,0.869,0.906,0.725,0.0883,-3.386,0.0409,0.765,138.066,spotify:track:0l4TlcPYMS9SibM8O7zzLU
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,253933,7,1,4,0.0065,0.644,0.517,0.00000137,0.158,-10.02,0.0803,0.464,169.799,spotify:track:2b8QQqf8Vwb7bfz22ja8Fk
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,196653,1,1,4,0.007,0.877,0.885,0.000497,0.557,-4.966,0.17,0.517,102.507,spotify:track:2bmxx16hNi3W5FGzfFO9xX
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,249120,7,0,4,0.178,0.686,0.588,0,0.0954,-8.343,0.0554,0.617,94.519,spotify:track:7GaFYUqP2WdR4KTPk7cXoP
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,248467,2,1,4,0.0566,0.937,0.98,0.000373,0.0273,-5.037,0.0473,0.939,122.007,spotify:track:4BEMCMVRloo4lv5Wak50Go
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,222640,6,1,4,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,0.772,138.559,spotify:track:0d28khcov6AiegSCpG5TuT
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,239773,5,0,4,0.00937,0.69,0.928,0,0.547,-2.76,0.061,0.604,130.889,spotify:track:5MzjQ95rdB2xt9DNa2IzaC
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,209493,0,0,4,0.633,0.675,0.479,0.0000176,0.088,-9.87,0.0278,0.454,81.998,spotify:track:5pbajJXEPdcoXQPXoAVR1t
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,238053,5,0,4,0.0964,0.794,0.614,0,0.0788,-5.352,0.0467,0.663,80.569,spotify:track:7jLbTp3qZzah9kMIdW8e5M
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,202213,5,0,4,0.0444,0.939,0.498,0.00128,0.0475,-10.94,0.161,0.801,113.053,spotify:track:72vWmeqYcT1irKClpbenQm
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,229347,9,0,4,0.416,0.562,0.449,0,0.105,-7.338,0.032,0.28,77.988,spotify:track:0NeuoQbwJY01QBB6v6TN6w
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,208973,5,0,4,0.00168,0.581,0.857,0.000166,0.0967,-2.21,0.0627,0.565,145.941,spotify:track:4ECvB9frSDegHfKNRh9dwT
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,223240,11,1,4,0.00487,0.806,0.834,0.00029,0.0962,-8.436,0.151,0.6,92.009,spotify:track:00JXu55Uy9mG0l3IkGQy5W
