playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,197907,10,1,4,0.102,0.622,0.887,0,0.368,-4.321,0.0626,0.907,170.854,spotify:track:1as0uTeW3VLa9ifg8Gi9Fe
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,271240,4,1,4,0.214,0.768,0.852,0.0000736,0.0723,-6.215,0.038,0.867,128.373,spotify:track:07q0QVgO56EorrSGHC48y3
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,252893,4,1,4,0.0011,0.728,0.68,0.0599,0.0725,-8.027,0.0338,0.441,114.686,spotify:track:5lQOzJmQladWC4kLQClssB
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,207480,4,0,4,0.62,0.728,0.844,0.0000491,0.0467,-4.664,0.0693,0.928,91.3,spotify:track:4areksgU8Nn6bf0kIAY8q0
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,188133,2,1,4,0.0846,0.704,0.867,0,0.206,-5.808,0.0315,0.809,131.467,spotify:track:3XIEWK1V9n25PS9Vb6axj5
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,259093,11,1,4,0.717,0.464,0.46,0,0.151,-6.874,0.0393,0.476,143.603,spotify:track:7JFoeg0arawADjGcz9gBnq
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,331333,2,0,4,0.0143,0.715,0.689,0.000192,0.111,-8.065,0.029,0.852,111.504,spotify:track:4z7maGZkAonDlXlwo8q69f
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,212427,7,1,4,0.0312,0.83,0.753,0.000356,0.238,-8.567,0.0535,0.842,119.962,spotify:track:1RSsSlJToDavQIXZRr8hN1
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,227733,2,1,4,0.000457,0.691,0.873,0.000582,0.118,-6.349,0.184,0.667,139.384,spotify:track:7vMRj40Rw8PPgZiDcbyUdj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,196613,1,1,4,0.195,0.945,0.837,0.0000111,0.0525,-8.094,0.0384,0.97,108.893,spotify:track:2s6NUf9GkCeUtYbHdgMcVk
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,295400,0,1,4,0.0589,0.586,0.7,0.00125,0.0318,-9.558,0.0363,0.897,147.245,spotify:track:1HOMkjp0nHMaTnfAkslCQj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,258280,5,1,4,0.0441,0.69,0.634,0.0016,0.15,-9.78,0.0759,0.694,122.928,spotify:track:6UVAFdrsnVTUzhkI1uJEOK
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,170800,0,1,4,0.336,0.269,0.851,0,0.309,-5.61,0.0494,0.519,85.22,spotify:track:0IddqJw5uVK0nKrmdiIo6J
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,229418,5,1,4,0.000956,0.42,0.863,0.00336,0.109,-6.951,0.074,0.261,132.154,spotify:track:6aSB6i7gxdmPwa2SfpaTpK
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,286800,6,1,4,0.0643,0.723,0.969,0,0.115,-4.516,0.142,0.728,126.653,spotify:track:54OR1VDpfkBuOY5zZjhZAY
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,239240,7,1,4,0.127,0.758,0.634,0.000431,0.337,-13.338,0.0324,0.905,129.29,spotify:track:2NKZe36oAGEpBx26OoBFLj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,229027,0,1,4,0.0255,0.787,0.917,0.00628,0.05,-7.695,0.0406,0.965,120.465,spotify:track:1h8cxttp9L7oLTctzleZf5
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,197907,1,1,4,0.0862,0.742,0.788,0.00768,0.292,-10.803,0.0669,0.514,130.849,spotify:track:7nm8w9dMwTjlWDosdnxBSn
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,240440,5,1,4,0.000208,0.614,0.849,0.00336,0.17,-10.001,0.0484,0.602,118.219,spotify:track:3agFBPR9VuqTo9fmlgE6hx
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,238600,7,1,4,0.745,0.38,0.21,0.45,0.0829,-15.603,0.0319,0.207,112.51,spotify:track:3Jy0dWV5AnnfyTvHK6UWof
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,171093,5,1,4,0.0205,0.669,0.733,0.000224,0.042,-10.495,0.0494,0.833,153.778,spotify:track:0kqFlkmfvKzQ4QSmx5PZ1A
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,62440,7,1,4,0.841,0.705,0.506,0.0456,0.417,-12.178,0.134,0.804,126.091,spotify:track:6ZKsYZy0IclsoP7logJmDY
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,197387,10,1,4,0.603,0.339,0.281,0.00000194,0.0991,-9.141,0.028,0.409,141.999,spotify:track:2Q3opckFhsenHCV2vOUb4a
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,254400,0,1,4,0.00296,0.713,0.569,0.0000246,0.0729,-12.872,0.0298,0.648,111.663,spotify:track:0187LgdeJTJT1kw9YUfDQZ
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,198600,9,0,4,0.0173,0.801,0.623,0.00811,0.323,-13.445,0.0508,0.641,116.426,spotify:track:0rwmxAht1fk7QuSiCmIhGV
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,182133,10,1,4,0.074,0.422,0.943,0.0000683,0.105,-4.365,0.0954,0.845,165.764,spotify:track:71yCMlsD6qbD7NmNUEoVNR
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,223133,5,0,4,0.0739,0.713,0.861,0.00173,0.114,-7.834,0.036,0.898,104.299,spotify:track:4txFRJmpBJCRfDIAc30yTB
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,172787,9,1,4,0.136,0.741,0.799,0.00000119,0.113,-4.746,0.0567,0.954,119.741,spotify:track:6yKAFC2fj8HLSSmjHddqxb
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,209600,3,1,4,0.328,0.72,0.391,0.0309,0.022,-14.902,0.0308,0.696,119.208,spotify:track:10zwzFASrOtQMLEdXsGTbP
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,192827,0,1,4,0.0668,0.782,0.858,0.0676,0.151,-9.092,0.149,0.97,145.112,spotify:track:4VFR0Xpcy8qBaBfr410wW0
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,212009,5,0,4,0.109,0.783,0.541,0.0822,0.0891,-13.398,0.0405,0.967,125.816,spotify:track:2BEArHIJsI5fxYEpCZv2sF
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,296000,6,1,4,0.44,0.495,0.439,0.0000888,0.725,-13.212,0.0467,0.353,165.922,spotify:track:6T5GTy1l6dRmagqpNPjdoc
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,203800,0,1,4,0.885,0.232,0.228,0.0000361,0.131,-11.917,0.0354,0.212,61.274,spotify:track:2qwwwJRYqWjoS832s9x3Es
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,243373,2,1,4,0.144,0.638,0.867,0.000733,0.0846,-6.469,0.0331,0.805,115.692,spotify:track:72ahyckBJfTigJCFCviVN7
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,217573,0,1,4,0.224,0.628,0.779,0.776,0.151,-11.841,0.0831,0.936,180.837,spotify:track:0iINibMKtoS8duvexsqnm5
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,182120,0,1,4,0.0986,0.661,0.842,0.000124,0.0534,-6.893,0.047,0.899,85.427,spotify:track:4lFO4X6ef61SR6M1KXkSRN
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,303333,2,1,4,0.0889,0.665,0.532,0.0109,0.296,-10.793,0.0277,0.81,117.955,spotify:track:6UXXeFqMBGiqjkzQzkMT3E
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,259787,9,0,4,0.637,0.75,0.317,0.239,0.116,-16.099,0.079,0.361,126.902,spotify:track:4obq5sje4bq28sVNIusf4v
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,296827,0,1,4,0.0855,0.668,0.302,0.000179,0.0971,-16.991,0.0345,0.573,102.549,spotify:track:2DizXuCkbDsLcGYu0XtE1I
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,326320,9,1,4,0.734,0.5,0.554,0.00000372,0.312,-8.108,0.0354,0.372,84.229,spotify:track:762B4bOcXF7I2Y8UlKTyTy
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,213173,2,1,4,0.00824,0.651,0.83,0.0429,0.0837,-8.785,0.0316,0.917,131.282,spotify:track:43G3McVkRa8V7oGQzfQuRr
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,213200,1,0,4,0.319,0.719,0.732,0.00000651,0.0745,-9.227,0.0408,0.96,123.569,spotify:track:68MSCSP7Y6PnzXcW1IlN7G
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,208867,1,1,4,0.168,0.702,0.575,0.000048,0.0946,-9.254,0.0381,0.549,118.046,spotify:track:19VsKDT1rMkScnLm9RKA6u
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,241972,10,0,4,0.549,0.49,0.27,0.000014,0.101,-14.851,0.0625,0.252,70.127,spotify:track:7tWa6QGmVjUkjzRES5jU3Z
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,241507,4,0,4,0.277,0.707,0.732,0,0.13,-6.292,0.0303,0.928,115.338,spotify:track:1HBDWCrQVjrALiOA5rILnE
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,233133,4,1,4,0.0446,0.476,0.766,0.0053,0.214,-11.435,0.038,0.68,137.083,spotify:track:1YiAY1oCmkFjUabQL9gos4
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,223440,9,1,4,0.716,0.525,0.474,0,0.0615,-7.961,0.0292,0.697,180.019,spotify:track:2qpEKHjH8y2iLCgei9v1dc
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,200360,0,1,4,0.159,0.655,0.596,0.0193,0.11,-11.375,0.0381,0.849,125.26,spotify:track:4zH6dB5VUvQxuPzy19zJqp
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,193720,4,0,3,0.889,0.62,0.349,0,0.122,-9.147,0.0271,0.442,114.05,spotify:track:6Ox5amsiosoH8yovCinxF0
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,351347,11,1,4,0.0672,0.884,0.928,0.0152,0.054,-4.569,0.0877,0.914,119.354,spotify:track:6AZZzlQD1FThgAcWIgu3g1
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,339947,9,0,4,0.0725,0.725,0.959,0,0.14,-6.994,0.0472,0.755,127.323,spotify:track:4mjFMScEvHeM72791mXRCW
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,184414,9,1,4,0.321,0.754,0.399,0.00000103,0.102,-14.03,0.0305,0.76,121.666,spotify:track:1QMpN6RQXXlwMycmCBwwQz
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,206320,9,1,4,0.0438,0.757,0.763,0.0000185,0.051,-5.11,0.147,0.902,128.243,spotify:track:4YXItD4gWw6stsM8Rz4g63
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,202360,1,0,4,0.202,0.686,0.529,0,0.277,-11.693,0.12,0.896,170.232,spotify:track:1yPupuyrEg8MefcZgun4dT
