playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,253107,1,1,4,0.237,0.737,0.93,0.00000157,0.0911,-6.083,0.0534,0.965,103.191,spotify:track:2df5QsXucx4VLiHNGusXD5
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,298773,4,0,4,0.0279,0.765,0.29,0.00000102,0.571,-17.117,0.139,0.506,92.409,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,273667,1,1,4,0.314,0.614,0.466,0,0.099,-9.881,0.0327,0.178,119.916,spotify:track:1NOeZ7ZIVKMebuza26rofd
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,225700,0,1,4,0.247,0.772,0.705,0,0.23,-6.255,0.0411,0.834,124.908,spotify:track:46q5BtHso0ECuTKeq70ZhW
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,174160,11,1,4,0.123,0.765,0.881,0,0.11,-5.342,0.0311,0.844,110.018,spotify:track:6php91A59VFhwtv6qU6Bkh
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,320467,9,1,4,0.0108,0.316,0.499,0.0000181,0.126,-7.899,0.0298,0.403,174.782,spotify:track:1xNmF1Uep5OGutizZSbKvd
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,296560,7,1,4,0.0181,0.733,0.871,0.0869,0.041,-8.397,0.0329,0.817,123.469,spotify:track:6yN3hWcmAVNHSyUFsNcdX4
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,213093,2,1,4,0.00631,0.715,0.833,0,0.164,-5.379,0.108,0.612,95.487,spotify:track:3jDdpx9PMlfMBS5tOBHFm9
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,255040,1,1,4,0.205,0.887,0.547,0,0.176,-9.474,0.264,0.592,96.847,spotify:track:7DjHbZFUdDtuklH6nfXoaL
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,267440,10,0,4,0.0117,0.852,0.563,0.0000196,0.119,-8.663,0.0377,0.893,92.112,spotify:track:5bJ796cOnGBzSN5bm4mwMj
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,210333,10,0,4,0.000668,0.438,0.776,0.86,0.32,-13.282,0.0345,0.459,156.863,spotify:track:3enW9b6zYr7LSZ0szG131u
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,232067,7,1,4,0.0077,0.628,0.871,0.00000164,0.392,-6.44,0.0363,0.615,106.101,spotify:track:3XorCFmcupSm5QS6hA9g4N
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,239960,5,1,4,0.627,0.744,0.453,0.421,0.0898,-11.977,0.0348,0.122,103.773,spotify:track:1PEqh7awkpuepLBSq8ZwqD
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,230173,8,0,4,0.0487,0.864,0.523,0.0000557,0.0885,-12.732,0.0928,0.821,103.224,spotify:track:0Rmj0wREQDbwuAQtb22ZC7
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,268333,11,1,4,0.602,0.608,0.419,0.00000758,0.108,-10.016,0.0331,0.602,100.22,spotify:track:4vDBJeeQCbhP9FaPPMsYkY
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,249933,2,1,4,0.242,0.867,0.538,0.0000175,0.316,-16.183,0.361,0.781,158.328,spotify:track:4fxF8ljwryMZX5c9EKrLFE
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,243613,8,1,4,0.0268,0.775,0.745,0,0.27,-7.167,0.0563,0.691,99.008,spotify:track:4eeq2yQUeYn8Us9JwPS46y
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,240267,1,0,4,0.00129,0.669,0.941,0.0000043,0.886,-5.765,0.0313,0.841,134.809,spotify:track:7FoUzKTSQp25oe32pY9z5p
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,258773,2,1,4,0.000452,0.378,0.896,0,0.194,-4.066,0.0407,0.469,174.302,spotify:track:5qqabIl2vWzo9ApSC317sa
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,324667,10,0,4,0.052,0.735,0.64,0.00102,0.345,-7.522,0.072,0.551,104.444,spotify:track:6SaeXxdt0Id6ZzmX0ZGTQK
