playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,240693,8,1,4,0.0655,0.647,0.514,0,0.398,-10.05,0.0593,0.387,79.974,spotify:track:7lQWRAjyhTpCWFC0jmclT4
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,245907,6,0,4,0.0515,0.805,0.863,0.000427,0.98,-7.853,0.0771,0.826,106.787,spotify:track:7pcjhiKODADooP7IFPgetr
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,288427,10,0,3,0.684,0.583,0.532,0,0.306,-7.11,0.0309,0.223,131.741,spotify:track:3YKptz29AsOlm7WAVnztBh
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,205733,1,1,4,0.702,0.695,0.499,0.0000585,0.154,-9.201,0.218,0.78,175.896,spotify:track:11Ki2bHWXTEug0DAfKcDDD
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,236600,7,1,4,0.099,0.812,0.877,0.00441,0.135,-7.596,0.0399,0.885,125.916,spotify:track:3DL3P7ZMOu5gApQwaUtseF
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,291667,7,1,3,0.536,0.57,0.478,0.0000133,0.0931,-10.185,0.0322,0.358,145.517,spotify:track:32Gf5A7Hr8RdgggXG0Fdks
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,306427,7,1,4,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,0.304,166.973,spotify:track:2IZZqH4K02UIYg5EohpNHF
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,257267,4,0,4,0.134,0.833,0.698,0.000231,0.0871,-5.23,0.0821,0.92,126.159,spotify:track:7K4AUODt2GjZdizNkJkJ1c
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,242267,5,1,4,0.308,0.6,0.504,0,0.137,-9.761,0.0292,0.547,78.961,spotify:track:24fQpRwKFkC3Fe8QtvvrNw
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,295987,11,1,4,0.634,0.64,0.421,0.0000544,0.109,-9.33,0.0274,0.23,119.478,spotify:track:3KtIVDOChQMVi3SxHc6RrK
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,288000,2,0,4,0.387,0.547,0.397,0,0.14,-10.463,0.0271,0.277,134.346,spotify:track:5T0VoskNbpJIqm2RSPU2Xt
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,253520,2,1,4,0.163,0.488,0.573,0.00012,0.127,-6.232,0.0269,0.281,178.587,spotify:track:0QddQm73NDArsMHdI7JHCv
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,253200,7,1,4,0.0056,0.755,0.804,0.0000973,0.173,-8.931,0.188,0.647,129.916,spotify:track:1m3YR95r3ZuLtu66T8l4Ab
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,270880,7,0,4,0.0357,0.791,0.961,0.246,0.35,-3.973,0.254,0.323,165.363,spotify:track:2sJ5iKbB6Jt4ya9bxqxMeY
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,,,,,,,,,,,,,,
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,279507,1,1,4,0.311,0.77,0.505,0.000074,0.0777,-7.345,0.0828,0.757,171.798,spotify:track:6qspW4YKycviDFjHBOaqUY
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,229545,0,1,4,0.00361,0.557,0.945,0.0000675,0.498,-5.412,0.0296,0.695,135.973,spotify:track:4TeGZLhI6hIKCwiRCvEkwK
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,243493,7,1,4,0.139,0.671,0.727,0,0.123,-7.585,0.035,0.801,102.358,spotify:track:6xkryXuiZU360Lngd4sx13
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,265694,2,1,3,0.015,0.321,0.634,0.0000209,0.105,-5.999,0.0362,0.314,152.434,spotify:track:1GiZpoUewBi4QIOixG6lk6
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,249493,4,1,4,0.21,0.665,0.834,0,0.452,-7.737,0.0576,0.411,105.292,spotify:track:3jS7bB0oXVOwGFZn3aE5NV
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,162093,11,0,4,0.749,0.363,0.388,0,0.363,-8.608,0.034,0.348,76.099,spotify:track:0cBQbqp5jInL73ZxLBSGlX
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,250467,4,0,4,0.0141,0.889,0.454,0.000186,0.203,-8.598,0.221,0.436,100.36,spotify:track:3QRM0qZB7oMYavveH0iEqx
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,231267,10,0,4,0.0478,0.655,0.644,0.00000107,0.0424,-8.779,0.221,0.877,172.054,spotify:track:3vbWqBFCexIYFQhOV3WVBH
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,253267,6,1,4,0.611,0.625,0.641,0.0000383,0.121,-9.244,0.0249,0.608,103.92,spotify:track:2YEgbPleCGhJ3rQoCSWZRB
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,258560,11,0,4,0.0128,0.714,0.825,0.000569,0.049,-5.447,0.0751,0.751,94.074,spotify:track:3ldG6XCLDXxWg1N6XhrSKo
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,189827,2,1,3,0.796,0.58,0.265,0.00019,0.11,-15.267,0.0317,0.583,154.595,spotify:track:25IRjWUZ60n7KXxcB4DiX9
