playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,241307,1,0,4,0.0115,0.527,0.942,0,0.188,-5.64,0.0366,0.495,148.723,spotify:track:7FwBtcecmlpc1sLySPXeGE
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,323686,1,1,5,0.855,0.501,0.855,0,0.246,-6.953,0.56,0.817,66.289,spotify:track:1a9xl4pIr7abbkLrmqQTum
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,245253,4,1,4,0.0103,0.788,0.846,0.000281,0.26,-5.017,0.0372,0.738,115.636,spotify:track:3m0y8qLoznUYi73SUBP8GI
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,302600,2,0,4,0.232,0.583,0.545,0,0.133,-11.698,0.0351,0.8,153.25,spotify:track:2R7858bg0GHuBBxjTyOL7N
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,230667,0,1,4,0.192,0.612,0.738,0,0.0779,-6.648,0.0479,0.883,81.327,spotify:track:7q4CGgjO9YsxSUvvId8iUu
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,262360,1,1,4,0.213,0.743,0.546,0,0.0837,-9.088,0.0237,0.673,113.553,spotify:track:2W8J9Gfw5q8tSvsuWSnMBl
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,226293,2,1,4,0.159,0.564,0.911,0.0000436,0.118,-5.39,0.0536,0.582,173.938,spotify:track:4YR6Dextuoc3I8nJ0XgzKI
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,246933,9,0,4,0.646,0.424,0.222,0,0.148,-15.053,0.0391,0.0606,61.648,spotify:track:6HMvJcdw6qLsyV1b5x29sa
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,238267,6,1,4,0.22,0.71,0.799,0.000602,0.349,-4.897,0.0328,0.725,120.372,spotify:track:4y1LsJpmMti1PfRQV9AWWe
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,250053,8,1,4,0.68,0.611,0.524,0,0.0753,-8.256,0.035,0.73,203.787,spotify:track:6apPqjW8ezpKEicAkkBlvO
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,250427,2,0,4,0.0368,0.675,0.88,0.00039,0.0768,-4.268,0.0532,0.844,90.736,spotify:track:1ckCAIKgbrIl2kjYyH86pJ
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,317240,9,1,4,0.0136,0.685,0.633,0.000106,0.0935,-7.259,0.0377,0.731,131.397,spotify:track:7G67ZJRQT9nn2Fa9vA6B32
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,332482,9,0,4,0.404,0.751,0.66,0.0207,0.24,-4.425,0.0355,0.586,117.785,spotify:track:6PwjRBjFR2oxTPyyT5WxxH
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,228000,9,0,4,0.0129,0.881,0.891,0.0000169,0.337,-9.969,0.0553,0.889,126.576,spotify:track:5aEfPt7OoJhpeeEj5MkXQ4
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,222867,2,1,4,0.102,0.606,0.527,0.000419,0.0664,-15.238,0.0415,0.674,122.489,spotify:track:0mmshvONujbHTPmbchblbk
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,236160,4,0,4,0.204,0.683,0.875,0.0000019,0.0631,-6.916,0.0481,0.674,115.401,spotify:track:3MIVb9pn5cDSdK7yNDsMU1
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,312413,11,1,4,0.0906,0.777,0.818,0.0000298,0.714,-5.64,0.0462,0.847,118.405,spotify:track:20efeySIfZoiSaISGLBbNs
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,228560,4,1,4,0.0918,0.647,0.588,0.00000517,0.657,-8.424,0.049,0.6,96.661,spotify:track:4tQfqWwXGltCVrV8NNt7FS
