playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,280040,5,1,4,0.0425,0.511,0.574,0.0000233,0.105,-7.016,0.0273,0.161,119.917,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,257360,11,0,4,0.00456,0.867,0.517,0.000339,0.0864,-13.222,0.0875,0.866,133.148,spotify:track:1B75hgRqe7A4fwee3g3Wmu
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,263000,10,0,4,0.0126,0.703,0.765,0.000639,0.155,-12.196,0.0552,0.64,116.343,spotify:track:4vNuuqBFdid5yTSWtppBYx
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,258787,5,1,4,0.34,0.52,0.652,0.0000549,0.256,-6.655,0.0274,0.722,80.609,spotify:track:7JzMTYL7xDXA1zRduvJZZy
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,310893,7,1,4,0.16,0.626,0.746,0,0.0618,-8.832,0.0282,0.8,102.896,spotify:track:5YjKdeES9QRJ8NmF4Xc8pV
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,230240,10,1,4,0.464,0.955,0.883,0.00000153,0.162,-9.466,0.0931,0.865,117.111,spotify:track:4mbyVgqUfyajwkXp4GnWFG
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,255667,10,1,4,0.191,0.541,0.44,0,0.114,-12.206,0.031,0.232,140.273,spotify:track:3RMeOetCdXttthQK0clPuz
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,216267,0,1,3,0.563,0.361,0.219,0,0.558,-16.553,0.0285,0.26,98.532,spotify:track:1jFhnVoJkcB4lf9tT0rSZS
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,239640,9,1,4,0.111,0.72,0.504,0.00223,0.109,-9.034,0.0449,0.729,75.656,spotify:track:1y97KFwJKZqYA7Rwg1hcRH
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,257520,7,0,4,0.142,0.701,0.792,0.00000128,0.764,-8.644,0.0549,0.9,133.451,spotify:track:64B4UbGRLtGRBtiN2m8OvF
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,221333,5,1,4,0.604,0.688,0.673,0,0.0906,-8.971,0.0271,0.575,97.783,spotify:track:1gLesvBM5Q9pjGitHWJEM4
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,211973,11,1,4,0.657,0.401,0.285,0.0000113,0.158,-11.005,0.0327,0.267,130.465,spotify:track:5z3ZDMP02xF33yCvPFnct3
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,287440,8,1,4,0.273,0.754,0.366,0.0000904,0.106,-10.07,0.0312,0.469,91.147,spotify:track:1KU5EHSz04JhGg3rReGJ0N
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,272147,9,0,4,0.000286,0.63,0.883,0.595,0.0345,-7.173,0.0353,0.707,118.792,spotify:track:3pgainA2dH9c7e8JVYGRCN
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,223133,0,1,4,0.00124,0.697,0.816,0.00117,0.252,-7.216,0.0316,0.751,102.98,spotify:track:0l6Al2fd5aFnQgXITq4WGc
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,248960,7,1,4,0.0151,0.607,0.788,0.0136,0.173,-5.326,0.0293,0.334,118.696,spotify:track:04UWtAIMwi67MG8uHwYqgK
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,240001,10,1,4,0.272,0.69,0.773,0.0409,0.373,-8.123,0.0377,0.751,128.152,spotify:track:7EOS81Yg1NMcsfVKI1d89d
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,222333,8,1,4,0.143,0.757,0.666,0.0000028,0.0592,-13.615,0.0295,0.951,119.986,spotify:track:3bgrrmGOh23O97dSvnklcK
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,329627,5,1,4,0.00786,0.631,0.763,0.0133,0.207,-6.749,0.0269,0.387,115.121,spotify:track:23zzKOubAzAu8xlQdkVvZ2
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,335240,7,1,4,0.0564,0.55,0.618,0.0000262,0.0937,-9.822,0.0307,0.429,78.61,spotify:track:1sUTfgduT0WIQO8kXKXxLC
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,257440,7,1,4,0.42,0.495,0.609,0,0.187,-9.902,0.0339,0.33,135.671,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh
