playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,201733,1,1,4,0.46,0.502,0.719,0,0.114,-6.649,0.0349,0.438,101.609,spotify:track:5ma71INSTL8sY1HzjVBj2g
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,190185,7,1,4,0.121,0.674,0.428,0,0.132,-9.504,0.122,0.337,84.878,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,248413,6,0,4,0.0426,0.794,0.811,0.00000107,0.101,-8.966,0.038,0.862,116.047,spotify:track:2Foc5Q5nqNiosCNqttzHof
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,272394,5,1,4,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,0.405,85.03,spotify:track:3rq5w4bQGigXOfdN30ATJt
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,221895,7,1,4,0.592,0.559,0.67,0.000184,0.171,-4.985,0.0474,0.438,78.957,spotify:track:4KtrE35pTuqwNc22QP58RT
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,161124,2,1,4,0.0483,0.691,0.631,0.0000113,0.104,-6.478,0.0368,0.8,92.004,spotify:track:48q0vSHcJdhK3IiXH8C5WJ
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,236053,11,0,4,0.262,0.324,0.416,0.0000369,0.11,-8.92,0.0368,0.151,113.986,spotify:track:2nMeu6UenVvwUktBCpLMK9
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,256389,7,1,4,0.0523,0.516,0.566,0.000949,0.11,-8.339,0.0378,0.175,126.819,spotify:track:76QK6gTaW2bBV47FDe3RPK
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,214093,9,1,4,0.00014,0.536,0.807,0.128,0.069,-7.696,0.129,0.638,184.894,spotify:track:3OIKgKNUt87GHz8OmmHZop
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,274807,10,1,4,0.729,0.486,0.419,0.0000304,0.077,-10.465,0.0355,0.251,76.082,spotify:track:2v1aJMvSWa5KLawWPDU6Pv
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,245787,2,1,4,0.0111,0.729,0.614,0.00000373,0.0752,-5.531,0.0904,0.561,113.823,spotify:track:3h8mGFJU0OSrMGyOSRF5xH
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,198907,0,1,4,0.0126,0.764,0.567,0.0000951,0.257,-8.585,0.0609,0.428,89.988,spotify:track:74fpNVAJrKGQuqHETi4WSt
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,223600,7,0,4,0.873,0.533,0.251,0.104,0.134,-11.283,0.0372,0.186,77.503,spotify:track:2IqjKEBiz0CdLKdkXhxw84
