playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,104173,7,1,4,0.0015,0.485,0.922,0.878,0.0979,-3.843,0.041,0.974,158.538,spotify:track:7sPZ3hc9iLplBBVCW5jJOI
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,312120,0,1,4,0.000174,0.286,0.728,0.837,0.133,-6.608,0.0616,0.467,171.454,spotify:track:0pwObEOHolQZSldJ2q1wpy
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,251293,4,1,4,0.136,0.568,0.675,0.0000111,0.145,-7.298,0.0394,0.322,103.984,spotify:track:08nT8qF5kq55XBypRz8wzJ
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,297267,7,1,4,0.00589,0.631,0.804,0.00116,0.16,-5.492,0.166,0.671,79.898,spotify:track:1ng36571Iyov4HBxUClySn
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,266493,5,1,4,0.0342,0.421,0.335,0.00236,0.0944,-11.384,0.0324,0.0889,114.227,spotify:track:5buITai6eMzU8rJonMEI6e
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,259373,10,0,4,0.000813,0.569,0.698,0.00281,0.29,-7.078,0.0271,0.44,109.477,spotify:track:53C1LPb2wOPry7mk3WtDdi
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,240933,9,1,4,0.0146,0.679,0.835,0.879,0.038,-5.362,0.0583,0.298,130.003,spotify:track:74TZplaXdEl3Y9zI0u5wnf
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,250627,9,1,4,0.471,0.445,0.571,0.00431,0.141,-8.139,0.0589,0.713,121.31,spotify:track:230GAVfwHwlk3EeWUfEIP5
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,243467,1,1,4,0.0471,0.479,0.707,0,0.0932,-4.968,0.0659,0.661,148.092,spotify:track:3g2gQMeeQAEPztiQKMlGSl
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,222440,5,1,4,0.247,0.576,0.687,0,0.359,-7.434,0.0341,0.278,123.614,spotify:track:5COBer69wpwkCPPaLr1gFb
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,172160,6,0,4,0.000179,0.441,0.922,0.00000197,0.381,-6.644,0.0655,0.565,175.411,spotify:track:0HDaKOlVAfUWXdFR2RhBtN
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,264187,10,1,4,0.00107,0.542,0.966,0.128,0.0984,-8.255,0.0421,0.351,140.071,spotify:track:3bUNyRrTFJDd4mqvUcb1Aa
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,266200,3,1,4,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,0.964,126.879,spotify:track:5QLHGv0DfpeXLNFo7SFEy1
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,184000,2,1,4,0.0139,0.76,0.577,0.0306,0.0745,-7.899,0.0339,0.293,104.61,spotify:track:0AwxXvGoYpioYfJeafgvTD
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,181133,4,1,4,0.00179,0.489,0.923,0.0275,0.11,-6.25,0.206,0.444,88.943,spotify:track:0tQLJssKmS3zYc9QW4nikt
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,242493,0,1,4,0.0161,0.46,0.873,0.0000427,0.255,-7.96,0.0602,0.485,146.247,spotify:track:0uQcP7QVoLvaFsORsdrgNh
