playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:440FJI2U21t2GPnb7HBG8E,342680,5,1,4,0.264,0.624,0.842,0.0000211,0.181,-5.285,0.0376,0.257,111.037,spotify:track:37PPB2oW67yjvArQPYQxRU
spotify:playlist:440FJI2U21t2GPnb7HBG8E,237320,2,1,4,0.0531,0.634,0.838,0.00000834,0.0522,-5.363,0.0413,0.541,95.011,spotify:track:1Pf6bdSTw4EpyDY9H5I2Eg
spotify:playlist:440FJI2U21t2GPnb7HBG8E,219467,4,1,4,0.151,0.851,0.551,0,0.0827,-5.177,0.0396,0.807,131.922,spotify:track:67iAlVNDDdddxqSD2EZhFs
spotify:playlist:440FJI2U21t2GPnb7HBG8E,238773,4,0,3,0.649,0.518,0.253,0,0.0893,-12.573,0.0245,0.381,78.907,spotify:track:5J1TCBAWhDZ272GLJmxoDY
spotify:playlist:440FJI2U21t2GPnb7HBG8E,239827,11,1,4,0.243,0.658,0.575,0,0.122,-10.365,0.0267,0.504,108.329,spotify:track:6mYrhCAGWzTdF8QnKuchXM
spotify:playlist:440FJI2U21t2GPnb7HBG8E,215773,2,1,4,0.193,0.799,0.687,0.000188,0.0307,-5.682,0.0431,0.965,108.804,spotify:track:4d6eqRtpDX7tydHJGDZUBQ
spotify:playlist:440FJI2U21t2GPnb7HBG8E,236933,1,1,4,0.0662,0.78,0.725,0.00000679,0.0823,-5.472,0.0395,0.772,142.169,spotify:track:4gLz8C5muA3c4cKPWpcPjE
spotify:playlist:440FJI2U21t2GPnb7HBG8E,250747,1,1,4,0.00637,0.789,0.687,0.00000277,0.0571,-7.441,0.0634,0.862,111.493,spotify:track:2BEL2ySEBDO02FLo3lOIZT
spotify:playlist:440FJI2U21t2GPnb7HBG8E,215573,0,1,4,0.0107,0.684,0.643,0,0.292,-10.252,0.0329,0.922,115.571,spotify:track:2OZyDYkNED6mIDi8RXLnWy
spotify:playlist:440FJI2U21t2GPnb7HBG8E,322507,8,1,4,0.659,0.505,0.55,0,0.102,-6.876,0.0307,0.275,97.819,spotify:track:32SKjVoVKJOyieTdojEBBX
spotify:playlist:440FJI2U21t2GPnb7HBG8E,293853,10,1,4,0.551,0.51,0.458,0,0.0853,-7.566,0.0289,0.177,123.694,spotify:track:2Pxqs0WmxxHTV5QaTdmt3Q
spotify:playlist:440FJI2U21t2GPnb7HBG8E,230573,11,1,4,0.037,0.879,0.693,0.119,0.18,-10.577,0.046,0.966,133.231,spotify:track:5HiKQLlJ3LAuz8J9yHB0HX
spotify:playlist:440FJI2U21t2GPnb7HBG8E,204000,10,1,3,0.492,0.638,0.352,0,0.105,-9.266,0.0268,0.204,94.173,spotify:track:7DFawVSjI88xR9mjnWwURg
spotify:playlist:440FJI2U21t2GPnb7HBG8E,264333,0,1,4,0.8,0.395,0.252,0,0.101,-13.589,0.0301,0.126,177.679,spotify:track:4LFwNJWoj74Yd71fIr1W8x
spotify:playlist:440FJI2U21t2GPnb7HBG8E,274867,10,0,4,0.221,0.639,0.861,0,0.0525,-11.31,0.0435,0.824,133.268,spotify:track:2zaUUlQqyUUP0fehfvLuHz
spotify:playlist:440FJI2U21t2GPnb7HBG8E,243435,8,1,4,0.119,0.812,0.684,0.0175,0.0906,-8.925,0.0992,0.813,92.97,spotify:track:2BxfsqdNbyuopUDJsVmUyx
spotify:playlist:440FJI2U21t2GPnb7HBG8E,236880,5,1,4,0.714,0.556,0.837,0,0.0719,-5.646,0.0437,0.41,80.081,spotify:track:5k6lAqY0Nx5kwsZvA6FtGs
