playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,240507,6,1,4,0.0848,0.455,0.701,0.0000466,0.088,-5.554,0.0272,0.495,143.389,spotify:track:0a3DPN2G3C5IH25EzDrXp8
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,197907,1,0,4,0.0167,0.81,0.956,0.281,0.35,-5.753,0.0367,0.961,129.994,spotify:track:6qPWmXOXPnVB5lxH7EScHB
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,203173,2,1,4,0.0709,0.39,0.968,0,0.194,-5.248,0.235,0.63,207.779,spotify:track:2iAmVVkZ7BmrFnOaZluhTD
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,306560,7,1,4,0.111,0.833,0.619,0.0000213,0.159,-5.595,0.0538,0.901,109.92,spotify:track:1yy2DlSDtEt90d54rPDPXz
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,268653,9,1,4,0.00481,0.683,0.937,0.0046,0.07,-6.335,0.0449,0.619,104.872,spotify:track:0lnxrQAd9ZxbhBBe7d8FO8
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,227267,5,0,4,0.0961,0.801,0.581,0.000296,0.0971,-8.491,0.0681,0.657,107.545,spotify:track:2FK7fxjzQEXD7Z32HSF0Hl
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,276400,0,1,4,0.32,0.598,0.505,0.0000153,0.0809,-9.537,0.037,0.677,168.082,spotify:track:0VgAGImFkyHlV1j1K7Dt22
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,263000,5,0,4,0.24,0.522,0.707,0.0000204,0.156,-7.113,0.0354,0.572,76.05,spotify:track:7H8zey5My6uNdD2TxeCb9F
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,240933,9,1,4,0.0146,0.679,0.835,0.879,0.038,-5.362,0.0583,0.298,130.003,spotify:track:74TZplaXdEl3Y9zI0u5wnf
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,194427,0,1,4,0.0542,0.788,0.846,0.000096,0.0659,-6.482,0.0372,0.785,110.025,spotify:track:1SS7pRHjsn4WBJfNhWt0cU
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,262960,0,1,4,0.000814,0.819,0.65,0.0127,0.47,-10.829,0.0395,0.794,112.307,spotify:track:0gTFo2Va6oImBxUZOEOg9T
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,242800,2,1,4,0.579,0.565,0.408,0,0.103,-8.781,0.0267,0.153,125.896,spotify:track:55UDEdpcearZqBPO2aZaGV
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,252360,2,1,4,0.00176,0.585,0.972,0.00000359,0.172,-5.125,0.047,0.607,115.812,spotify:track:4auyLwpht5bFKtPpulMsCj
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,203200,0,0,4,0.158,0.702,0.922,0.000113,0.047,-6.479,0.0568,0.469,139.959,spotify:track:7pwBWXciUDqOyIvtj82Wcn
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,251293,1,1,4,0.0884,0.437,0.723,0.0000391,0.113,-7.013,0.0471,0.344,139.765,spotify:track:6ZIuoDs3i1KjKurJf9miSs
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,252760,9,1,4,0.0112,0.617,0.886,0.0000963,0.0523,-5.953,0.055,0.629,96.328,spotify:track:3i6qNxyVgIdUZTTi5m25EM
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,254333,0,0,4,0.108,0.602,0.752,0,0.317,-7.688,0.0304,0.683,104.112,spotify:track:6L9jvgRjqefETiXtJVhvQH
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,291880,5,0,4,0.409,0.618,0.688,0.00000632,0.3,-5.867,0.0477,0.561,78.311,spotify:track:06TuMCjDEYjTOJScCRzmjf
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,241554,11,1,4,0.0228,0.612,0.868,0.00883,0.35,-9.869,0.0316,0.535,130.692,spotify:track:10orskJZtW5o2OChflgwr1
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,226107,6,0,4,0.00451,0.539,0.883,0.00000138,0.0606,-6.614,0.0653,0.406,118.043,spotify:track:2RDgs05sg2vrpwiAEUkWd0
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,221973,6,1,4,0.674,0.562,0.224,0,0.127,-15.069,0.0289,0.0707,139.009,spotify:track:2WthqeuPLwn0CHwCMrlt6L
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,251733,8,0,4,0.00186,0.749,0.605,0.0381,0.115,-9.359,0.086,0.966,142.024,spotify:track:6mz1fBdKATx6qP4oP1I65G
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,267640,3,0,4,0.403,0.618,0.474,0,0.0882,-10.574,0.0238,0.384,82.036,spotify:track:53QhPsIbjSd6mKdNMOTfE5
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,221133,1,0,4,0.0456,0.845,0.709,0,0.0628,-6.436,0.0564,0.861,99.994,spotify:track:6yfBhQCRmXLPdvBwZZGWmP
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,229840,7,1,4,0.824,0.597,0.463,0,0.107,-5.528,0.0371,0.227,115.837,spotify:track:5uLzqHlXgRpR3WU0m13cR0
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,225360,10,0,4,0.0352,0.731,0.853,0,0.268,-4.219,0.0363,0.605,108.016,spotify:track:1di1BEgJYzPvXUuinsYJGP
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,315093,4,0,4,0.0141,0.636,0.555,0.000003,0.0966,-8.121,0.0264,0.289,80.912,spotify:track:6kTakcO9wwXh8tEqmJSV8h
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,287040,4,1,4,0.0281,0.322,0.639,0,0.0733,-10.191,0.0428,0.525,200.007,spotify:track:0Z6Rgk05prppyw7I77Fo47
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,238707,5,1,3,0.000889,0.671,0.862,0.7,0.167,-11.367,0.0351,0.855,133.117,spotify:track:13vDH7LlES2hajU7yR07Mz
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,269307,1,1,4,0.438,0.733,0.354,0.000013,0.12,-14.382,0.0536,0.816,147.859,spotify:track:4z1IYRhVpbLCBaqZXYIl66
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,194293,5,0,4,0.616,0.544,0.389,0,0.137,-11.078,0.036,0.226,127.87,spotify:track:2u3K5ImL5pQOsjYH8sszUG
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,244373,6,1,4,0.37,0.629,0.614,0.000075,0.229,-10.382,0.0265,0.755,143.972,spotify:track:4zw6VT2GG5qag6T1VM4Bht
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,238667,6,1,4,0.0067,0.42,0.672,0,0.108,-7.902,0.027,0.476,168.019,spotify:track:2KVwlelhxKUy8LVV6JypH3
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,270333,2,0,4,0.413,0.625,0.426,0,0.116,-8.392,0.0271,0.112,110.018,spotify:track:5Ihd9HrPvOADyVoonH9ZjB
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,259893,5,0,4,0.033,0.815,0.605,0.684,0.114,-9.118,0.0368,0.795,102.643,spotify:track:4ACxa9buEUnOdYEoPcnMpi
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,175813,5,1,4,0.0115,0.555,0.992,0.0209,0.409,-5.343,0.0501,0.652,124.028,spotify:track:0Co5UMAXjlBvElEAtFegdt
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,214693,2,1,5,0.0571,0.755,0.833,0,0.178,-5.683,0.086,0.881,130.913,spotify:track:3LPv5WTIVbj9oeDIdH7UG8
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,247613,1,1,4,0.00181,0.606,0.838,0.0325,0.0393,-8.088,0.0527,0.265,125.346,spotify:track:0AEzFuU6KSmtLFx0szU1Ay
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,290067,2,1,4,0.0912,0.639,0.792,0.000194,0.303,-5.084,0.0301,0.748,110.016,spotify:track:7GsoUeI9DtaTSjJHenyCNP
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,221107,0,1,4,0.275,0.804,0.801,0.0000329,0.215,-4.892,0.0305,0.826,98.12,spotify:track:3UpS7kBnkVQYG13pDDFTC4
