playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,151640,4,1,4,0.544,0.7,0.465,0,0.606,-6.815,0.358,0.719,108.102,spotify:track:4mnTMsp8Cgf9TNiQMhH11L
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,208960,9,1,4,0.00549,0.926,0.673,0.000061,0.296,-6.959,0.109,0.96,123.007,spotify:track:2G6ovzv7TOm8lZL1kQlYi8
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,218093,10,0,4,0.284,0.778,0.824,0,0.405,-5.892,0.0712,0.756,100.024,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,242733,7,0,4,0.0584,0.967,0.583,0,0.0519,-5.562,0.0789,0.964,117,spotify:track:40VAYnnGBDLQVXD8D1ager
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,248640,7,1,4,0.0156,0.711,0.924,0,0.114,-3.398,0.0282,0.912,108.033,spotify:track:1qEHgdFqUxFebMPk8s2HLY
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,234453,7,1,4,0.00019,0.588,0.859,0.0224,0.452,-8.719,0.0411,0.854,125.013,spotify:track:3pTYRUFEzU21WMpqsULLwU
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,239120,11,1,4,0.0167,0.379,0.664,0.000679,0.0915,-6.863,0.0307,0.301,115.272,spotify:track:3tFECpGckFpp0HpQje78gi
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,180333,8,1,4,0.0000469,0.393,0.916,0,0.34,-3.009,0.057,0.511,173.933,spotify:track:2nYR8mMHG0ViIdHtS9hJ6w
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,208493,9,1,4,0.00559,0.691,0.749,0,0.0762,-4.567,0.0274,0.473,140.014,spotify:track:7FpoD2ZlcBSj05rEHSZoiB
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,242293,10,0,4,0.0569,0.808,0.97,0.0000613,0.154,-6.098,0.0506,0.868,114.328,spotify:track:2gam98EZKrF9XuOkU13ApN
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,214613,0,1,4,0.00341,0.416,0.559,0,0.2,-5.787,0.0267,0.282,168.142,spotify:track:5lm8SfB4FoPbUcSDKTO8c4
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,204893,1,1,4,0.148,0.716,0.882,0.00145,0.0744,-3.757,0.0432,0.469,128.084,spotify:track:77gYpyxmd4b4VXw6qeuPJR
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,238920,7,1,4,0.004,0.677,0.671,0.0000507,0.413,-4.905,0.0361,0.527,137.046,spotify:track:30cSNer6TV8x2utjULVeQ5
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,241067,10,1,5,0.631,0.129,0.358,0,0.0886,-6.596,0.0314,0.172,75.048,spotify:track:7wdLZdLzaYCkUvxkPhFP4Q
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,258653,4,1,4,0.953,0.432,0.261,0.00342,0.0903,-12.591,0.0512,0.273,89.567,spotify:track:3M7Ab3IGSb7vNoLWqDbXVF
