playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,237027,9,1,4,0.000423,0.278,0.676,0.000899,0.136,-8.821,0.0371,0.494,104.545,spotify:track:6ooluO7DiEhI1zmK94nRCM
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,213733,0,1,4,0.378,0.653,0.789,0,0.276,-5.669,0.0522,0.834,91.787,spotify:track:0Xxww5aUyamJlEm8GkP21i
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,202907,10,0,4,0.1,0.587,0.786,0.0000324,0.0808,-6.553,0.0308,0.486,129.88,spotify:track:1GR1U3xkN1gf8dzvcyGxfa
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,197280,10,0,4,0.0000678,0.502,0.972,0.000702,0.0627,-3.96,0.0793,0.729,138.019,spotify:track:3twNvmDtFQtAd5gMKedhLD
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,205973,7,0,4,0.0000206,0.562,0.865,0.591,0.219,-6.476,0.0922,0.35,124.047,spotify:track:7uSsHbBFFAnkRQR1rDwP3L
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,226187,5,1,4,0.458,0.519,0.572,0,0.138,-6.879,0.0338,0.323,83.611,spotify:track:2G8jB4liJQPELoUMRY1Gv8
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,188880,2,1,4,0.414,0.49,0.652,0.000118,0.268,-6.944,0.0453,0.767,172.252,spotify:track:4O8CRygHpS1Im1qBCHxGsm
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,209693,0,1,4,0.000285,0.561,0.7,0.0000264,0.0629,-3.773,0.0282,0.54,115.91,spotify:track:2oDbNu0S9oaZoItnUT6vgO
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,246320,8,1,4,0.0000482,0.135,0.968,0.000015,0.284,-3.811,0.147,0.275,215.537,spotify:track:3RlBQYrKM4n7TpmOoSqnfH
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,198880,0,1,4,0.532,0.334,0.685,0,0.981,-6.856,0.0524,0.288,85.601,spotify:track:5yJ0SuWENiGiHRpP7ckpC6
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,208467,6,1,4,0.013,0.649,0.888,0.00000223,0.0888,-4.807,0.0293,0.553,100.975,spotify:track:2lwwrWVKdf3LR9lbbhnr6R
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,286413,7,1,4,0.653,0.631,0.455,0.0000648,0.048,-8.541,0.151,0.543,134.772,spotify:track:2OcJNw7K8cYs4FKoh8aEow
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,222200,1,1,4,0.00119,0.355,0.918,0,0.0971,-4.36,0.0746,0.24,148.114,spotify:track:3n3Ppam7vgaVa1iaRUc9Lp
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,235333,8,0,4,0.0489,0.539,0.714,0.000594,0.17,-4.925,0.0278,0.592,139.055,spotify:track:6XZpVCFrDf2XMtyaX1Wst0
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,201627,9,0,4,0.283,0.759,0.449,0,0.0688,-9.282,0.0644,0.865,163.015,spotify:track:34gLdZdASlnYuCo2tWqfIj
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,207773,9,1,4,0.000454,0.59,0.738,0.00353,0.298,-4.536,0.0371,0.754,116.981,spotify:track:3qONFBuk85vJ8IbGdBi63T
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,200107,7,1,4,0.0425,0.792,0.718,0,0.295,-5.43,0.0362,0.861,120.046,spotify:track:5PdUFOY5XmebdMFYNAUlpP
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,253467,6,1,4,0.22,0.702,0.848,0,0.0222,-1.714,0.3,0.883,172.125,spotify:track:312A8WfROSLvZbMDHBUPDp
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,269093,9,1,4,0.53,0.66,0.479,0,0.102,-7.364,0.247,0.471,80.027,spotify:track:3PEx44by2Pe7E6M8tgqE5N
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,142920,9,0,4,0.000155,0.492,0.916,0.224,0.0574,-6.079,0.101,0.51,151.517,spotify:track:73LKwhoN7QS4vZcG4OYrF3
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,280480,0,1,4,0.0352,0.299,0.915,0,0.0955,-3.668,0.154,0.773,174.31,spotify:track:6pT57VywIGw8eyKB22Gq63
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,176346,1,1,4,0.0000264,0.38,0.988,0.0000786,0.368,-2.042,0.0639,0.769,186.113,spotify:track:6nTiIhLmQ3FWhvrGafw2zj
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,271907,8,1,4,0.196,0.758,0.954,0.0000411,0.0531,-4.573,0.108,0.924,153.973,spotify:track:75lZOZjQaA66br3Vu1iYCw
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,230893,0,1,4,0.391,0.4,0.541,0.00109,0.146,-6.84,0.0252,0.325,74.422,spotify:track:4PYEFRzeJGmnszzYJ0XKyK
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,291040,0,1,4,0.0325,0.448,0.822,0.0963,0.423,-7.031,0.0381,0.841,172.771,spotify:track:65FwLwLsEtE0XlCCr6he4w
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,233333,7,1,4,0.000211,0.431,0.817,0.0000123,0.124,-5.479,0.0324,0.664,169.926,spotify:track:2sV02UuKA7mrrnPYnFSvVp
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,259467,10,0,4,0.0636,0.481,0.713,0.00012,0.109,-5.622,0.029,0.453,148.1,spotify:track:6NuVp861k1zvnZaeqKUHyB
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,192427,1,1,4,0.0766,0.795,0.899,0,0.0852,-7.02,0.292,0.694,115.062,spotify:track:56H98l4uinRifnTH8e308N
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,254693,7,1,4,0.00255,0.543,0.874,0,0.164,-9.46,0.0529,0.673,138.086,spotify:track:0H9P0dEUCtzAfdW1FUUvvU
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,179467,10,1,4,0.314,0.416,0.883,0,0.11,-6.031,0.15,0.788,178.33,spotify:track:6Zbv79YWB0iZSXwIwEsIOP
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,175547,0,1,4,0.0837,0.498,0.639,0.0000461,0.194,-6.04,0.0328,0.18,139.832,spotify:track:28kfUZO5oz8dH3zIOdRAxm
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,151200,3,1,4,0.00496,0.451,0.914,0.0000329,0.237,-2.425,0.0509,0.595,127.048,spotify:track:7nRoz0lKsn0OguwpqHP8RA
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,193573,11,0,4,0.0876,0.539,0.968,0.000522,0.213,-3.051,0.0382,0.951,141.941,spotify:track:5MSGHYOz2HC3PYFnk8CNv8
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,251680,4,1,4,0.00376,0.659,0.801,0.00208,0.102,-7.643,0.0286,0.801,116.003,spotify:track:2GToqy9QuCOGGXJawOUrEf
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,225960,5,0,4,0.161,0.79,0.886,0,0.245,-3.742,0.231,0.681,140.044,spotify:track:5zXT781fTIc9yUIwUMbqnl
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,309840,9,0,3,0.19,0.441,0.567,0.0000242,0.524,-5.645,0.0306,0.306,182.57,spotify:track:4F3ndHJbWjHO4rVZX3mJNk
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,193200,4,1,4,0.00467,0.578,0.866,0.216,0.0805,-6.691,0.0326,0.528,129.227,spotify:track:03hvqPt6gyJH4EFOfpbPY1
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,193520,9,1,4,0.000138,0.416,0.819,0.00108,0.147,-3.974,0.0613,0.632,140.083,spotify:track:1gVVSmhWjci8l9Vrsl6HaS
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,235173,3,0,4,0.000379,0.352,0.972,0.0195,0.168,-3.39,0.13,0.371,125.102,spotify:track:1jUT2mNIfOYH1m5KLV2UbY
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,149573,9,0,4,0.000123,0.454,0.915,0.41,0.236,-2.253,0.0383,0.498,142.115,spotify:track:6qC1zyUXiHYI7SqQFqfweA
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,211401,11,0,4,0.0126,0.568,0.853,0.0000713,0.337,-7.276,0.113,0.662,166.072,spotify:track:7syjiyRgeBlnhJLLlswvM7
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,183533,1,1,4,0.869,0.491,0.199,0.0000136,0.112,-14.768,0.0326,0.136,116.822,spotify:track:4Ouxdctks6XOHH8R0t7G5X
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,163600,7,1,4,0.177,0.674,0.931,0.0000134,0.349,-3.259,0.0351,0.861,119.949,spotify:track:5Qp7UAfoilvlIwshjZWrUE
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,272387,4,0,4,0.25,0.499,0.563,0,0.125,-3.655,0.0293,0.378,163.022,spotify:track:5Wb2so09oeGK5YAaGJwt13
