playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,193400,7,1,4,0.0114,0.783,0.58,0.00000228,0.108,-6.548,0.0408,0.66,120.021,spotify:track:20I6sIOMTCkB6w7ryavxtO
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,219493,11,0,4,0.00417,0.727,0.937,0,0.091,-2.871,0.286,0.749,132.067,spotify:track:03UrZgTINDqvnUMbbIMhql
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,250080,5,0,4,0.186,0.61,0.863,0,0.097,-2.632,0.206,0.508,83.993,spotify:track:0J7385nYIZSg34lfJnFjT9
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,224653,0,1,4,0.0208,0.747,0.937,0,0.29,-5.746,0.0453,0.739,103.976,spotify:track:3bC1ahPIYt1btJzSSEyyrF
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,232947,5,0,4,0.0991,0.608,0.86,0,0.262,-5.324,0.0554,0.437,127.075,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,210613,11,0,4,0.149,0.746,0.728,0,0.245,-2.454,0.0736,0.718,125.027,spotify:track:1UgW0l9aia2l4SjQSGwF2q
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,187027,6,1,4,0.153,0.81,0.828,0.00000123,0.0852,-4.14,0.117,0.87,125.921,spotify:track:0UmXSUCoE2I67n8ERd0Hdi
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,201080,4,1,4,0.952,0.379,0.29,0.00106,0.118,-8.485,0.051,0.169,166.467,spotify:track:2hRMHB4ZEYrCBM0d0vVEdq
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,235613,6,0,4,0.0619,0.781,0.526,0,0.0457,-6.985,0.293,0.662,94.992,spotify:track:4YMqbFcDIFiCBd02PzUBcM
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,212862,11,0,4,0.112,0.612,0.84,0,0.116,-3.145,0.0509,0.438,129.042,spotify:track:2V65y3PX4DkRhy1djlxd9p
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,231387,4,1,4,0.0136,0.739,0.756,0,0.37,-4.828,0.0394,0.523,110.028,spotify:track:1ml03ZtwxEJJiEuIsjke7W
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,250627,10,1,4,0.02,0.378,0.638,0.0000766,0.0849,-5.576,0.075,0.735,184.086,spotify:track:5rgy6ghBq1eRApCkeUdJXf
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,254213,9,1,4,0.0374,0.661,0.744,0.0016,0.0667,-4.928,0.0505,0.37,100.139,spotify:track:5KrdYQS4U1Emzer8QShBE7
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,185093,11,1,4,0.562,0.592,0.637,0,0.13,-8.48,0.0992,0.565,159.701,spotify:track:5ubHAQtKuFfiG4FXfLP804
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,277040,0,1,4,0.0178,0.672,0.738,0.0000675,0.0927,-7.045,0.0506,0.392,107.938,spotify:track:67WTwafOMgegV6ABnBQxcE
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,205933,3,1,4,0.0239,0.56,0.872,0.00000698,0.371,-4.269,0.14,0.682,126.05,spotify:track:1kPpge9JDLpcj15qgrPbYX
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,199987,4,1,4,0.009,0.726,0.787,0,0.0596,-2.494,0.0737,0.888,124.99,spotify:track:4cluDES4hQEUhmXj6TXkSo
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,219467,5,0,4,0.0444,0.718,0.82,0,0.0846,-3.453,0.0323,0.613,92.998,spotify:track:0W1qOdPQCP5MCogLNm8cuo
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,193147,7,1,4,0.00957,0.628,0.676,0.0000265,0.121,-5.911,0.0916,0.75,85.984,spotify:track:6kISMRfweKSvgHR0urMQFG
