playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:4waAzspl6A8eY3VaNh852a,242773,10,0,4,0.407,0.761,0.717,0,0.114,-5.836,0.054,0.685,119.437,spotify:track:2376IJzmJ9UJY5wWLTce2I
spotify:playlist:4waAzspl6A8eY3VaNh852a,241840,4,1,4,0.36,0.617,0.84,0.0000885,0.179,-4.063,0.0512,0.57,94.676,spotify:track:3LI4MmibTkXH5cGpCGZgyw
spotify:playlist:4waAzspl6A8eY3VaNh852a,172333,4,0,4,0.012,0.841,0.97,0.0215,0.071,-3.955,0.0949,0.924,163.804,spotify:track:0V0A9vbHOLHbXKWE0oVBUC
spotify:playlist:4waAzspl6A8eY3VaNh852a,225973,7,1,4,0.00149,0.736,0.802,0.0876,0.14,-8.527,0.0663,0.871,119.854,spotify:track:2fzykVsO2Di5jnofUNX3YE
spotify:playlist:4waAzspl6A8eY3VaNh852a,271333,5,0,4,0.273,0.713,0.678,0,0.149,-3.525,0.102,0.734,138.009,spotify:track:7H6ev70Weq6DdpZyyTmUXk
spotify:playlist:4waAzspl6A8eY3VaNh852a,200253,11,0,4,0.102,0.809,0.777,0,0.0675,-4.478,0.0577,0.867,101.036,spotify:track:6gzrTG4OkeNnGks5R1bffM
spotify:playlist:4waAzspl6A8eY3VaNh852a,200560,8,0,4,0.0408,0.614,0.928,0.00104,0.0845,-4.806,0.0516,0.879,172.656,spotify:track:4r8lRYnoOGdEi6YyI5OC1o
spotify:playlist:4waAzspl6A8eY3VaNh852a,215093,11,0,4,0.000923,0.733,0.903,0.261,0.363,-4.855,0.0933,0.915,127.537,spotify:track:1WzPIvTHX1ThXzXlUnFDLW
spotify:playlist:4waAzspl6A8eY3VaNh852a,450456,9,0,4,0.000496,0.794,0.595,0.121,0.353,-9.125,0.0715,0.681,123.008,spotify:track:7iSYsQq0ywuHw03JBEf5HO
spotify:playlist:4waAzspl6A8eY3VaNh852a,196240,7,1,4,0.0313,0.79,0.68,0,0.194,-7.807,0.153,0.813,100.442,spotify:track:5siee1e4lz8uF51OokjglA
spotify:playlist:4waAzspl6A8eY3VaNh852a,234133,7,1,4,0.178,0.813,0.836,0.0000663,0.154,-4.23,0.0881,0.677,100.491,spotify:track:2YhE6xeWN0R9RVwEOG9lR1
spotify:playlist:4waAzspl6A8eY3VaNh852a,257693,9,1,4,0.0322,0.715,0.513,0,0.0651,-13.115,0.0338,0.543,97.999,spotify:track:5cPlWPuzNikg3xvmFPExEf
spotify:playlist:4waAzspl6A8eY3VaNh852a,340613,0,1,4,0.00722,0.583,0.637,0.0419,0.177,-6.464,0.0459,0.315,80.004,spotify:track:45V4Mk7vZV2b9JfSWuUX9m
spotify:playlist:4waAzspl6A8eY3VaNh852a,254973,7,0,4,0.00356,0.739,0.709,0,0.0848,-3.077,0.068,0.558,81.001,spotify:track:77tfHVcjhVnMI9oyL63tWW
spotify:playlist:4waAzspl6A8eY3VaNh852a,298933,11,0,4,0.0392,0.753,0.745,0.00321,0.0664,-5.698,0.0312,0.692,97.919,spotify:track:2jYDJD3CVByOe08jplCn7Y
spotify:playlist:4waAzspl6A8eY3VaNh852a,234733,4,1,4,0.63,0.488,0.721,0.0000287,0.333,-6.62,0.036,0.715,181.844,spotify:track:0w1cshxOoZvM0ZembJEEca
spotify:playlist:4waAzspl6A8eY3VaNh852a,230200,1,1,4,0.00543,0.771,0.685,0.00157,0.0537,-4.639,0.0567,0.683,88.997,spotify:track:4pmc2AxSEq6g7hPVlJCPyP
spotify:playlist:4waAzspl6A8eY3VaNh852a,239440,2,1,4,0.313,0.593,0.642,0.000582,0.0804,-7.284,0.0299,0.736,76.403,spotify:track:5TAf4lnZCZTLlZHNZMLFLi
spotify:playlist:4waAzspl6A8eY3VaNh852a,280627,1,1,4,0.000915,0.63,0.95,0.00000651,0.373,-4.012,0.0806,0.858,143.866,spotify:track:1uPrIHgYztXSkkcts9jet8
spotify:playlist:4waAzspl6A8eY3VaNh852a,,,,,,,,,,,,,,
spotify:playlist:4waAzspl6A8eY3VaNh852a,258560,7,1,4,0.0267,0.708,0.772,0,0.467,-4.264,0.0322,0.861,103.035,spotify:track:4pbyDPjFgfPqFTcIMC8xpK
spotify:playlist:4waAzspl6A8eY3VaNh852a,191960,0,1,4,0.0502,0.706,0.857,0.000717,0.657,-3.379,0.0357,0.83,128.974,spotify:track:0M14Pp5TThTSbqUPukLdmR
spotify:playlist:4waAzspl6A8eY3VaNh852a,253733,2,1,4,0.119,0.706,0.888,0.0000964,0.07,-6.959,0.0654,0.714,121.549,spotify:track:5Mmk2ii6laakqfeCT7OnVD
spotify:playlist:4waAzspl6A8eY3VaNh852a,224493,0,0,4,0.0263,0.551,0.913,0.0000135,0.347,-4.063,0.0466,0.544,119.992,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l
