playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,243773,0,0,4,0.216,0.815,0.438,0.000466,0.0787,-14.522,0.0346,0.552,108.965,spotify:track:28P5HAF0Kll9Xd9dX4qw7A
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,211533,7,1,4,0.594,0.562,0.438,0,0.377,-11.629,0.0352,0.336,127.387,spotify:track:1K7VLA9S2ZyFiEV7oeTc5g
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,156907,0,0,4,0.106,0.569,0.493,0,0.624,-9.112,0.0381,0.616,143.221,spotify:track:1tVzVPIcCFz5QUMGLPHJEc
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,216533,0,1,4,0.249,0.653,0.677,0,0.403,-12.244,0.0396,0.888,114.37,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,200173,8,1,4,0.744,0.589,0.418,0,0.135,-11.922,0.0363,0.398,102.664,spotify:track:3tuXXVxJgEgDV02OE28i9u
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,253200,4,1,4,0.124,0.674,0.913,0.0000106,0.139,-5.898,0.0521,0.968,148.891,spotify:track:4Gnl12vioGd6lgIjeYcMCl
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,175173,4,1,4,0.326,0.535,0.716,0,0.659,-5.025,0.0431,0.901,94.379,spotify:track:2Cdvbe2G4hZsnhNMKyGrie
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,236533,1,1,4,0.111,0.695,0.503,0.0134,0.0996,-12.91,0.0361,0.969,124.113,spotify:track:04ijIUVdT4Qy1SBWFUPROY
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,195293,2,1,4,0.249,0.521,0.743,0,0.096,-5.903,0.0338,0.451,117.129,spotify:track:375ntCG12wzCyfzclwYFwG
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,221413,4,1,4,0.662,0.561,0.42,0.0000026,0.186,-7.79,0.0272,0.27,72.319,spotify:track:7boKWlaNVmrhJdX8IbzUdD
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,230720,10,1,4,0.743,0.476,0.355,0,0.0865,-12.072,0.0417,0.405,121.652,spotify:track:5UoUV0hl7XaO71Er2VtnFn
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,205933,0,1,4,0.197,0.41,0.874,0,0.0843,-4.286,0.0907,0.824,107.08,spotify:track:6nWcEzyxDozQcmxMoNJtYx
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,307910,9,0,4,0.127,0.754,0.788,0.00000104,0.141,-7.271,0.0384,0.964,127.511,spotify:track:2amtGwpm9fo7HSL9INBn9t
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,215720,4,1,4,0.0213,0.494,0.683,0,0.288,-9.509,0.0323,0.474,115.441,spotify:track:4y3clu5ma91RfOLO5YYOIA
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,307400,2,1,4,0.00689,0.498,0.659,0.341,0.156,-11.189,0.0318,0.647,146.227,spotify:track:2ABwxq8apC7uJkd38PByPc
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,218960,9,1,4,0.042,0.785,0.737,0.000107,0.108,-5.306,0.0363,0.971,125.447,spotify:track:67eX1ovaHyVPUinMHeUtIM
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,167960,8,1,4,0.0444,0.608,0.864,0.00000295,0.0341,-7.101,0.0522,0.947,131.208,spotify:track:1GVnAD8Iz45rux6EC657Yv
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,261307,2,1,4,0.118,0.337,0.784,0.000452,0.4,-7.334,0.0359,0.212,134.109,spotify:track:1rSNjTJf2AsXnlj1I9a1fh
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,193780,7,1,4,0.0547,0.749,0.893,0.0000184,0.0539,-5.566,0.035,0.968,123.506,spotify:track:3YsjLfBqaMeX9vFIiQlnvk
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,221400,4,1,4,0.145,0.59,0.527,0,0.129,-12.945,0.0367,0.799,161.309,spotify:track:1FYTt8izKA8EMqhULwqOcU
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,274080,10,0,4,0.363,0.248,0.516,0.00000128,0.0541,-7.818,0.0387,0.363,201.861,spotify:track:4qM7gNZcWAWIy5Pre5rPPS
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,247960,9,1,4,0.139,0.909,0.544,0.00614,0.457,-11.692,0.0529,0.962,125.918,spotify:track:7ubq5fqmcPhfg1Q8s3HbbA
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,302413,5,0,4,0.274,0.641,0.821,0.477,0.138,-8.783,0.0324,0.705,161.143,spotify:track:28OaEH5Baa8RRloKvFGBWu
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,222320,11,0,4,0.129,0.739,0.459,0.0194,0.0474,-14.42,0.0294,0.892,107.115,spotify:track:3ZZq9396zv8pcn5GYVhxUi
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,229667,4,1,4,0.161,0.776,0.869,0.00000617,0.379,-5.762,0.079,0.871,132.657,spotify:track:7rTKdug0ScRi8brDZ3V7NZ
