playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:527BlW4koD42o92YquTbWn,184973,1,1,3,0.612,0.414,0.681,0.00000798,0.248,-3.992,0.036,0.538,102.338,spotify:track:7HWH4kGaHR3ZwKNFPT4dSW
spotify:playlist:527BlW4koD42o92YquTbWn,201000,4,1,4,0.612,0.392,0.185,0.00000289,0.0695,-15.472,0.0285,0.145,64.933,spotify:track:6MrILERJLA3Jcq0E9poZsp
spotify:playlist:527BlW4koD42o92YquTbWn,151440,11,0,4,0.0425,0.784,0.626,0.703,0.0645,-14.617,0.0572,0.952,136.886,spotify:track:6Z5wWOqBfk4G3bP1KF2Vbj
spotify:playlist:527BlW4koD42o92YquTbWn,516893,4,0,4,0.699,0.531,0.481,0,0.0842,-11.709,0.06,0.491,138.45,spotify:track:1fDsrQ23eTAVFElUMaf38X
spotify:playlist:527BlW4koD42o92YquTbWn,134200,0,1,3,0.987,0.534,0.455,0.845,0.168,-11.78,0.0318,0.775,112.605,spotify:track:2e9adbItriC7hhThtU7EsI
spotify:playlist:527BlW4koD42o92YquTbWn,192093,0,1,4,0.497,0.591,0.871,0.00491,0.0471,-6.38,0.039,0.965,153.786,spotify:track:5up9KPZw2576erDQ3xCmlc
spotify:playlist:527BlW4koD42o92YquTbWn,206333,5,1,4,0.826,0.541,0.305,0.00000229,0.148,-14.475,0.0385,0.515,146.596,spotify:track:3QCATKyR7mzqvQB750qNxs
spotify:playlist:527BlW4koD42o92YquTbWn,260666,0,1,4,0.731,0.311,0.0264,0.00205,0.156,-21.644,0.037,0.139,120.653,spotify:track:0SxFyA4FqmEQqZVuAlg8lf
spotify:playlist:527BlW4koD42o92YquTbWn,227267,5,1,4,0.666,0.502,0.279,0,0.121,-13.301,0.0269,0.33,97.966,spotify:track:4a3mIp7Mrmom2SXd3S81m7
spotify:playlist:527BlW4koD42o92YquTbWn,199813,3,1,4,0.379,0.144,0.375,0.913,0.194,-6.684,0.0406,0.0359,79.186,spotify:track:39KVdXz6ZlBhv9pv1fGuun
spotify:playlist:527BlW4koD42o92YquTbWn,144867,1,1,4,0.817,0.667,0.412,0,0.107,-7.544,0.0353,0.82,83.816,spotify:track:3tm6LVXZJg0lG4hQm5ytrT
spotify:playlist:527BlW4koD42o92YquTbWn,257027,2,1,4,0.57,0.419,0.354,0.00136,0.098,-16.101,0.0322,0.81,122.397,spotify:track:6kwOrSwpr6R6kLtz82dpbI
spotify:playlist:527BlW4koD42o92YquTbWn,217729,8,0,4,0.583,0.558,0.464,0.000133,0.159,-8.488,0.0354,0.559,171.762,spotify:track:4lHQCzdK3VdYQvQZnnRouG
spotify:playlist:527BlW4koD42o92YquTbWn,132533,11,1,4,0.338,0.763,0.674,0.00000202,0.0952,-5.842,0.0365,0.939,131.338,spotify:track:3W3YFrguAWe4dHpC3uKHel
spotify:playlist:527BlW4koD42o92YquTbWn,228333,9,1,4,0.691,0.304,0.469,0,0.34,-12.71,0.0501,0.576,167.1,spotify:track:4hLk7Bjz1XJWNDiqovvgBW
spotify:playlist:527BlW4koD42o92YquTbWn,199200,9,1,4,0.411,0.757,0.868,0.00221,0.355,-9.326,0.062,0.815,138.923,spotify:track:4OTw5splgMdlYklwHMHxLK
spotify:playlist:527BlW4koD42o92YquTbWn,231960,7,1,5,0.675,0.493,0.665,0,0.253,-10.922,0.27,0.738,105.376,spotify:track:5VqlXuFTkOx5OouaqsLyLw
spotify:playlist:527BlW4koD42o92YquTbWn,153640,8,1,4,0.534,0.715,0.546,0,0.0769,-9.753,0.0327,0.944,121.742,spotify:track:21kduC12lDUqlqnYKUsDXW
spotify:playlist:527BlW4koD42o92YquTbWn,187867,0,1,4,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,0.169,75.752,spotify:track:7pKfPomDEeI4TPT6EOYjn9
spotify:playlist:527BlW4koD42o92YquTbWn,193253,11,0,4,0.000292,0.71,0.314,0.785,0.0857,-10.666,0.082,0.401,129.124,spotify:track:5F40csF5DtKOGfEg8vuz1d
spotify:playlist:527BlW4koD42o92YquTbWn,226400,0,1,4,0.126,0.358,0.523,0.00000957,0.157,-11.791,0.0349,0.34,131.721,spotify:track:3V5PRBh6vhN5DbBZnj9i7a
spotify:playlist:527BlW4koD42o92YquTbWn,252240,11,0,4,0.686,0.654,0.506,0.0155,0.155,-17.18,0.0535,0.831,123.179,spotify:track:54eZmuggBFJbV7k248bTTt
spotify:playlist:527BlW4koD42o92YquTbWn,168533,4,1,3,0.765,0.341,0.325,0,0.3,-9.421,0.038,0.292,93.265,spotify:track:4wGKFjv7PUEZJsRk79wNKu
spotify:playlist:527BlW4koD42o92YquTbWn,189387,0,1,4,0.705,0.633,0.615,0,0.366,-7.775,0.0371,0.831,132.366,spotify:track:5yjuIx3UvOKHwLsCuM3DMM
spotify:playlist:527BlW4koD42o92YquTbWn,183933,9,1,4,0.26,0.495,0.307,0.0000521,0.103,-18.168,0.0403,0.802,80.97,spotify:track:4z51Gf7Ppt9Lmu5zmnUIz9
spotify:playlist:527BlW4koD42o92YquTbWn,165160,5,1,4,0.81,0.464,0.132,0.0000116,0.0994,-12.935,0.0283,0.303,68.152,spotify:track:3vZMkLS1jP7NdNhzqGfUSW
spotify:playlist:527BlW4koD42o92YquTbWn,191600,9,1,4,0.474,0.399,0.322,0.0000148,0.335,-14.021,0.037,0.33,145.743,spotify:track:4zK1pYVKMB13es6Bim0muF
spotify:playlist:527BlW4koD42o92YquTbWn,200000,7,1,3,0.622,0.424,0.321,0.0196,0.0903,-13.162,0.0312,0.405,133.126,spotify:track:3BqqF8suAIzW8655yJfcvh
spotify:playlist:527BlW4koD42o92YquTbWn,263173,9,1,4,0.346,0.507,0.373,0.00000729,0.092,-12.6,0.0259,0.594,82.952,spotify:track:1ke2Df0auUWdrP86EvCZul
