playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,206253,5,1,4,0.283,0.559,0.615,0,0.0957,-12.27,0.0473,0.68,87.601,spotify:track:12UzVR0M7asW2MHAZRJk0I
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,218600,7,1,4,0.82,0.472,0.407,0.00000181,0.0535,-10.867,0.038,0.623,97.427,spotify:track:4C4vwiOFwWFD4GW7oL2uOp
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,258411,0,1,4,0.157,0.659,0.678,0.00000669,0.0784,-8.18,0.0313,0.647,106.186,spotify:track:2DnJjbjNTV9Nd5NOa1KGba
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,164347,11,1,4,0.0314,0.578,0.663,0.142,0.288,-8.109,0.0286,0.842,100.368,spotify:track:4KLeKsGjuhusSMxY8pcRY8
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,235440,4,0,4,0.0263,0.621,0.8,0.0000151,0.0591,-7.284,0.0344,0.968,149.91,spotify:track:6WCeFNVAXUtNczb7lqLiZU
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,190507,7,1,4,0.462,0.48,0.818,0,0.365,-8.361,0.101,0.794,157.276,spotify:track:53RGKUb4zvhHaDCmjgUrIP
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,214400,10,0,4,0.017,0.646,0.831,0.91,0.422,-6.011,0.16,0.593,133.431,spotify:track:6K0kK40E7PA2i9LsGmVCfK
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,247640,10,1,4,0.122,0.431,0.543,0.000123,0.0598,-9.96,0.0394,0.44,77.507,spotify:track:71CXzHYYOyNqgtVFpNdeCS
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,198960,8,1,4,0.841,0.433,0.291,0.237,0.155,-13.869,0.0255,0.308,90.399,spotify:track:5KN7anq8hxbUj7rgGJgg5b
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,169333,0,1,3,0.587,0.528,0.336,0.00125,0.157,-15.077,0.0316,0.581,88.584,spotify:track:6fIyAkFRc73W3CxuxxtNdj
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,164000,2,1,3,0.67,0.506,0.348,0.000258,0.0572,-8.21,0.0281,0.322,95.752,spotify:track:0ddvRfQNzDeej0w9WVT44t
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,165160,5,1,4,0.81,0.464,0.132,0.0000116,0.0994,-12.935,0.0283,0.303,68.152,spotify:track:3vZMkLS1jP7NdNhzqGfUSW
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,205880,0,1,4,0.408,0.392,0.681,0.0000231,0.375,-8.723,0.0367,0.711,171.162,spotify:track:3l2hbXdvmaH3tUd3qWLKgm
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,179173,10,1,4,0.806,0.379,0.343,0,0.0991,-12.993,0.0385,0.694,184.301,spotify:track:1Ehdm1PDlKrdfyBsjwEvd1
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,156493,6,1,4,0.663,0.552,0.265,0.00729,0.139,-12.022,0.0312,0.322,104.477,spotify:track:2eQPLfiQEos0sFEOZGRzQu
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,139227,11,1,4,0.518,0.392,0.449,0,0.431,-9.096,0.0277,0.398,80.223,spotify:track:3gAdXCoPRBhIGRoa7XdyUq
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,286920,5,0,4,0.727,0.477,0.381,0,0.0615,-10.237,0.0342,0.329,121.568,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,150053,6,1,4,0.649,0.453,0.336,0,0.223,-12.762,0.0759,0.413,84.66,spotify:track:1yUG9IGqlsocIfxcAZ132X
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,272000,9,0,4,0.67,0.429,0.554,0.000152,0.105,-6.128,0.0291,0.407,136.302,spotify:track:1GcVa4jFySlun4jLSuMhiq
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,195120,6,1,4,0.403,0.554,0.62,0,0.128,-8.13,0.0456,0.791,128.854,spotify:track:7cbYx1iSCstX5W0YkKDK0c
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,191800,11,0,4,0.383,0.68,0.608,0,0.387,-10.505,0.342,0.696,69.796,spotify:track:3V6i8cMWu7Vd4Vk9BiUOiV
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,318853,7,1,4,0.0437,0.548,0.877,0.000013,0.0921,-4.458,0.124,0.466,148.799,spotify:track:1QQgSUKCG8GakzMOwi4lFS
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,192467,9,1,4,0.0531,0.709,0.79,0.000304,0.167,-9.435,0.0714,0.847,124.355,spotify:track:3TK5wUTKTBJZ8GqhedjTtv
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,247733,5,1,4,0.431,0.41,0.361,0.000174,0.0779,-14.061,0.0351,0.134,120,spotify:track:0Oj0TT23GBH2XuHAaSsloH
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,172160,1,1,4,0.524,0.527,0.702,0.0000143,0.0833,-9.271,0.177,0.611,170.565,spotify:track:1IbElKiARztcn0HvvKP28Z
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,161707,6,1,4,0.608,0.427,0.478,0,0.0924,-6.169,0.03,0.281,89.281,spotify:track:74NGDmt0oXeXesxoUGASTz
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,194880,9,1,4,0.409,0.417,0.484,0.959,0.0663,-8.781,0.0791,0.501,149.79,spotify:track:4xxn8GDqs7RUwgZTNznXNp
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,206907,0,1,3,0.112,0.459,0.515,0.00415,0.158,-9.543,0.0246,0.48,101.706,spotify:track:1UfBHvzFNDZ9m0tak8enie
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,283867,2,1,4,0.703,0.55,0.109,0.0000979,0.11,-18.288,0.0351,0.113,115.589,spotify:track:1uBmCzjv5olQzVtH1Qh1DE
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,217907,1,1,4,0.273,0.513,0.347,0.0417,0.0805,-13.506,0.029,0.52,78.811,spotify:track:5mXxGgaqcH9KNf5K0OKd5W
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,207827,7,1,4,0.0704,0.647,0.707,0.000047,0.0875,-8.496,0.046,0.818,134.123,spotify:track:1Am9G7F2qJq4EtD65ALTEf
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,160333,0,1,4,0.0225,0.556,0.624,0,0.29,-10.508,0.0355,0.756,109.748,spotify:track:3XLKQNf7Vusx0tM5zY1KEU
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,167813,11,1,4,0.192,0.735,0.522,0.591,0.0787,-9.434,0.033,0.925,107.704,spotify:track:1CRtPEP5cePJIhlsjvwj8F
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,159867,1,1,4,0.511,0.77,0.888,0.00000839,0.0472,-6.564,0.0342,0.919,124.659,spotify:track:1kX0JVbq1lG9VZNiLF3Bwz
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,175827,5,1,4,0.382,0.623,0.725,0,0.071,-8.642,0.0323,0.889,77.492,spotify:track:4gAM42kOXFw9TJbSsRvWAj
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,193773,7,1,5,0.272,0.431,0.513,0.00228,0.114,-10.471,0.0624,0.226,154.105,spotify:track:6vVgOdyL2TD9jMqXB296Io
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,274307,1,1,4,0.712,0.373,0.287,0.502,0.129,-15.71,0.0329,0.18,86.033,spotify:track:6B0Tw3hiQyOkQLXuMC07fl
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,207413,6,1,4,0.454,0.355,0.615,0,0.0477,-7.21,0.0314,0.603,137.19,spotify:track:4sIkDCqNjTubfb5UVs8lEA
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,269107,4,0,4,0.465,0.195,0.483,0.497,0.0686,-4.991,0.03,0.173,84.71,spotify:track:6L5BZEcZmD6RBJnimzlyKr
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,241747,11,0,4,0.00321,0.62,0.88,0.00198,0.0438,-6.767,0.0816,0.828,108.607,spotify:track:61ZVP6ytLwYnbLonbJtzR6
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,180653,0,1,4,0.0717,0.642,0.63,0.000012,0.178,-13.485,0.0493,0.966,141.615,spotify:track:3cvjNln5Ku9sotUhz3DMat
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,150600,7,1,3,0.755,0.602,0.503,0,0.143,-5.021,0.0236,0.612,96.63,spotify:track:4xjDNzrcQ8eJFwb9o9wcpp
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,164547,9,0,4,0.542,0.401,0.493,0,0.331,-11.582,0.0415,0.921,205.609,spotify:track:3wXatbpQ57Nb9iEBuHmolP
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,200867,9,1,4,0.00331,0.453,0.887,0.00645,0.0899,-7.133,0.343,0.83,152.832,spotify:track:3BtK0dgY9kvVmwr0VXvk7m
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,541307,5,1,4,0.304,0.591,0.534,0.592,0.108,-15.107,0.0395,0.579,101.385,spotify:track:13P2aPsJqteTyBMaYCMIBi
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,162000,2,1,4,0.438,0.659,0.632,0.000104,0.0673,-6.928,0.044,0.711,124.181,spotify:track:6wJzkCVVFrCJ1Kdneeynsz
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,240080,8,1,4,0.0994,0.34,0.557,0,0.49,-8.863,0.0342,0.756,73.336,spotify:track:1GNXKxf8dip6vPukn0R5lP
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,208360,5,1,4,0.0904,0.734,0.519,0.171,0.369,-8.966,0.0416,0.851,121.458,spotify:track:5ppySBXXkUzmr1jplNTWOC
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,157987,4,1,4,0.626,0.634,0.341,0,0.107,-9.93,0.0319,0.611,127.996,spotify:track:1jkG1SiMm7WouGZox0lYMl
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,233413,2,1,4,0.00157,0.643,0.765,0.00977,0.169,-8.602,0.0933,0.868,137.979,spotify:track:5DPVU9xTKDC2CizYp5WXT2
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,302333,9,1,4,0.178,0.359,0.945,0.0000154,0.344,-5.176,0.0785,0.518,137.372,spotify:track:6cg3CWWHTui9KAew9dHIjT
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,218200,3,1,4,0.769,0.341,0.252,0.0147,0.248,-14.287,0.0284,0.324,89.284,spotify:track:0Z2DP1nNe9XclBCiBYeEMX
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,239760,4,1,4,0.0155,0.617,0.696,0.000199,0.108,-12.739,0.0282,0.9,111.136,spotify:track:1hwN2eAwsXgktvw9Qe8TrP
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,234667,0,1,4,0.38,0.688,0.477,0.0000493,0.0864,-11.945,0.029,0.897,132.071,spotify:track:1BvJmtaXsqtH438BcDPeBb
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,137173,0,1,4,0.659,0.658,0.647,0,0.174,-6.787,0.137,0.825,98.49,spotify:track:7MuMALGZV3KhVA9AS9TFup
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,318813,0,1,4,0.0748,0.299,0.443,0.000138,0.177,-12.621,0.0346,0.434,139.539,spotify:track:72Z17vmmeQKAg8bptWvpVG
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,152187,2,1,4,0.859,0.682,0.64,0.00192,0.39,-12.943,0.104,0.795,126.91,spotify:track:7aE7CR7MuSgKQvBvuajzm7
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,195027,0,1,4,0.726,0.428,0.458,0.00000677,0.119,-6.779,0.0267,0.251,146.845,spotify:track:3vGXU8AxtVrlHrmiIM9qRN
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,214867,2,1,4,0.872,0.559,0.323,0.000253,0.118,-13.495,0.0303,0.536,109.777,spotify:track:3VrgdoAzs5plHzLlVGlJJt
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,205973,9,1,4,0.171,0.53,0.516,0.0000236,0.082,-9.192,0.0337,0.66,129.982,spotify:track:6gMiDnZM996kOjcVXJbRK9
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,156440,4,1,4,0.901,0.462,0.371,0.0092,0.133,-15.326,0.0443,0.506,89.976,spotify:track:0g8CHbsID9fZ8eDstzYtHi
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,198907,7,0,4,0.035,0.504,0.554,0.0000626,0.0807,-6.658,0.0283,0.347,117.216,spotify:track:2XRQ1pdkufRORA1UQRNIQA
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,326609,1,1,4,0.376,0.496,0.497,0.0105,0.097,-12.281,0.0282,0.669,95.473,spotify:track:1nspp6wYG65GQONsOxmp6p
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,233533,4,1,4,0.672,0.254,0.38,0,0.379,-13.806,0.0337,0.408,168.496,spotify:track:3wM6RTAnF7IQpMFd7b9ZcL
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,185733,7,1,4,0.617,0.633,0.655,0.00000279,0.113,-11.514,0.0312,0.967,146.868,spotify:track:3NWpG50DNlO8IiVdx6Ig3w
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,198520,4,1,4,0.00408,0.523,0.776,0.000655,0.111,-6.592,0.175,0.524,126.42,spotify:track:2eJnuWeovO5DBmPgGo6MEw
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,204760,7,0,4,0.552,0.457,0.561,0.505,0.362,-10.309,0.029,0.631,81.383,spotify:track:0qDUJiDCBIKn6n8km7KvUO
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,208627,2,1,4,0.000123,0.249,0.939,0.00000424,0.214,-9.152,0.259,0.233,156.994,spotify:track:1yyvZbzPQzRx8OqEuUsRin
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,213973,10,1,4,0.0583,0.553,0.66,0,0.0872,-6.474,0.028,0.889,132.29,spotify:track:2RN8299MhTt1DDaD8uYQSm
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,150133,4,0,4,0.0516,0.542,0.737,0,0.0681,-7.988,0.0497,0.762,130.473,spotify:track:6Vo8OXQXCabNPD4z4wp7Is
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,235533,7,1,4,0.118,0.305,0.36,0.0000141,0.261,-17.126,0.0321,0.365,146.822,spotify:track:356YQb5vrZLxSxSMZlw80U
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,178200,11,1,4,0.823,0.519,0.46,0.0000597,0.243,-14.53,0.0688,0.675,132.082,spotify:track:0n2pjCIMKwHSXoYfEbYMfX
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,195133,2,1,4,0.597,0.744,0.763,0.0000824,0.0671,-10.127,0.0263,0.978,98.568,spotify:track:1R9PClOz43Ldu8PgFtEiEx
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,204107,7,1,4,0.603,0.47,0.437,0.00116,0.526,-16.041,0.0346,0.852,161.559,spotify:track:3xc5ggIw7OQmm14icINgcz
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,233507,9,1,4,0.124,0.626,0.565,0,0.0811,-10.027,0.0271,0.924,116.61,spotify:track:6tunhVGD8C05MZNjSVIsjw
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,225000,7,0,4,0.0113,0.422,0.955,0.0458,0.107,-4.73,0.101,0.27,138.038,spotify:track:2Gp23sr178DBntGtqKnJez
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,281000,4,1,4,0.624,0.268,0.344,0.0271,0.342,-15.614,0.0454,0.429,168.677,spotify:track:0LjdDekNQzCC6n5wac2JEC
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,212960,9,1,4,0.00179,0.565,0.964,0.000497,0.0511,-5.227,0.0569,0.944,134.589,spotify:track:13TaidohzokqtEJzspsZSY
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,242347,7,1,4,0.637,0.538,0.73,0,0.126,-7.022,0.03,0.558,134.514,spotify:track:5djwPnr9kffOaIr7SmmOFK
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,284907,8,1,3,0.234,0.296,0.528,0,0.147,-10.011,0.0465,0.453,200.62,spotify:track:6Ro2z4RtAUew9Kz2HZWZUi
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,215693,5,1,4,0.497,0.373,0.57,0.0124,0.128,-11.56,0.0441,0.631,81.28,spotify:track:4XMRt4xFqLzGs4wDKkSSeu
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,174040,3,1,4,0.0229,0.473,0.697,0,0.0396,-6.253,0.03,0.894,77.181,spotify:track:0K1ddNp1ev0zdik1EzuxkT
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,176918,2,1,4,0.26,0.552,0.672,0.0000104,0.142,-8.823,0.0376,0.835,129.115,spotify:track:0dAFQEbrg5ge3Qm37Vocdv
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,264880,7,1,4,0.00155,0.398,0.86,0.683,0.154,-4.574,0.0663,0.564,138.09,spotify:track:1agVrzicFWExgEiAtk8lmr
