playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,252960,9,1,4,0.627,0.354,0.535,0.0000029,0.0808,-8.876,0.0303,0.434,110.821,spotify:track:4BM8yJ0PzBi2ZewpMTOxtx
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,354320,0,0,4,0.271,0.414,0.404,0,0.3,-9.928,0.0499,0.224,71.105,spotify:track:4u7EnebtmKWzUH433cf5Qv
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,230400,9,1,4,0.358,0.543,0.87,0.000939,0.792,-6.514,0.0428,0.754,100.804,spotify:track:0GjEhVFGZW8afUYGChu3Rr
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,225560,5,1,4,0.43,0.405,0.703,0.0000103,0.135,-4.717,0.0348,0.651,108.855,spotify:track:78K0CsNamJ1LdSrWO7CxCn
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,275440,5,1,4,0.149,0.729,0.844,0.00000287,0.0604,-8.824,0.0344,0.777,131.459,spotify:track:7HW5WIw7ZgZORCzUxv5gW5
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,180067,2,1,4,0.524,0.788,0.673,0,0.312,-13.027,0.111,0.837,123.138,spotify:track:1XIXkp7bJDMQeINqrKgMjq
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,186427,9,0,4,0.535,0.787,0.704,0.00305,0.089,-6.873,0.0385,0.646,120.701,spotify:track:3lKN03PDeBnXZS7sDukRBt
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,232947,10,0,4,0.0555,0.767,0.846,0.0000448,0.0436,-9.014,0.066,0.912,103.703,spotify:track:5PoMpQ3ItAwMWCyHI7OpuO
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,179200,9,1,4,0.0558,0.785,0.734,0.00077,0.101,-11.003,0.0413,0.975,119.818,spotify:track:7l71t0NxtRMm8mpcSkruB7
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,230600,5,1,4,0.857,0.68,0.543,0.000116,0.0881,-14.876,0.141,0.796,111.62,spotify:track:6dGWq08LXuIw6T2oUeHECh
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,236173,11,1,3,0.425,0.517,0.717,0.0000733,0.164,-7.786,0.0541,0.767,136.731,spotify:track:4h0Mdpmg9VXarbLIGPqJUs
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,198907,0,0,3,0.793,0.359,0.475,0.144,0.484,-11.327,0.0615,0.512,167.195,spotify:track:49ZZgZ5GnmydSh8hqKt8o1
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,277733,10,1,4,0.208,0.612,0.718,0.000618,0.162,-9.284,0.0345,0.653,123.324,spotify:track:5XLiZVn2EMJ1212SzbJBwJ
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,184733,11,1,4,0.537,0.691,0.857,0,0.502,-4.68,0.0872,0.741,132.753,spotify:track:0Xb6Q1bGZnDnzRgicBHBRJ
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,327453,0,1,4,0.191,0.356,0.285,0.00000261,0.103,-13.533,0.0292,0.286,153.442,spotify:track:6t3BeI1Z6OnCVr2rNwfQAl
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,202387,5,1,4,0.251,0.415,0.713,0.00197,0.289,-5.55,0.0278,0.579,125.056,spotify:track:6yZv0Nl6BXABbXoPVpfF5y
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,204000,11,1,4,0.198,0.614,0.939,0,0.537,-10.446,0.0608,0.663,139.072,spotify:track:1b7TmekgFEUsy5Rso9YOOt
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,233653,2,1,4,0.0363,0.534,0.956,0,0.0338,-4.339,0.112,0.718,138.166,spotify:track:22yw6rIyhtDr08Dfh3ipwA
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,184880,4,0,4,0.0761,0.561,0.889,0.00000742,0.143,-4.154,0.0608,0.856,137.758,spotify:track:4l9VeOgjTRo6i8sE847ib3
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,199933,7,1,4,0.781,0.864,0.549,0.0143,0.0996,-9.741,0.0555,0.718,105.045,spotify:track:0uN4g8yIAUpbyjcLhn79t7
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,235373,11,1,4,0.0193,0.429,0.564,0.000828,0.128,-6.784,0.0268,0.276,104.212,spotify:track:0KMGxYKeUzK9wc5DZCt3HT
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,201093,1,1,4,0.058,0.727,0.588,0.00000546,0.0414,-9.568,0.0253,0.964,104.413,spotify:track:7ePFDzrnLt3Ynqgy2UFWri
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,188333,0,1,4,0.0567,0.363,0.741,0.00000683,0.294,-8.195,0.0456,0.465,96.453,spotify:track:5xMlTMjTEtFEJu7mlp0uDc
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,228763,0,1,4,0.011,0.838,0.496,0.0078,0.0862,-15.348,0.142,0.961,122.039,spotify:track:31UBcyZkwJRy2ZV5XpMlxh
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,232533,11,1,4,0.732,0.598,0.525,0,0.306,-9.815,0.215,0.791,128.244,spotify:track:2aa37jRL4DRFvDs8og3uun
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,214576,0,1,4,0.0792,0.71,0.792,0.0000332,0.0871,-5.996,0.0453,0.858,116.687,spotify:track:2oRn0QuaWQ1hragGQ7XZ9s
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,,,,,,,,,,,,,,
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,213267,2,1,4,0.295,0.749,0.748,0.000443,0.469,-7.011,0.0323,0.827,137.547,spotify:track:2TxCwUlqaOH3TIyJqGgR91
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,195800,0,1,4,0.024,0.638,0.784,0.000402,0.19,-7.851,0.0398,0.741,121.89,spotify:track:5fPgZkaDR5VfkObCsQfbLv
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,202280,9,1,4,0.291,0.547,0.793,0,0.329,-7.78,0.0307,0.708,119.298,spotify:track:4t9EUCjCPbdfqtOH25k8AU
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,204387,10,1,4,0.352,0.478,0.675,0,0.351,-7.216,0.0487,0.588,111.898,spotify:track:7ldBK6MgppLGQB9S9mxXza
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,192267,5,1,4,0.49,0.692,0.653,0.00707,0.455,-5.715,0.0392,0.901,148.018,spotify:track:00s8dO3RWrFkBqC9JIy6ag
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,244920,5,1,4,0.522,0.791,0.734,0.00165,0.167,-5.464,0.0629,0.962,105.854,spotify:track:714hERk9U1W8FMYkoC83CO
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,266733,10,1,4,0.555,0.645,0.42,0,0.125,-10.09,0.0624,0.583,129.084,spotify:track:0rHiGIRASJq8snJGFJMpnI
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,180813,2,1,4,0.131,0.535,0.652,0.00000238,0.294,-10.804,0.0408,0.774,131.401,spotify:track:5mr5BYMh6C0eb8oUwUrZZl
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,340040,9,0,4,0.00628,0.402,0.618,0.183,0.157,-11.196,0.0437,0.49,114.641,spotify:track:2RSP1teKYl4q959OinwJeT
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,,,,,,,,,,,,,,
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,154173,7,1,4,0.21,0.561,0.719,0.000476,0.428,-11.333,0.0303,0.963,137.93,spotify:track:3lm0QsdpQrypDUbHexpVWK
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,167107,5,1,4,0.916,0.631,0.205,0.0000737,0.25,-15.95,0.0323,0.691,101.59,spotify:track:4rbLEm6ZgW2Xk9qocVuSaA
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,248360,7,0,4,0.13,0.653,0.652,0.0000158,0.202,-9.304,0.0427,0.846,115.388,spotify:track:3MFa9idQuY4iJLWsZl3tIQ
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,222400,3,1,3,0.658,0.394,0.243,0.00603,0.085,-14.664,0.0302,0.504,173.365,spotify:track:20JcxdRw8gvqTY1EEpYxHb
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,208000,7,0,4,0.19,0.925,0.875,0.00495,0.0287,-5.743,0.0371,0.973,132.8,spotify:track:0vE1E6ZNJGlCHPe95z5Orl
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,198613,7,1,4,0.0779,0.608,0.751,0.00143,0.321,-7.832,0.0408,0.59,124.028,spotify:track:0XSqEI5S1PGOiDWkr2mGbl
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,184733,7,1,4,0.303,0.544,0.556,0,0.107,-11.006,0.0887,0.835,184.809,spotify:track:0E19RAvUkhjMM0rdICkidE
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,232120,7,1,4,0.00693,0.442,0.491,0.00491,0.114,-6.598,0.0246,0.125,79.954,spotify:track:5g1rzUEyVFNr2i4ifEjlVN
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,194413,4,1,4,0.103,0.797,0.627,0.0000291,0.0873,-10.314,0.063,0.966,116.811,spotify:track:093Yob0qYlv7p4KdOXbkB4
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,183933,9,1,4,0.149,0.679,0.593,0.0001,0.54,-13.018,0.0366,0.963,99.421,spotify:track:6XYerLIb6ttV1E2Cyjrx4S
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,198760,3,1,4,0.0611,0.679,0.553,0.00000716,0.139,-14.687,0.0316,0.946,109.071,spotify:track:064SVQsmWl5EF0zahmzkQk
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,184733,9,1,4,0.0128,0.558,0.882,0.0000878,0.093,-9.123,0.0348,0.972,137.078,spotify:track:5fmvZgUFuUq1SnzT3S6y4o
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,202253,5,0,4,0.354,0.622,0.595,0,0.145,-11.485,0.0419,0.461,95.967,spotify:track:39Tg3supgkQOiyS43KiSOa
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,183667,5,0,4,0.0791,0.656,0.9,0.00142,0.354,-9.583,0.0354,0.947,108.698,spotify:track:3P2zU7fEjnZRunH124QnJL
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,234547,5,1,4,0.814,0.273,0.44,0.000441,0.0716,-7.417,0.0273,0.317,143.326,spotify:track:3XmIxdK4YX8m94XWmwKheA
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,179213,9,1,4,0.0124,0.57,0.815,0.00871,0.0834,-5.372,0.0322,0.926,121.726,spotify:track:0u0uy6TFMVyJontccvn8Io
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,512733,0,1,4,0.0409,0.509,0.827,0,0.12,-7.715,0.079,0.743,135.601,spotify:track:1lqMLr9Wj7SM2F9AikGcxN
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,154427,2,0,4,0.317,0.635,0.874,0.0582,0.243,-5.047,0.0402,0.939,138.456,spotify:track:2LKVqj0hkZsqQTOuWypM1c
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,193040,5,1,4,0.494,0.483,0.439,0,0.104,-11.756,0.0304,0.767,147.07,spotify:track:5Yq58BC5k14EVUJ63cmg8g
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,277960,11,1,4,0.372,0.43,0.374,0.379,0.316,-9.949,0.0292,0.191,128.56,spotify:track:6OuRbvP4PgbuzBIapVzmFJ
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,215653,2,1,4,0.0577,0.634,0.958,0.000242,0.103,-8.086,0.0577,0.969,132.823,spotify:track:6dlEzWGKXrUPuIzdCjEu3c
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,207373,10,1,4,0.424,0.691,0.382,0.000506,0.201,-10.745,0.136,0.763,183.534,spotify:track:0boctXTmA3IAzm2mPiJzOt
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,168840,1,1,4,0.0468,0.654,0.929,0,0.0539,-5.906,0.0998,0.902,144.774,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,235333,7,1,4,0.157,0.643,0.843,0.000342,0.657,-7.25,0.0304,0.565,111.786,spotify:track:4nZQNbCTCy4CtYk64VdInu
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,228627,4,1,4,0.00736,0.546,0.879,0.00143,0.12,-5.637,0.0578,0.354,130.784,spotify:track:3rJ4vGBVEjli56mpmpTWiD
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,280960,9,1,4,0.00953,0.572,0.835,0.0144,0.012,-5.552,0.079,0.591,131.567,spotify:track:5UKeFkVeUfvP6S43I8s9mt
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,161797,0,0,4,0.733,0.659,0.448,0,0.348,-10.733,0.026,0.668,111.308,spotify:track:1dbNs7PKs01oilRudlfCVV
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,205093,5,1,4,0.337,0.447,0.7,0,0.276,-5.619,0.0356,0.36,143.211,spotify:track:6zeMncKmW5vFU5Zc9SYU9N
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,225038,4,1,4,0.0142,0.503,0.576,0.00294,0.187,-6.829,0.0463,0.454,119.708,spotify:track:3cXO1BNBUvqaO5rR19PDKT
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,271627,7,0,4,0.721,0.442,0.398,0.763,0.488,-10.778,0.0315,0.178,115.962,spotify:track:6G3DBTj1s8fuKMAvzTK5JI
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,150507,9,1,4,0.296,0.62,0.662,0.0000221,0.411,-8.711,0.03,0.78,132.148,spotify:track:6BT7PSDzVcsoP23QrLx9QV
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,207907,2,1,4,0.00547,0.543,0.909,0.0147,0.154,-5.299,0.0385,0.841,130.904,spotify:track:5UoBGPQQ5IngRDLR0PIUBA
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,181533,2,1,4,0.089,0.622,0.886,0.153,0.0292,-5.846,0.0322,0.921,153.079,spotify:track:06yREZ9X92R2e9RJpdzZ2O
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,197747,9,1,4,0.217,0.548,0.388,0.000041,0.119,-12.671,0.0282,0.358,117.633,spotify:track:7iGD3pHWjM9gU0LrSqzMJa
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,176387,4,1,4,0.0684,0.532,0.968,0,0.0888,-5.212,0.0791,0.59,135.792,spotify:track:44Jn1mUFl0gPLhgjakAsGd
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,180773,2,1,4,0.0107,0.45,0.587,0.00000573,0.0624,-11.187,0.0422,0.492,118.149,spotify:track:20jLDIyJrTOSletWud3KRv
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,205267,9,0,3,0.633,0.628,0.264,0,0.0809,-16.125,0.0275,0.312,106.271,spotify:track:3u15HIfwOuesnY5Bn27eXm
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,196587,0,1,4,0.31,0.574,0.748,0.0000172,0.0613,-7.716,0.0305,0.784,129.16,spotify:track:4Fy4t1K5SisZTO97mTvxXc
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,230467,9,1,4,0.133,0.59,0.885,0.173,0.585,-8.137,0.0526,0.942,90.266,spotify:track:5KC5lailJiaY7UI3pewtV7
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,293427,4,0,4,0.037,0.328,0.404,0.00132,0.118,-13.492,0.0465,0.351,174.857,spotify:track:4n5OffovRDKJG608FXl5yP
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,301227,3,1,4,0.133,0.456,0.863,0.0538,0.0553,-3.551,0.0894,0.532,135.962,spotify:track:7nemcVsXVFZF01iqpIIo2Y
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,208467,0,1,4,0.125,0.306,0.512,0.0000163,0.63,-8.512,0.0298,0.299,181.935,spotify:track:76JxERY5uyd6Uad9bc2kDv
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,196507,0,1,4,0.549,0.624,0.591,0,0.104,-11.084,0.275,0.632,122.124,spotify:track:55pdXiMNJNQxehrjkcwmYL
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,220400,8,0,4,0.341,0.74,0.517,0,0.0486,-13.33,0.0362,0.919,96.041,spotify:track:2wnx10JlIHANnWlvcMqpZE
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,174733,7,1,4,0.586,0.298,0.419,0.00000181,0.306,-13.139,0.0351,0.467,185.773,spotify:track:0IyaUK4bo54AnnNVhS9RSW
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,224387,4,0,4,0.415,0.392,0.383,0.00000323,0.126,-8.972,0.0267,0.216,80.472,spotify:track:6OfAaE2skMyNtZtzhlpA5q
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,206893,11,1,4,0.27,0.642,0.899,0,0.383,-13.181,0.0513,0.617,133.101,spotify:track:4rlFStdfgdRDjSvIrfSVVn
