playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,220293,5,0,4,0.103,0.622,0.807,0,0.306,-6.752,0.408,0.892,174.06,spotify:track:6x4tKaOzfNJpEJHySoiJcs
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,211067,0,0,4,0.202,0.759,0.699,0.000131,0.443,-5.745,0.0307,0.907,92.96,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,219618,7,0,4,0.227,0.829,0.965,0.000122,0.466,-11.498,0.0598,0.729,127.999,spotify:track:7lMIJ4EFWRVoAIPDpeGyM3
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,195467,7,1,4,0.363,0.622,0.692,0.000158,0.193,-6.97,0.0276,0.774,112.053,spotify:track:0QnONzv3TvHAWk294h6DaQ
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,188667,11,0,4,0.088,0.723,0.895,0,0.0717,-3.707,0.102,0.963,143.373,spotify:track:3SFXsFpeGmBTtQvKiwYMDA
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,239027,6,1,4,0.0082,0.652,0.917,0,0.0509,-6.72,0.0548,0.459,132.975,spotify:track:2goLsvvODILDzeeiT4dAoR
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,227027,10,0,4,0.00153,0.802,0.922,0.01,0.23,-6.546,0.0416,0.899,124.495,spotify:track:3qmXmmRlYJUw0oDmasNRu9
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,267200,10,0,5,0.194,0.735,0.821,0,0.0872,-5.905,0.0413,0.961,125.005,spotify:track:4OzQg5IcAkBxQV6Awq2T0y
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,172467,5,1,4,0.0674,0.766,0.882,0.0000023,0.281,-4.478,0.0719,0.544,107.932,spotify:track:0sNKiz82ATCvT3f3XVVUUj
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,217573,1,1,4,0.21,0.627,0.8,0.000123,0.137,-6.945,0.162,0.912,175.815,spotify:track:11mwFrKvLXCbcVGNxffGyP
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,294987,9,1,4,0.16,0.609,0.923,0.00000473,0.295,-3.908,0.0338,0.961,115.996,spotify:track:0n2SEXB2qoRQg171q7XqeW
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,214400,8,0,4,0.0251,0.743,0.675,0.000717,0.0685,-4.267,0.0953,0.59,92.909,spotify:track:1KGi9sZVMeszgZOWivFpxs
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,179212,11,1,4,0.0563,0.819,0.798,0,0.426,-7.804,0.0399,0.931,110.798,spotify:track:3cd1ImkXWJdXmWQnpvvUEC
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,213600,4,1,4,0.333,0.679,0.903,0,0.372,-4.914,0.0463,0.872,108.114,spotify:track:3v0uXfyMEZ1lGvBOv1Y4ar
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,256827,7,1,4,0.161,0.456,0.448,0.00000119,0.0811,-10.665,0.0251,0.418,173.885,spotify:track:0gcjc7Vt5xtcfmJgf6g2IO
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,266000,11,0,4,0.0645,0.68,0.625,0.0000581,0.109,-7,0.0353,0.814,94.02,spotify:track:3x4yV0hW5Ve3TKhFkXSqFn
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,222459,8,1,4,0.0148,0.785,0.931,0.637,0.0459,-4.813,0.0465,0.969,135.986,spotify:track:3UL6Lzsocv9Ucizgzid2B0
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,278000,6,1,4,0.0639,0.652,0.669,0.00000383,0.0671,-7.663,0.037,0.834,116.088,spotify:track:5TuzQ44lPWTCKbfXbNIEXg
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,208680,3,1,4,0.023,0.526,0.749,0.00000176,0.0692,-6.964,0.0283,0.421,99.982,spotify:track:754kgU5rWscRTfvlsuEwFp
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,231001,0,1,4,0.0974,0.846,0.879,0.0252,0.35,-6.25,0.0303,0.901,130.01,spotify:track:4abEcEslcRjBS6xSZh9naQ
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,243160,1,0,4,0.00411,0.425,0.954,0,0.0555,-3.756,0.0476,0.933,178.043,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,245067,10,1,4,0.42,0.745,0.742,0,0.102,-5.693,0.0259,0.806,95.996,spotify:track:1UI0l2L66HJ9AtoEOlHzv4
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,281320,2,1,4,0.299,0.252,0.535,0,0.102,-8.666,0.0372,0.0396,186.327,spotify:track:6ak9eBEt7YV2fW16gehBrp
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,202571,11,0,4,0.0134,0.811,0.935,0.411,0.0244,-4.595,0.0407,0.968,138.479,spotify:track:2Ld2LehpgQNREMxl9LlIzm
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,213307,6,0,4,0.257,0.689,0.694,0,0.148,-5.83,0.027,0.482,99.039,spotify:track:47BBI51FKFwOMlIiX6m8ya
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,232827,0,0,4,0.11,0.661,0.973,0.0000174,0.617,-2.994,0.037,0.75,108.037,spotify:track:6sbXGUn9V9ZaLwLdOfpKRE
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,250360,9,1,4,0.32,0.61,0.497,0.0000611,0.0884,-9.88,0.0279,0.739,85.031,spotify:track:6nozDLxeL0TE4MS9GqYU1v
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,209253,8,0,4,0.0353,0.641,0.702,0.0000458,0.204,-7.497,0.0547,0.647,96.466,spotify:track:3VWUscWqo4tv3IBpCZXMpx
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,247787,2,1,4,0.0426,0.325,0.768,0.00000404,0.27,-7.51,0.0491,0.454,176.6,spotify:track:3J19l4hOfwFFIF715BwVcG
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,285827,8,0,4,0.0307,0.863,0.476,0.0515,0.0706,-10.019,0.0932,0.783,115.459,spotify:track:6hpcnsrb9cesuY2laOyafK
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,200373,11,1,4,0.0395,0.731,0.867,0,0.0861,-5.881,0.032,0.776,104.019,spotify:track:3cfOd4CMv2snFaKAnMdnvK
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,246427,10,0,4,0.00341,0.695,0.945,0.0727,0.103,-6.165,0.0418,0.84,125.013,spotify:track:5yaCquc7koPqtgj7v0lwHX
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,244016,2,0,4,0.0205,0.852,0.994,0.00127,0.357,-4.059,0.0973,0.933,137.112,spotify:track:325FgLfQLrjhAeLCBVNvLt
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,238267,9,1,4,0.137,0.499,0.675,0.00000897,0.238,-6.695,0.0289,0.371,122.453,spotify:track:0FEVHpFTuSJUY59YQjZm2G
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,246547,9,0,4,0.219,0.523,0.705,0.00278,0.11,-8.076,0.0327,0.32,97.921,spotify:track:1OntYeiHonipHOlUfiyutb
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,244867,2,1,4,0.136,0.32,0.697,0.000014,0.303,-6.623,0.0463,0.634,156.067,spotify:track:1G5tWc6ban5YXM8zeudnOA
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,278067,7,1,4,0.00152,0.648,0.622,0.0000597,0.109,-6.063,0.0428,0.51,88.684,spotify:track:0BUoLE4o9eVahDHvTqak67
