playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5i3AavIAQhagT11NJta6y4,324813,1,1,4,0.804,0.315,0.232,0.0000402,0.12,-8.729,0.0318,0.154,78.8,spotify:track:2GZTjCNuL89Y1KbxmoI1Ka
spotify:playlist:5i3AavIAQhagT11NJta6y4,189947,9,1,4,0.157,0.915,0.701,0.000599,0.0576,-7.632,0.0473,0.974,99.559,spotify:track:00uBp4pBeqVI6n02GYdjV9
spotify:playlist:5i3AavIAQhagT11NJta6y4,225667,9,1,4,0.167,0.651,0.648,0.000017,0.192,-7.44,0.0346,0.868,97.017,spotify:track:4uDJdDSIARqTRf6qZhwYR6
spotify:playlist:5i3AavIAQhagT11NJta6y4,176173,0,1,4,0.0601,0.788,0.798,0.00151,0.11,-11.999,0.0375,0.969,129.61,spotify:track:0VZ8HejqjGgKtotIvBfvd9
spotify:playlist:5i3AavIAQhagT11NJta6y4,207693,9,1,4,0.107,0.591,0.396,0,0.248,-14.753,0.0371,0.781,126.091,spotify:track:4a8ZMNLB75047bY2I7oABt
spotify:playlist:5i3AavIAQhagT11NJta6y4,202427,5,1,4,0.503,0.593,0.765,0.00000391,0.667,-5.696,0.0385,0.801,121.844,spotify:track:4w6yOgvvdY3tcG3tlOV4lG
spotify:playlist:5i3AavIAQhagT11NJta6y4,230427,10,1,4,0.727,0.554,0.343,0.000099,0.468,-12.502,0.0309,0.48,132.163,spotify:track:4VIpspaQ1frWWzTj8suyHR
spotify:playlist:5i3AavIAQhagT11NJta6y4,187067,2,1,4,0.0742,0.796,0.867,0.00195,0.226,-10.568,0.037,0.881,114.87,spotify:track:0iyFZC2XuPdLpfQpUeli4H
spotify:playlist:5i3AavIAQhagT11NJta6y4,215053,0,1,4,0.729,0.638,0.557,0.0000105,0.0986,-11.34,0.111,0.915,112.893,spotify:track:6nSt8n7r0bznM8PCvHEmPj
spotify:playlist:5i3AavIAQhagT11NJta6y4,235373,11,1,4,0.0193,0.429,0.564,0.000828,0.128,-6.784,0.0268,0.276,104.212,spotify:track:0KMGxYKeUzK9wc5DZCt3HT
spotify:playlist:5i3AavIAQhagT11NJta6y4,218947,9,1,4,0.74,0.256,0.335,0.0166,0.0857,-13.588,0.0313,0.415,198.745,spotify:track:23IWhAK0cYRwnBT5EE8i3u
spotify:playlist:5i3AavIAQhagT11NJta6y4,180693,7,1,4,0.116,0.724,0.598,0.00725,0.0556,-6.522,0.0325,0.786,114.987,spotify:track:4WSbbEjRQ7uE3IT9crL10B
spotify:playlist:5i3AavIAQhagT11NJta6y4,306573,10,0,4,0.369,0.613,0.317,0.000288,0.0775,-16.102,0.0293,0.473,113.124,spotify:track:5k68ZFktJA3JlRfenOJA9y
spotify:playlist:5i3AavIAQhagT11NJta6y4,186413,2,1,4,0.0118,0.775,0.677,0.02,0.257,-6.946,0.0361,0.961,105.391,spotify:track:2FSlHgry6H7n54e57SBycW
spotify:playlist:5i3AavIAQhagT11NJta6y4,253533,8,1,3,0.831,0.618,0.183,0.0000623,0.0935,-16.619,0.0431,0.16,109.75,spotify:track:4GBfMdLT6EFDNGjk03S78s
spotify:playlist:5i3AavIAQhagT11NJta6y4,195160,2,1,4,0.236,0.645,0.695,0.00243,0.103,-7.151,0.0267,0.589,90.246,spotify:track:6zU7qPbE6S9ShTSToWTgEp
spotify:playlist:5i3AavIAQhagT11NJta6y4,226907,0,1,4,0.0326,0.663,0.907,0.559,0.0765,-8.625,0.0417,0.937,125.723,spotify:track:4lvNaO9CiRQN5AgGvBmuKx
spotify:playlist:5i3AavIAQhagT11NJta6y4,247507,6,1,4,0.105,0.628,0.555,0,0.0707,-8.718,0.0287,0.607,106.104,spotify:track:64RnIqEMPUPx3MTzPwcfKO
spotify:playlist:5i3AavIAQhagT11NJta6y4,176987,0,0,4,0.639,0.66,0.977,0.0155,0.116,-2.114,0.0692,0.956,122.067,spotify:track:0pTCPxNzli6HYQ5lNowOiO
spotify:playlist:5i3AavIAQhagT11NJta6y4,283627,2,1,3,0.00128,0.346,0.303,0,0.116,-13.604,0.0271,0.43,91.715,spotify:track:7t4c2dRPcikOFVODa0qlQu
spotify:playlist:5i3AavIAQhagT11NJta6y4,217733,0,0,4,0.153,0.553,0.839,0.00006,0.13,-5.844,0.116,0.673,121.819,spotify:track:4Af8yzidDPc520TFd4TmkE
spotify:playlist:5i3AavIAQhagT11NJta6y4,396907,9,1,4,0.111,0.744,0.832,0.244,0.338,-12.297,0.0359,0.957,113.916,spotify:track:2oaJTPQIN7sBX64DCBHjxy
spotify:playlist:5i3AavIAQhagT11NJta6y4,270960,9,1,4,0.643,0.553,0.328,0,0.109,-10.797,0.0341,0.345,103.472,spotify:track:2pkPeaj86ZEVHhgAEncfp0
spotify:playlist:5i3AavIAQhagT11NJta6y4,274773,2,0,4,0.0392,0.744,0.728,0.000049,0.318,-7.03,0.142,0.904,129.001,spotify:track:4wr2LEc4Inxv0M1Fch9uVj
spotify:playlist:5i3AavIAQhagT11NJta6y4,220867,5,1,3,0.724,0.646,0.362,0,0.134,-11.954,0.0312,0.387,142.46,spotify:track:15ADURMdkO25JGD5mIcodM
spotify:playlist:5i3AavIAQhagT11NJta6y4,264627,11,1,4,0.0916,0.479,0.85,0.0117,0.223,-11.295,0.0405,0.454,142.228,spotify:track:0LjtuCIQ9VNBnNgH1Wpe7S
spotify:playlist:5i3AavIAQhagT11NJta6y4,212307,0,1,4,0.583,0.549,0.651,0,0.121,-7.097,0.0323,0.368,122.818,spotify:track:2hdNya0b6Cc2YJ8IyaQIWp
spotify:playlist:5i3AavIAQhagT11NJta6y4,241720,10,0,4,0.0575,0.656,0.646,0.00464,0.16,-9.169,0.0336,0.75,117.586,spotify:track:39iKJpLPhsDTOzH2lXliWF
