playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,157067,6,1,4,0.0533,0.878,0.619,0,0.113,-5.56,0.102,0.639,136.041,spotify:track:2YpeDb67231RjR0MgVLzsG
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,209755,6,0,4,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,0.54,98.078,spotify:track:1rgnBhdG2JDFTbYkYRZAku
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,194088,7,1,4,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,spotify:track:2Fxmhks0bxGSBdJ92vM42m
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,157560,2,1,4,0.533,0.755,0.522,0,0.0685,-4.368,0.0575,0.925,89.96,spotify:track:0RiRZpuVRbi7oqRdSMwhQY
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,182161,1,1,4,0.751,0.501,0.405,0,0.105,-5.679,0.0319,0.446,109.891,spotify:track:7qEHsqek33rTcFNT9PFqLf
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,219947,6,1,4,0.0912,0.798,0.675,0,0.0894,-5.041,0.0442,0.842,101.956,spotify:track:3HVWdVOQ0ZA45FuZGSfvns
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,149547,11,0,4,0.136,0.829,0.539,0.00000178,0.103,-7.359,0.208,0.388,99.96,spotify:track:7xQAfvXzm3AkraOtGPWIZg
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,190960,9,0,4,0.037,0.759,0.54,0,0.0945,-6.039,0.0287,0.75,116.947,spotify:track:0TK2YIli7K1leLovkQiNik
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,217213,7,1,4,0.416,0.575,0.33,0,0.0872,-6.557,0.031,0.277,95.801,spotify:track:6QfS2wq5sSC1xAJCQsTSlj
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,178627,1,0,4,0.592,0.778,0.317,0,0.0881,-10.732,0.334,0.327,140.048,spotify:track:6ocbgoVGwYJhOv1GgI9NsF
