playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,254293,9,1,4,0.129,0.645,0.933,0.0000103,0.0443,-6.955,0.0532,0.695,142.615,spotify:track:7mmhMfqs3knRMMlvnMPTHn
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,290333,6,0,4,0.0404,0.697,0.669,0.00897,0.0654,-12.723,0.0406,0.486,108.506,spotify:track:6W7ztLBiRzBN46ZaPAcQ0F
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,281693,4,1,4,0.574,0.632,0.62,0.00000627,0.11,-8.847,0.0267,0.3,96.818,spotify:track:1pKubpcbRCOLY4wbvSDqzt
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,284373,4,1,4,0.0879,0.666,0.91,0.00000843,0.335,-6.457,0.0399,0.919,117.141,spotify:track:2D4D3hiOf5U0W6SvJoCQph
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,213573,8,1,4,0.115,0.721,0.939,0.0000379,0.108,-11.823,0.0376,0.914,113.309,spotify:track:4uLU6hMCjMI75M1A2tKUQC
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,216573,9,0,4,0.292,0.579,0.203,0,0.0866,-15.216,0.0657,0.602,138.798,spotify:track:29KiGwvYBw6JGQWrAlLhGg
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,204893,7,1,4,0.0626,0.745,0.918,0.42,0.356,-10.263,0.0296,0.875,116.081,spotify:track:28PaUaK6GLb0AcnOBdfyTs
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,136573,5,1,4,0.856,0.2,0.212,0.000158,0.116,-17.701,0.0368,0.215,74.771,spotify:track:4Z7bcUn4gxwPgIItNQv8l1
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,187667,0,1,4,0.261,0.437,0.373,0.0000012,0.0984,-14.846,0.028,0.355,93.519,spotify:track:4ZYCwq1EMPY5zZt195ARWg
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,245720,4,1,4,0.00499,0.634,0.89,0.00000964,0.0662,-6.498,0.0331,0.829,122.861,spotify:track:38OuAEtETQMXayoC18tLKe
