playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,177000,1,0,4,0.000282,0.908,0.621,0.0000539,0.0958,-6.638,0.102,0.421,150.011,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,319347,2,1,4,0.22,0.672,0.899,0.302,0.142,-6.878,0.0323,0.927,139.01,spotify:track:7DPQwyMQADl9Y8oSvSVpfg
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,273533,5,1,4,0.637,0.661,0.589,0.863,0.111,-11.217,0.0368,0.603,129.987,spotify:track:1LIbTjMdFP15jIXGkcICSU
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,302787,3,0,4,0.0061,0.681,0.721,0.018,0.115,-8.321,0.0367,0.857,129.985,spotify:track:6TAxNHUFD5nbP9pMXlONES
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,351613,0,1,4,0.0565,0.355,0.812,0.00972,0.141,-5.861,0.0767,0.139,151.818,spotify:track:5Q5o0jX8RwrHRdLYQkg6BA
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,234653,2,1,4,0.0209,0.594,0.721,0.00000855,0.0879,-7.812,0.0957,0.253,128.942,spotify:track:6ie2Bw3xLj2JcGowOlcMhb
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,189093,2,1,4,0.0714,0.598,0.893,0.0159,0.146,-3.072,0.0319,0.485,120.972,spotify:track:2C2qFFatDW73ZOSMZASyft
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,226560,0,0,4,0.229,0.712,0.855,0,0.193,-3.006,0.124,0.592,107.981,spotify:track:6POjRllkbgAEnLIhIFlI7j
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,215493,5,1,4,0.084,0.725,0.667,0.00000443,0.0683,-5.729,0.0322,0.491,127.979,spotify:track:7pIO6C4Nvq7OBGrvK5dJdP
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,295507,2,1,4,0.000317,0.396,0.992,0.148,0.0597,-3.504,0.159,0.0975,99.905,spotify:track:0dgXDPDvQNPKUYNR3KZeHS
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,274274,10,0,4,0.543,0.718,0.628,0,0.116,-6.007,0.223,0.722,92.107,spotify:track:2DgMxFMUQRPthW4ROhjen1
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,167059,4,0,4,0.0408,0.726,0.862,0.202,0.63,-2.984,0.103,0.698,101.98,spotify:track:0lvXfUug5YmOHOyHgXufqF
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,202547,1,1,4,0.199,0.798,0.539,0.0000166,0.165,-6.351,0.0421,0.394,136.949,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,189796,10,1,4,0.287,0.771,0.431,0.00000275,0.0934,-5.423,0.0577,0.268,107.047,spotify:track:02oAUzv4M0ItuTDy2RT3IT
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,208147,8,0,4,0.156,0.62,0.56,0.0000111,0.118,-7.841,0.129,0.483,93.917,spotify:track:2qiYw6eNM2rwv2vgtzH5o5
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,205147,11,0,4,0.0231,0.803,0.636,0.00505,0.0791,-4.64,0.0322,0.817,122.966,spotify:track:0TVwMTKyuSp41ytctKTA3T
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,194244,5,0,4,0.0113,0.751,0.898,0,0.934,-6.238,0.0936,0.627,113.933,spotify:track:6Bvd7iV8XrYpVSFAE6nsIR
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,216379,9,1,4,0.0189,0.436,0.813,0.00255,0.344,-5.687,0.0547,0.602,141.377,spotify:track:17jyLGlgZppynYukOQlN5n
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,250093,6,0,4,0.0737,0.606,0.942,0.00000223,0.0709,-2.598,0.115,0.519,106.02,spotify:track:5aWhs651KYM26HYM16kRdk
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,218853,8,0,4,0.0387,0.557,0.883,0.0000161,0.107,-5.069,0.0656,0.588,99.963,spotify:track:2MK8xQVIFA81r32V4E1MkT
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,213467,8,1,4,0.118,0.488,0.867,0,0.117,-3.34,0.061,0.372,108.124,spotify:track:1dHf2xLj9tE7djykuCRziW
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,205822,9,0,4,0.000725,0.556,0.846,0,0.0942,-3.578,0.044,0.722,150.002,spotify:track:7fPqh7pHSRV7rStdcvtwp7
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,166913,8,1,4,0.0245,0.566,0.65,0.00173,0.158,-6.782,0.0425,0.851,121.407,spotify:track:1XUcnJ4FCAsdClsvdpEp2R
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,218147,5,0,4,0.124,0.585,0.52,0.0000701,0.131,-6.136,0.0712,0.129,159.801,spotify:track:0e7ipj03S05BNilyu5bRzt
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,190640,11,1,3,0.0423,0.28,0.772,0.0000458,0.0725,-5.509,0.141,0.356,153.034,spotify:track:7vEeYo34dX7geZhQVotCJi
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,163253,1,0,4,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,0.754,79.028,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,248591,8,0,4,0.383,0.763,0.419,0.00169,0.0732,-9.916,0.0529,0.335,92.044,spotify:track:29HSkfe5ITejb0MXhroHtG
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,249296,2,0,4,0.0223,0.548,0.699,0.000392,0.0903,-7.149,0.0517,0.308,132.798,spotify:track:0NnVzBW6TJLaEzcyXjqRDH
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,305120,0,1,4,0.248,0.405,0.539,0.00674,0.0642,-6.83,0.0387,0.0797,78.027,spotify:track:0jzOBl9Qm6po1hXrgqIVCF
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,212787,8,1,4,0.149,0.707,0.706,0.0000601,0.113,-5.984,0.0418,0.469,97.997,spotify:track:5Zgl2ldTzXd7Q6iog78pQK
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,254694,0,0,4,0.00343,0.453,0.761,0,0.38,-6.179,0.114,0.346,109.797,spotify:track:7xrnyfGBnw2ggLcWLufptF
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,217296,10,0,4,0.194,0.623,0.562,0,0.091,-7.08,0.0415,0.411,147.906,spotify:track:4JEwMJFPyAl6nNw0UQTwIu
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,190093,3,1,4,0.391,0.544,0.478,0,0.0824,-7.099,0.0446,0.422,94.935,spotify:track:3wBRiOgNkY97ysxkdD4HhU
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,185947,1,1,4,0.00454,0.638,0.523,0,0.0842,-6.664,0.357,0.422,139.913,spotify:track:6HZILIRieu8S0iqY8kIKhj
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,298941,11,1,4,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,0.364,111.98,spotify:track:5mCPDVBb16L4XQwDdbRUpz
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,226649,10,1,4,0.000846,0.541,0.884,0.0000147,0.109,-4.39,0.0387,0.486,95.031,spotify:track:71ZMNFgGo9JxxhH0OdvR4o
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,230813,1,0,4,0.498,0.736,0.795,0.00000121,0.254,-3.299,0.0545,0.511,104.066,spotify:track:6gpcs5eMhJwax4mIfKDYQk
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,179172,4,0,4,0.46,0.695,0.573,0.0734,0.482,-8.597,0.106,0.408,99.939,spotify:track:51NFxnQvaosfDDutk0tams
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,227415,7,1,4,0.141,0.498,0.962,0.000425,0.0948,-3.33,0.0731,0.673,78.681,spotify:track:5ZXSnWrF55eiFa45wCCzKk
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,259964,11,0,4,0.433,0.427,0.749,0.0534,0.0903,-5.092,0.0467,0.378,139.031,spotify:track:5RHY7WkAjAhpxuPN0CTd4F
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,223869,6,1,3,0.0245,0.706,0.74,0.512,0.135,-7.904,0.0325,0.444,122.007,spotify:track:1HrMWH5GUdK6Yi94rbANJA
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,256840,10,0,4,0.0972,0.574,0.582,0.00000564,0.393,-7.496,0.0742,0.647,86.983,spotify:track:5cvnnMOfsLkyA9sxR5Ycq9
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,223053,5,1,4,0.632,0.659,0.435,0.0694,0.0882,-9.788,0.0571,0.251,107.988,spotify:track:3aCQ8APs80nMlwPtDeJxxX
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,190674,4,1,4,0.00391,0.464,0.939,0.0038,0.261,-4.189,0.0436,0.86,182.106,spotify:track:6igEXTKqOFuOEJDIAEUU9F
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,193924,1,1,4,0.115,0.555,0.697,0,0.0963,-5.488,0.0263,0.168,103.934,spotify:track:7iCbeEbIEFbCP559GvoyYL
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,232120,0,1,4,0.121,0.635,0.853,0,0.371,-3.926,0.048,0.372,112.964,spotify:track:2ixswrurtpfZHrx406eGgw
