playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,203347,9,1,4,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,0.374,153.398,spotify:track:0ntQJM78wzOLVeCUAW7Y45
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,229640,1,1,3,0.0714,0.763,0.807,0.28,0.348,-3.714,0.035,0.559,103.038,spotify:track:3FtYbEfBqAlGO46NUDQSAt
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,230760,0,1,4,0.00552,0.276,0.715,0.000417,0.201,-5.356,0.0432,0.173,137.028,spotify:track:5VGlqQANWDKJFl0MBG3sg2
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,198440,5,0,4,0.245,0.87,0.699,0.00000676,0.0588,-5.541,0.0459,0.726,126.967,spotify:track:6A6qBFJHid4WutQu6HHEZt
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,302840,9,1,4,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,0.172,122.961,spotify:track:1jJci4qxiYcOHhQR247rEU
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,221067,6,0,4,0.0013,0.573,0.941,0.0000406,0.18,-3.46,0.0315,0.864,135.017,spotify:track:1PIP9m6Y66fJ82QlNCpXjT
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,261573,1,0,4,0.339,0.794,0.645,0,0.13,-5.723,0.129,0.831,85.295,spotify:track:0pvZzCtR3o8t03T5LDnp6G
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,250547,10,0,4,0.00134,0.482,0.976,0.00275,0.344,-2.76,0.0412,0.886,122.96,spotify:track:5x08BNGm8HMO0L7r0jbkPr
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,310573,9,1,4,0.0451,0.755,0.901,0.0373,0.363,-3.152,0.0893,0.959,145.042,spotify:track:0GrrLYCH8u81aENhC8FBF4
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,214227,4,1,4,0.131,0.514,0.828,0,0.688,-4.783,0.318,0.655,96.916,spotify:track:7zBNnkfKNHxW2y8YvLuIqY
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,254480,9,0,4,0.000697,0.456,0.802,0.000934,0.474,-4.025,0.0477,0.461,150.029,spotify:track:1YhzlKAGZCgFmu3maqDQtl
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,214627,6,0,4,0.00175,0.637,0.952,0.0000448,0.329,-4.211,0.0373,0.43,128.006,spotify:track:6Zn1xsuxtCOaPBSCXG7GzK
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,251507,9,1,4,0.158,0.754,0.639,0,0.103,-6.59,0.0322,0.684,100.033,spotify:track:0CX3U3R4YgdoEA75UKOjX1
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,245917,5,1,4,0.0198,0.701,0.948,0.00282,0.299,-4.321,0.116,0.932,101.323,spotify:track:2P8xgessXZqmrM7IKif641
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,277360,10,0,4,0.0763,0.612,0.939,0.119,0.749,-4.206,0.0412,0.543,125.981,spotify:track:2dngx6srtqsxvyh7oGV8FM
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,189693,7,1,4,0.443,0.807,0.458,0.00000244,0.0827,-4.989,0.0419,0.829,87.081,spotify:track:5xDJfkWp8ufjxjJ6HDb100
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,204093,11,1,4,0.0476,0.878,0.746,0,0.154,-4.281,0.0451,0.792,111.996,spotify:track:1d6vQqkVFIAyYTARdO7Ms2
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,261000,2,1,3,0.0000874,0.438,0.94,0.0777,0.3,-3.249,0.0452,0.421,100.99,spotify:track:4iG2gAwKXsOcijVaVXzRPW
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,245160,5,0,4,0.0761,0.823,0.783,0.00754,0.107,-7.839,0.0744,0.866,95.986,spotify:track:5SyRtYGBMz7Hmq2cZaaPIf
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,225533,5,0,4,0.00462,0.504,0.872,0,0.557,-4.865,0.0462,0.345,102.948,spotify:track:5AwZu699DOigVjp802n8Xx
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,238520,4,0,4,0.844,0.593,0.263,0.00000536,0.127,-14.029,0.0567,0.109,76.379,spotify:track:2cbic3TiUENlJX91y67ARR
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,203627,4,0,4,0.00467,0.311,0.952,0,0.374,-3.56,0.0731,0.504,172.36,spotify:track:5V4LHTjK7lpSztzoLkShfe
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,224267,0,1,4,0.000371,0.261,0.965,0.000427,0.156,-4.53,0.0966,0.397,140.918,spotify:track:2tciVtVlXO1sXqtGnSTKsr
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,237480,11,0,5,0.469,0.398,0.768,0.0000202,0.106,-4.624,0.0392,0.235,108.685,spotify:track:1O8d2pWtBclzuY3FctBPVa
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,189733,0,1,4,0.0000257,0.501,0.908,0.206,0.542,-4.21,0.0393,0.499,156.021,spotify:track:2XBUIImLg3d1mvlLAvJoMJ
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,227987,9,0,4,0.0224,0.601,0.881,0,0.135,-3.592,0.0532,0.769,122.958,spotify:track:0fcWIzRDyYZXIbAF18VOXa
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,224920,0,1,4,0.758,0.578,0.39,0.000527,0.107,-8.638,0.0265,0.252,142.045,spotify:track:2zvUTfefqjDKGqkBuOawB2
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,225575,5,1,4,0.284,0.922,0.654,0.0929,0.111,-5.688,0.0517,0.771,116.042,spotify:track:29oOkj7PUi1zJExNkaSALH
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,175960,1,1,4,0.0107,0.585,0.759,0.00151,0.195,-6.328,0.029,0.689,135.976,spotify:track:3mw87P6YW3956SMm7d9UfM
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,195733,0,1,4,0.111,0.692,0.717,0.00123,0.044,-4.226,0.0498,0.973,119.907,spotify:track:5nHRIKsXDwUpse9gzrAxLR
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,223787,5,0,4,0.00413,0.48,0.943,0.00102,0.321,-5.487,0.0607,0.53,155.56,spotify:track:4t2BS76VYKvggKNYX0u0j6
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,137760,2,1,4,0.0102,0.551,0.821,0.0438,0.153,-4.489,0.0539,0.842,174.923,spotify:track:5dKBaysNJtfpyNTRa5lqDb
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,161720,11,1,4,0.000146,0.331,0.961,0,0.322,-4.627,0.0663,0.882,168.355,spotify:track:6vHdbCBlZNjhIvwZ7eCPq7
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,146160,4,1,4,0.00597,0.608,0.92,0,0.159,-2.993,0.0635,0.624,141.888,spotify:track:0p1MZm35BK3fvFjCmgOL4d
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,251813,4,1,4,0.141,0.632,0.835,0,0.212,-4.254,0.0392,0.836,112.633,spotify:track:35KhiTHl9m38DWgRLudDuF
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,248413,7,1,4,0.402,0.621,0.65,0.0185,0.132,-7.905,0.0277,0.788,133.079,spotify:track:1c6esVpPcdACxIneUrubyI
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,216600,1,0,4,0.000107,0.489,0.763,0,0.0392,-4.912,0.0284,0.156,126.763,spotify:track:4BAJiiIKJA80RBBfyJ4r8x
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,142533,9,1,4,0.022,0.555,0.66,0.00000389,0.152,-6.268,0.0506,0.634,120.689,spotify:track:7g1SLsGJJzEGOfIYbhx9Xy
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,191760,0,1,4,0.00248,0.486,0.934,0,0.0892,-3.253,0.0701,0.765,170.007,spotify:track:7bvBOzSYbzUMg9ElqkWQiA
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,207000,10,0,4,0.266,0.82,0.83,0,0.0653,-5.694,0.14,0.45,103.592,spotify:track:5pEK6FkbuG0nSX1o4kNtkh
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,133467,2,1,4,0.134,0.636,0.881,0.00952,0.074,-5.376,0.0758,0.845,118.237,spotify:track:7BXToqZFtclAj6mshYWena
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,179960,9,1,4,0.376,0.463,0.368,0,0.149,-11.546,0.048,0.75,141.974,spotify:track:3LHg768dEKqJKht2uPTlVR
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,214373,5,1,4,0.000244,0.631,0.813,0.0446,0.137,-4.393,0.0359,0.462,124.897,spotify:track:1q6DHkCQfImMnzODJ7DybS
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,207120,10,1,4,0.419,0.661,0.847,0.0000882,0.107,-6.948,0.0404,0.522,134.002,spotify:track:68CEebui4m1uKRq2yI6mqx
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,142253,7,1,4,0.081,0.642,0.719,0,0.101,-5.377,0.0334,0.975,103.929,spotify:track:6jvQYpOBLrlIUC1K7woQMi
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,246027,11,0,4,0.000129,0.477,0.981,0.0226,0.349,-2.656,0.118,0.599,165.992,spotify:track:1kWn4HJZc7tgv52YhKfxEU
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,202293,4,1,4,0.141,0.63,0.942,0.00000212,0.0958,-5.186,0.0869,0.753,136.155,spotify:track:5Bp3OmGILMam5w6KnafdKY
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,267013,11,1,4,0.0404,0.643,0.797,0.229,0.0991,-6.009,0.0576,0.545,120.044,spotify:track:5Xu2HeYLFIrje49DD23Kjz
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,179400,2,0,4,0.0448,0.365,0.964,0,0.366,-4.039,0.15,0.179,144.056,spotify:track:2zxhWmpO7xwgd1IIlxRdSv
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,245373,10,1,4,0.00104,0.552,0.84,0.000674,0.0934,-7.033,0.0684,0.571,135.468,spotify:track:0McuGBXkEVz9Yq5gui4A7c
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,200587,5,1,4,0.00131,0.252,0.931,0.00000738,0.169,-5.082,0.148,0.458,188.499,spotify:track:3wEcD5nSi4qNcLGwfz96zt
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,181087,8,0,4,0.0479,0.655,0.955,0.0000212,0.117,-2.596,0.0367,0.694,127.986,spotify:track:15XIoVECkMfELkKodsOjop
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,248133,4,0,4,0.182,0.668,0.659,0.0000211,0.338,-6.342,0.0315,0.773,79.946,spotify:track:02bMk0fg0Nn8cty2g0F7J6
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,272520,2,1,4,0.0562,0.696,0.94,0.00156,0.11,-3.967,0.0595,0.348,119.999,spotify:track:1KK0WMdloEteqJZW2yWohr
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,204907,4,1,4,0.0306,0.861,0.801,0.00000589,0.121,-2.053,0.0343,0.729,117.997,spotify:track:4GQMYGWB7xGTOJt0CXGyzZ
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,214707,2,1,4,0.843,0.853,0.515,0.0652,0.127,-7.134,0.0418,0.751,104.999,spotify:track:49KVrwFWzaOnbdvwiY6nOW
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,218387,6,0,4,0.00386,0.48,0.863,0,0.158,-4.988,0.0553,0.501,144.064,spotify:track:2e0x2iafqVsId3HP4Fjgd1
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,242160,9,1,4,0.676,0.814,0.516,0,0.114,-9.419,0.236,0.708,144.032,spotify:track:03F2mIBldwOnEBnTe9ZoZC
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,335867,5,0,4,0.13,0.672,0.846,0,0.822,-6.364,0.392,0.623,86.017,spotify:track:115KhJ3aFGXHZqytKFDC3e
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,301600,9,0,4,0.00505,0.641,0.805,0.0000124,0.131,-4.846,0.0373,0.646,118.051,spotify:track:2pCbHI2kW5LTMpkp43Juhm
