playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,239307,7,1,4,0.132,0.546,0.406,0,0.101,-6.578,0.0283,0.239,130.011,spotify:track:6lzIABwQGhMa3Xbspb098s
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,320293,2,1,4,0.00925,0.684,0.735,0.000659,0.288,-4.596,0.273,0.06,171.383,spotify:track:1MWlCmgxuLIe4izcR62xBE
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,272852,5,1,4,0.114,0.827,0.699,0,0.15,-3.36,0.179,0.799,94.052,spotify:track:4gSfKvsTytaKWSml01I48E
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,251280,8,1,4,0.246,0.542,0.589,0,0.188,-6.813,0.0284,0.336,133.838,spotify:track:2iWyrSHvs6qhFzfpiLAK0z
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,193467,6,0,4,0.255,0.899,0.713,0,0.0708,-2.752,0.366,0.777,90.051,spotify:track:7iL6o9tox1zgHpKUfh9vuC
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,235893,4,0,4,0.00721,0.331,0.943,0.00000206,0.242,-3.188,0.0698,0.296,94.612,spotify:track:0COqiPhxzoWICwFCS4eZcp
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,248547,7,1,4,0.0365,0.581,0.747,0.00000169,0.193,-6.682,0.0283,0.514,146.301,spotify:track:1w0JL6vJdl82xqyRW30HrK
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,213973,1,1,4,0.0193,0.607,0.923,0.0000011,0.0924,-6.777,0.0948,0.868,184.819,spotify:track:6UEfyhyfhYQsyipxOd95Ie
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,201480,7,1,4,0.0873,0.782,0.755,0.00000716,0.361,-7.759,0.112,0.742,148.04,spotify:track:3e4wCtTSt83Cu2hFVioW4f
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,186067,1,1,4,0.061,0.795,0.523,0,0.0914,-7.165,0.0423,0.855,133.024,spotify:track:5dNfHmqgr128gMY2tc5CeJ
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,254467,1,1,4,0.271,0.701,0.669,0,0.158,-5.265,0.107,0.446,83.066,spotify:track:2xlnEhQjSCqNPIJX42ARej
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,249293,7,0,4,0.00676,0.649,0.718,0.00000426,0.174,-4.984,0.0594,0.477,79.993,spotify:track:4CTX9iU2a0Q9vM2T4YMUQL
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,218760,0,1,4,0.506,0.638,0.54,0,0.157,-6.849,0.0473,0.352,143.772,spotify:track:2T4rXDppGlcy2lLuF4IyHq
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,214440,5,0,4,0.0411,0.603,0.834,0.00609,0.105,-5.766,0.0417,0.376,89.957,spotify:track:4bJygwUKrRgq1stlNXcgMg
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,226827,1,1,4,0.00199,0.674,0.867,0,0.206,-4.329,0.0462,0.821,88.04,spotify:track:5fztgDIt1Nq32VHJrAHq0Y
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,205560,9,0,4,0.23,0.759,0.678,0,0.15,-5.148,0.314,0.327,89.64,spotify:track:5ljCWsDlSyJ41kwqym2ORw
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,218933,4,0,4,0.463,0.74,0.605,0,0.116,-5.987,0.0276,0.641,105.079,spotify:track:12VzulX6U34ea0LXm6zGGf
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,233693,9,0,4,0.0659,0.553,0.717,0,0.114,-5.502,0.026,0.419,92.098,spotify:track:4g1mUYce5ljbbacvCfAQVQ
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,310093,2,1,4,0.0731,0.821,0.715,0,0.071,-4.415,0.255,0.57,112.972,spotify:track:0koYRm9MYr86fdKyaBuSiG
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,265453,4,0,4,0.507,0.489,0.568,0,0.169,-8.085,0.0297,0.205,150.061,spotify:track:3WKf8HqNlAP1X3PZkw663E
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,298613,1,1,4,0.49,0.763,0.721,0,0.213,-6.475,0.252,0.9,87.683,spotify:track:0mJDmP1zwifmzxbocMkGHx
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,201053,3,0,4,0.00788,0.944,0.553,0.00641,0.167,-6.718,0.0595,0.7,101.772,spotify:track:1MdcxpCpHJ4O9TBA6BJY3y
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,207467,11,0,4,0.000616,0.455,0.858,0.000247,0.226,-5.659,0.0391,0.597,163.118,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,238560,5,0,4,0.578,0.456,0.573,0.00000305,0.114,-3.866,0.0275,0.0992,76.19,spotify:track:3TCauNPqFiniaYHBvEVoHG
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,282773,1,0,4,0.1,0.835,0.68,0,0.049,-6.02,0.21,0.889,95.508,spotify:track:75lRRdjplzfpmBjNzMPyjR
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,289160,2,0,4,0.227,0.727,0.552,0.000164,0.198,-8.074,0.14,0.607,168.189,spotify:track:0ARK753YaiJbpLUk7z5yIM
