playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,213800,2,1,4,0.00117,0.606,0.957,0.000295,0.14,-3.404,0.0812,0.603,105.109,spotify:track:7ujLqLwxtHvgoGCSOhBj69
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,235213,4,0,4,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,0.965,79.526,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,231920,4,0,4,0.00601,0.74,0.469,0.447,0.306,-7.627,0.0805,0.313,123.909,spotify:track:47wPvRG8FEwbZP22UBgTQr
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,200440,3,1,4,0.000676,0.366,0.969,0.000127,0.106,-3.359,0.0932,0.665,146.542,spotify:track:1Vb0sEHboCBthv6fUqLjME
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,344533,5,0,4,0.0052,0.648,0.862,0.34,0.295,-7.288,0.031,0.886,121.336,spotify:track:274V8o0fvSbZn7RIf4CRES
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,224133,9,1,4,0.333,0.716,0.748,0.00000654,0.0899,-6.426,0.151,0.76,110.015,spotify:track:1pXtUVmSS3Aky3j6nQ4sQT
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,229333,2,1,4,0.000011,0.282,0.862,0.0414,0.0904,-3.591,0.0377,0.705,167.36,spotify:track:1dXFZeIjgDJ8sAc1csFNY2
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,237627,4,1,4,0.127,0.609,0.638,0.0658,0.142,-6.988,0.0435,0.748,78.785,spotify:track:7IahivnWF9l1W8DSBQe3Xv
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,219640,1,1,4,0.51,0.846,0.828,0.00000128,0.0906,-5.447,0.165,0.908,97.453,spotify:track:7aZiDdufBX2Ek8OUuxK0IQ
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,271173,6,0,4,0.00455,0.303,0.774,0.00000128,0.14,-4.773,0.0446,0.457,170.067,spotify:track:2lksJ7oUYRD3BgH0uix9gy
